Source,Target,Short_Name,CG_URL,URL,Producer,Status,WID,State_Province,Country,Table_Shortcode,Best in Class,Gold,Silver,Bronze,Total,First,Last,Years
https://glintcap.org/45-north-vineyard-winery,https://glintcap.org/results/commercial/medalists/45-north-vineyard-winery/,45-north-vineyard-winery,https://ciderguide.com/glintcap/45-north-vineyard-winery/,https://fortyfivenorth.com/,45 North Vineyard & Winery,Active,2,Michigan,United States,"[table id=9 filter=""45 North Vineyard & Winery"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,8,6,14,2016,2019,4
https://glintcap.org/jks-farmhouse-ciders,https://glintcap.org/results/commercial/medalists/jks-farmhouse-ciders/,jks-farmhouse-ciders,https://ciderguide.com/glintcap/jks-farmhouse-ciders/,http://jksfarmhouseciders.com/,JK's Farmhouse Ciders,Active,3,Michigan,United States,"[table id=9 filter=""JK's Farmhouse Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,1,2,3,2014,2018,3
https://glintcap.org/b-nektar,https://glintcap.org/results/commercial/medalists/b-nektar/,b-nektar,https://ciderguide.com/glintcap/b-nektar/,http://www.bnektar.com/,B. Nektar,Active,4,Michigan,United States,"[table id=9 filter=""B. Nektar"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,4,3,7,2017,2022,3
https://glintcap.org/bel-lago-winery,https://glintcap.org/results/commercial/medalists/bel-lago-winery/,bel-lago-winery,https://ciderguide.com/glintcap/bel-lago-winery/,http://bellago.com/,Bel Lago Winery,Active,6,Michigan,United States,"[table id=9 filter=""Bel Lago Winery"" filter_full_cell_match=true hide_columns=""3"" /]",0,1,2,0,3,2015,2016,2
https://glintcap.org/blakes-hard-cider-co,https://glintcap.org/results/commercial/medalists/blakes-hard-cider-co/,blakes-hard-cider-co,https://ciderguide.com/glintcap/blakes-hard-cider-co/,http://www.blakeshardcider.com/,Blake's Hard Cider Co.,Active,10,Michigan,United States,"[table id=9 filter=""Blake's Hard Cider Co."" filter_full_cell_match=true hide_columns=""3"" /]",1,10,31,23,65,2014,2023,9
https://glintcap.org/boss-cider-company,https://glintcap.org/results/commercial/medalists/boss-cider-company/,boss-cider-company,https://ciderguide.com/glintcap/boss-cider-company/,https://www.bosscider.com/,Boss Cider Company,Active,12,Michigan,United States,"[table id=9 filter=""Boss Cider Company"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,5,4,9,2022,2022,1
https://glintcap.org/cherry-creek-cellars,https://glintcap.org/results/commercial/medalists/cherry-creek-cellars/,cherry-creek-cellars,https://ciderguide.com/glintcap/cherry-creek-cellars/,http://www.cherrycreekwine.com/,Cherry Creek Cellars,Active,14,Michigan,United States,"[table id=9 filter=""Cherry Creek Cellars"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,1,5,6,2007,2018,5
https://glintcap.org/corey-lake-orchards,https://glintcap.org/results/commercial/medalists/corey-lake-orchards/,corey-lake-orchards,https://ciderguide.com/glintcap/corey-lake-orchards/,http://www.coreylakeorchards.com/,Corey Lake Orchards,Active,16,Michigan,United States,"[table id=9 filter=""Corey Lake Orchards"" filter_full_cell_match=true hide_columns=""3"" /]",1,0,3,3,7,2017,2018,2
https://glintcap.org/farmhaus-cider-co,https://glintcap.org/results/commercial/medalists/farmhaus-cider-co/,farmhaus-cider-co,https://ciderguide.com/glintcap/farmhaus-cider-co/,http://farmhauscider.com/,Farmhaus Cider Co.,Active,19,Michigan,United States,"[table id=9 filter=""Farmhaus Cider Co."" filter_full_cell_match=true hide_columns=""3"" /]",0,8,41,21,70,2015,2023,8
https://glintcap.org/fenn-valley-vineyards,https://glintcap.org/results/commercial/medalists/fenn-valley-vineyards/,fenn-valley-vineyards,https://ciderguide.com/glintcap/fenn-valley-vineyards/,https://www.fennvalley.com/,Fenn Valley Vineyards,Active,20,Michigan,United States,"[table id=9 filter=""Fenn Valley Vineyards"" filter_full_cell_match=true hide_columns=""3"" /]",0,2,2,2,6,2022,2023,2
