Source,Target,Short_Name,CG_URL,Producer,Status,WID,State_Province,Country,Table_Shortcode,Notes,"[table id=9 filter=""zzz"" filter_full_cell_match=true hide_columns=""3"" /]"
https://glintcap.org/45-north-vineyard-winery,https://glintcap.org/results/commercial/medalists/45-north-vineyard-winery/,45-north-vineyard-winery,https://ciderguide.com/glintcap/medalists/45-north-vineyard-winery/,45 North Vineyard & Winery,Active,2,Michigan,United States,"[table id=9 filter=""45 North Vineyard & Winery"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/jks-farmhouse-ciders,https://glintcap.org/results/commercial/medalists/jks-farmhouse-ciders/,jks-farmhouse-ciders,https://ciderguide.com/glintcap/medalists/jks-farmhouse-ciders/,JK's Farmhouse Ciders,Active,3,Michigan,United States,"[table id=9 filter=""JK's Farmhouse Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/b-nektar,https://glintcap.org/results/commercial/medalists/b-nektar/,b-nektar,https://ciderguide.com/glintcap/medalists/b-nektar/,B. Nektar,Active,4,Michigan,United States,"[table id=9 filter=""B. Nektar"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/bel-lago-winery,https://glintcap.org/results/commercial/medalists/bel-lago-winery/,bel-lago-winery,https://ciderguide.com/glintcap/medalists/bel-lago-winery/,Bel Lago Winery,Active,6,Michigan,United States,"[table id=9 filter=""Bel Lago Winery"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/blakes-hard-cider-co,https://glintcap.org/results/commercial/medalists/blakes-hard-cider-co/,blakes-hard-cider-co,https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/,Blake's Hard Cider Co.,Active,10,Michigan,United States,"[table id=9 filter=""Blake's Hard Cider Co."" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/boss-cider-company,https://glintcap.org/results/commercial/medalists/boss-cider-company/,boss-cider-company,https://ciderguide.com/glintcap/medalists/boss-cider-company/,Boss Cider Company,Active,12,Michigan,United States,"[table id=9 filter=""Boss Cider Company"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/cherry-creek-cellars,https://glintcap.org/results/commercial/medalists/cherry-creek-cellars/,cherry-creek-cellars,https://ciderguide.com/glintcap/medalists/cherry-creek-cellars/,Cherry Creek Cellars,Active,14,Michigan,United States,"[table id=9 filter=""Cherry Creek Cellars"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/corey-lake-orchards,https://glintcap.org/results/commercial/medalists/corey-lake-orchards/,corey-lake-orchards,https://ciderguide.com/glintcap/medalists/corey-lake-orchards/,Corey Lake Orchards,Active,16,Michigan,United States,"[table id=9 filter=""Corey Lake Orchards"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/farmhaus-cider-co,https://glintcap.org/results/commercial/medalists/farmhaus-cider-co/,farmhaus-cider-co,https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/,Farmhaus Cider Co.,Active,19,Michigan,United States,"[table id=9 filter=""Farmhaus Cider Co."" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/fenn-valley-vineyards,https://glintcap.org/results/commercial/medalists/fenn-valley-vineyards/,fenn-valley-vineyards,https://ciderguide.com/glintcap/medalists/fenn-valley-vineyards/,Fenn Valley Vineyards,Active,20,Michigan,United States,"[table id=9 filter=""Fenn Valley Vineyards"" filter_full_cell_match=true hide_columns=""3"" /]",,
