glintcap_short,glintcap_full,glintcap_slug,Medalist,Assumed,World_ID,World_Name_Old,actual_short,notes,World_Name,new_cg_url
https://glintcap.org/cider-corps,https://glintcap.org/results/commercial/medalists/cider-corps/,cider-corps,Cider Corps,https://ciderguide.com/cider-corps,915,Cider Corps,https://ciderguide.com/cider-corps,,Cider Corps,https://ciderguide.com/glintcap/medalists/cider-corps/
https://glintcap.org/stoic-cider,https://glintcap.org/results/commercial/medalists/stoic-cider/,stoic-cider,Stoic Cider,https://ciderguide.com/stoic-cider,594,Stoic Cider,https://ciderguide.com/stoic-cider,,Stoic Cider,https://ciderguide.com/glintcap/medalists/stoic-cider/
https://glintcap.org/black-apple,https://glintcap.org/results/commercial/medalists/black-apple/,black-apple,Black Apple,https://ciderguide.com/black-apple,133,Black Apple,https://ciderguide.com/black-apple,,Black Apple,https://ciderguide.com/glintcap/medalists/black-apple/
https://glintcap.org/101-cider-house,https://glintcap.org/results/commercial/medalists/101-cider-house/,101-cider-house,101 Cider House,https://ciderguide.com/101-cider-house,73,101 Cider House,https://ciderguide.com/101-cider-house,,101 Cider House,https://ciderguide.com/glintcap/medalists/101-cider-house/
https://glintcap.org/ambix-spirits,https://glintcap.org/results/commercial/medalists/ambix-spirits/,ambix-spirits,Ambix Spirits,https://ciderguide.com/ambix-spirits,2135,Ambix Spirits,https://ciderguide.com/ambix-spirits,,Ambix Spirits,https://ciderguide.com/glintcap/medalists/ambix-spirits/
https://glintcap.org/angeles-crest-cider,https://glintcap.org/results/commercial/medalists/angeles-crest-cider/,angeles-crest-cider,#N/A,#N/A,2580,Angeles Crest Cider,none,Added.,Angeles Crest Cider,https://ciderguide.com/glintcap/medalists/angeles-crest-cider/
https://glintcap.org/blindwood-cider,https://glintcap.org/results/commercial/medalists/blindwood-cider/,blindwood-cider,Blindwood Cider,https://ciderguide.com/blindwood-cider,144,Blindwood Cider,https://ciderguide.com/blindwood-cider,,Blindwood Cider,https://ciderguide.com/glintcap/medalists/blindwood-cider/
https://glintcap.org/california-cider-company,https://glintcap.org/results/commercial/medalists/california-cider-company/,california-cider-company,California Cider Company,https://ciderguide.com/california-cider-company,179,California Cider Company,https://ciderguide.com/california-cider-company,,California Cider Company,https://ciderguide.com/glintcap/medalists/california-cider-company/
https://glintcap.org/casa-de-oro-cider,https://glintcap.org/results/commercial/medalists/casa-de-oro-cider/,casa-de-oro-cider,Casa de Oro Cider,https://ciderguide.com/casa-de-oro-cider,2106,Casa de Oro Cider,https://ciderguide.com/casa-de-oro-cider,,Casa de Oro Cider,https://ciderguide.com/glintcap/medalists/casa-de-oro-cider/
https://glintcap.org/cider-brothers,https://glintcap.org/results/commercial/medalists/cider-brothers/,cider-brothers,Cider Brothers,https://ciderguide.com/cider-brothers,193,Cider Brothers,https://ciderguide.com/cider-brothers,,Cider Brothers,https://ciderguide.com/glintcap/medalists/cider-brothers/
https://glintcap.org/common-cider-company,https://glintcap.org/results/commercial/medalists/common-cider-company/,common-cider-company,Common Cider Company,https://ciderguide.com/common-cider-company,211,Common Cider Company,https://ciderguide.com/common-cider-company,,Common Cider Company,https://ciderguide.com/glintcap/medalists/common-cider-company/
https://glintcap.org/devoto-orchards-cider,https://glintcap.org/results/commercial/medalists/devoto-orchards-cider/,devoto-orchards-cider,Devoto Orchards Cider,https://ciderguide.com/devoto-orchards-cider,1857,Devoto Orchards Cider,https://ciderguide.com/devoto-orchards-cider,,Devoto Orchards Cider,https://ciderguide.com/glintcap/medalists/devoto-orchards-cider/
https://glintcap.org/ej-gallo-winery,https://glintcap.org/results/commercial/medalists/ej-gallo-winery/,ej-gallo-winery,#N/A,#N/A,2566,E&J Gallo Winery,none,Added.,E&J Gallo Winery,https://ciderguide.com/glintcap/medalists/ej-gallo-winery/
https://glintcap.org/ethic-ciders,https://glintcap.org/results/commercial/medalists/ethic-ciders/,ethic-ciders,Ethic Ciders,https://ciderguide.com/ethic-ciders,263,Ethic Ciders,https://ciderguide.com/ethic-ciders,,Ethic Ciders,https://ciderguide.com/glintcap/medalists/ethic-ciders/
https://glintcap.org/ficklewood-ciderworks,https://glintcap.org/results/commercial/medalists/ficklewood-ciderworks/,ficklewood-ciderworks,Ficklewood Ciderworks,https://ciderguide.com/ficklewood-ciderworks,1799,Ficklewood Ciderworks,https://ciderguide.com/ficklewood-ciderworks,,Ficklewood Ciderworks,https://ciderguide.com/glintcap/medalists/ficklewood-ciderworks/
https://glintcap.org/foxcraft-hard-cider,https://glintcap.org/results/commercial/medalists/foxcraft-hard-cider/,foxcraft-hard-cider,Foxcraft Hard Cider,https://ciderguide.com/foxcraft-hard-cider,287,Foxcraft Hard Cider,https://ciderguide.com/foxcraft-hard-cider,,Foxcraft Hard Cider,https://ciderguide.com/glintcap/medalists/foxcraft-hard-cider/
https://glintcap.org/fort-point-beer-company,https://glintcap.org/results/commercial/medalists/fort-point-beer-company/,fort-point-beer-company,Fort Point Beer Company,https://ciderguide.com/fort-point-beer-company,2079,Fort Point Beer Company,https://ciderguide.com/fort-point-beer-company,,Fort Point Beer Company,https://ciderguide.com/glintcap/medalists/fort-point-beer-company/
https://glintcap.org/friendly-noise,https://glintcap.org/results/commercial/medalists/friendly-noise/,friendly-noise,Friendly Noise,https://ciderguide.com/friendly-noise,2080,Friendly Noise,https://ciderguide.com/friendly-noise,,Friendly Noise,https://ciderguide.com/glintcap/medalists/friendly-noise/
https://glintcap.org/goat-rock-cider-company,https://glintcap.org/results/commercial/medalists/goat-rock-cider-company/,goat-rock-cider-company,Goat Rock Cider Company,https://ciderguide.com/goat-rock-cider-company,1011,Goat Rock Cider Company,https://ciderguide.com/goat-rock-cider-company,,Goat Rock Cider Company,https://ciderguide.com/glintcap/medalists/goat-rock-cider-company/
https://glintcap.org/golden-state-cider,https://glintcap.org/results/commercial/medalists/golden-state-cider/,golden-state-cider,Golden State Cider,https://ciderguide.com/golden-state-cider,298,Golden State Cider,https://ciderguide.com/golden-state-cider,,Golden State Cider,https://ciderguide.com/glintcap/medalists/golden-state-cider/
https://glintcap.org/gowans-heirloom-cider,https://glintcap.org/results/commercial/medalists/gowans-heirloom-cider/,gowans-heirloom-cider,#N/A,#N/A,303,Gowan's Heirloom Ciders,https://ciderguide.com/gowans-heirloom-ciders,,Gowan's Heirloom Ciders,https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/
https://glintcap.org/humboldt-cider-company,https://glintcap.org/results/commercial/medalists/humboldt-cider-company/,humboldt-cider-company,Humboldt Cider Company,https://ciderguide.com/humboldt-cider-company,342,Humboldt Cider Company,https://ciderguide.com/humboldt-cider-company,,Humboldt Cider Company,https://ciderguide.com/glintcap/medalists/humboldt-cider-company/
https://glintcap.org/ironbark-ciderworks,https://glintcap.org/results/commercial/medalists/ironbark-ciderworks/,ironbark-ciderworks,Ironbark Ciderworks,https://ciderguide.com/ironbark-ciderworks,348,Ironbark Ciderworks,https://ciderguide.com/ironbark-ciderworks,,Ironbark Ciderworks,https://ciderguide.com/glintcap/medalists/ironbark-ciderworks/
https://glintcap.org/lassen-traditional-cider,https://glintcap.org/results/commercial/medalists/lassen-traditional-cider/,lassen-traditional-cider,Lassen Traditional Cider,https://ciderguide.com/lassen-traditional-cider,380,Lassen Traditional Cider,https://ciderguide.com/lassen-traditional-cider,,Lassen Traditional Cider,https://ciderguide.com/glintcap/medalists/lassen-traditional-cider/
https://glintcap.org/leaky-barrel-cider-company,https://glintcap.org/results/commercial/medalists/leaky-barrel-cider-company/,leaky-barrel-cider-company,Leaky Barrel Cider Company,https://ciderguide.com/leaky-barrel-cider-company,2057,Leaky Barrel Cider Company,https://ciderguide.com/leaky-barrel-cider-company,,Leaky Barrel Cider Company,https://ciderguide.com/glintcap/medalists/leaky-barrel-cider-company/
https://glintcap.org/meraki-cider,https://glintcap.org/results/commercial/medalists/meraki-cider/,meraki-cider,Meraki Cider,https://ciderguide.com/meraki-cider,413,Meraki Cider,https://ciderguide.com/meraki-cider,,Meraki Cider,https://ciderguide.com/glintcap/medalists/meraki-cider/
https://glintcap.org/mount-diablo-cider-company,https://glintcap.org/results/commercial/medalists/mount-diablo-cider-company/,mount-diablo-cider-company,Mount Diablo Cider Company,https://ciderguide.com/mount-diablo-cider-company,1908,Mount Diablo Cider Company,https://ciderguide.com/mount-diablo-cider-company,,Mount Diablo Cider Company,https://ciderguide.com/glintcap/medalists/mount-diablo-cider-company/
https://glintcap.org/posterity-ciderworks,https://glintcap.org/results/commercial/medalists/posterity-ciderworks/,posterity-ciderworks,Posterity Ciderworks,https://ciderguide.com/posterity-ciderworks,1873,Posterity Ciderworks,https://ciderguide.com/posterity-ciderworks,,Posterity Ciderworks,https://ciderguide.com/glintcap/medalists/posterity-ciderworks/
https://glintcap.org/raging-cider-mead,https://glintcap.org/results/commercial/medalists/raging-cider-mead/,raging-cider-mead,Raging Cider & Mead,https://ciderguide.com/raging-cider-mead,498,Raging Cider & Mead,https://ciderguide.com/raging-cider-mead,,Raging Cider & Mead,https://ciderguide.com/glintcap/medalists/raging-cider-mead/
https://glintcap.org/rider-ranch,https://glintcap.org/results/commercial/medalists/rider-ranch/,rider-ranch,Rider Ranch,https://ciderguide.com/rider-ranch,517,Rider Ranch,https://ciderguide.com/rider-ranch,,Rider Ranch,https://ciderguide.com/glintcap/medalists/rider-ranch/
https://glintcap.org/s-martinelli-co,https://glintcap.org/results/commercial/medalists/s-martinelli-co/,s-martinelli-co,S. Martinelli & Co.,https://ciderguide.com/s-martinelli-co,537,S. Martinelli & Co.,https://ciderguide.com/s-martinelli-co,,S. Martinelli & Co.,https://ciderguide.com/glintcap/medalists/s-martinelli-co/
https://glintcap.org/santa-cruz-cider-co,https://glintcap.org/results/commercial/medalists/santa-cruz-cider-co/,santa-cruz-cider-co,Santa Cruz Cider Co.,https://ciderguide.com/santa-cruz-cider-co,543,Santa Cruz Cider Co.,https://ciderguide.com/santa-cruz-cider-co,,Santa Cruz Cider Co.,https://ciderguide.com/glintcap/medalists/santa-cruz-cider-co/
