Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,City,State_Province,Country,Status,Results,URL,Google,Latitude,Longitude
Uncle John's,19,28,91,73,211,2005,2023,17,St Johns,Michigan,United States,Active,https://ciderguide.com/uncle-johns/,https://www.ujcidermill.com/,https://maps.google.com/?cid=16260144443906622289,43.112648,-84.561921
2 Towns Ciderhouse,4,19,94,70,187,2012,2023,11,Corvallis,Oregon,United States,Active,https://ciderguide.com/2-towns-ciderhouse/,http://www.2townsciderhouse.com/,https://maps.google.com/?cid=10429935694700508047,44.563505,-123.226185
Angry Orchard,5,8,53,70,136,2013,2023,10,Walden,New York,United States,Active,https://ciderguide.com/angry-orchard/,https://www.angryorchard.com/,https://maps.google.com/?cid=17467507983407382578,41.587128,-74.221692
Seattle Cider Company,9,14,62,44,129,2015,2023,8,Seattle,Washington,United States,Active,https://ciderguide.com/seattle-cider-company/,http://www.seattlecidercompany.com/,https://maps.google.com/?cid=10339393864619567754,47.560327,-122.337605
Haykin Family Cider,9,14,64,22,109,2017,2023,6,Aurora,Colorado,United States,Active,https://ciderguide.com/haykin-family-cider/,http://www.haykinfamilycider.com/,https://maps.google.com/?cid=7119124922857734574,39.764391,-104.848127
Twin Pines Orchards & Cider House,3,12,36,43,94,2011,2023,12,Thedford,Ontario,Canada,Active,https://ciderguide.com/twin-pines-orchards-cider-house/,http://www.twinpinesorchards.com/,https://goo.gl/maps/99ZTRGi4xuC2,43.187851,-81.847485
Vander Mill,2,10,47,34,93,2008,2023,14,Grand Rapids,Michigan,United States,Active,https://ciderguide.com/vander-mill/,http://vandermill.com/,https://maps.google.com/?cid=6214407049389872858,42.971697,-85.630719
Vermont Cider Company,7,8,30,43,88,2005,2021,13,Middlebury,Vermont,United States,Active,https://ciderguide.com/vermont-cider-company/,http://www.woodchuck.com/,https://maps.google.com/?cid=9402882086420367798,44.034072,-73.172778
Bauman's Cider,10,18,45,14,87,2016,2023,7,Gervais,Oregon,United States,Active,https://ciderguide.com/baumans-cider/,https://baumanscider.com/,https://maps.google.com/?cid=10038644588886302965,45.1079661,-122.8693386
Snow Capped Cider,10,12,33,27,82,2017,2023,6,Cedaredge,Colorado,United States,Active,https://ciderguide.com/snow-capped-cider/,http://www.snowcappedcider.com/,https://maps.google.com/?cid=373602255640136887,38.898619,-107.924961
Tandem Ciders,5,8,49,19,81,2009,2023,13,Suttons Bay,Michigan,United States,Active,https://ciderguide.com/tandem-ciders/,http://www.tandemciders.com/,https://maps.google.com/?cid=17873533731324152260,45.011335,-85.659757
Gypsy Circus,1,5,35,29,70,2017,2023,4,Kingsport,Tennessee,United States,Active,https://ciderguide.com/gypsy-circus/,https://gypsycircuscider.com/,https://maps.google.com/?cid=4520512866262691085,36.520022,-82.51794
Farmhaus Cider Co.,0,8,41,21,70,2015,2023,8,Hudsonville,Michigan,United States,Active,https://ciderguide.com/farmhaus-cider-co/,http://farmhauscider.com/,https://maps.google.com/?cid=11406839464047037046,42.936623,-85.909009
1911 Established,1,5,41,22,69,2015,2023,7,Marietta,New York,United States,Active,https://ciderguide.com/1911-established/,http://1911established.com/,https://maps.google.com/?cid=13706571465768596510,42.903744,-76.22158
Virtue Cider,1,5,38,24,68,2013,2023,10,Fennville,Michigan,United States,Active,https://ciderguide.com/virtue-cider/,http://www.virtuecider.com/,https://maps.google.com/?cid=8731167836057791034,42.57688,-86.15187
Eden Ciders,10,12,30,14,66,2009,2023,13,Newport,Vermont,United States,Active,https://ciderguide.com/eden-ciders/,https://www.edenciders.com/,https://maps.google.com/?cid=1133141626652589768,44.935976,-72.209246
AeppelTreow Winery & Distillery,4,8,20,34,66,2005,2023,17,Burlington,Wisconsin,United States,Active,https://ciderguide.com/aeppeltreow-winery-distillery/,http://aeppeltreow.com/,https://maps.google.com/?cid=14330457100802755750,42.642658,-88.160186
Northville Winery and Brewing Company,4,4,28,29,65,2008,2023,14,Northville,Michigan,United States,Active,https://ciderguide.com/northville-winery-and-brewing-company/,http://www.thenorthvillewinery.com/,https://maps.google.com/?cid=1839304926738675152,42.437271,-83.475242
