url,style
https://ciderguide.com/glintcap/styles/modern-cider/,Modern Cider
https://ciderguide.com/glintcap/styles/heritage-cider/,Heritage Cider
https://ciderguide.com/glintcap/styles/traditional-cider/,Traditional Cider
https://ciderguide.com/glintcap/styles/natural-cider/,Natural Cider
https://ciderguide.com/glintcap/styles/rose-cider/,Rosé Cider
https://ciderguide.com/glintcap/styles/modern-perry/,Modern Perry
https://ciderguide.com/glintcap/styles/traditional-perry/,Traditional Perry
https://ciderguide.com/glintcap/styles/fruit-cider/,Fruit Cider
https://ciderguide.com/glintcap/styles/hopped-cider/,Hopped Cider
https://ciderguide.com/glintcap/styles/botanical-cider/,Botanical Cider
https://ciderguide.com/glintcap/styles/wood-aged-cider/,Wood Aged Cider
https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/,Wood Aged Specialty Cider
https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/,Specialty Cider and Perry
https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/,Unlimited Cider and Perry
https://ciderguide.com/glintcap/styles/ice-cider/,Ice Cider
https://ciderguide.com/glintcap/styles/fortified-cider/,Fortified Cider
https://ciderguide.com/glintcap/styles/spirits/,Spirits
https://ciderguide.com/glintcap/styles/hopped-cider/,Hopped/Herbal Cider
https://ciderguide.com/glintcap/styles/modern-cider/,Modern Cider - Dry
https://ciderguide.com/glintcap/styles/modern-cider/,Modern Cider - Sweet
https://ciderguide.com/glintcap/styles/heritage-cider/,Heritage Cider - Dry
https://ciderguide.com/glintcap/styles/heritage-cider/,Heritage Cider - Sweet
https://ciderguide.com/glintcap/styles/traditional-cider/,Traditional Cider - Dry
https://ciderguide.com/glintcap/styles/traditional-cider/,Traditional Cider - Sweet
https://ciderguide.com/glintcap/styles/modern-cider/,New World Cider
https://ciderguide.com/glintcap/styles/fortified-cider/,Pommeau
https://ciderguide.com/glintcap/styles/traditional-cider/,English Cider
https://ciderguide.com/glintcap/styles/traditional-cider/,French Cider
https://ciderguide.com/glintcap/styles/wood-aged-cider/,Wood Aged Cider and Perry
https://ciderguide.com/glintcap/styles/botanical-cider/,Spiced Cider
https://ciderguide.com/glintcap/styles/natural-cider/,Sour Cider
https://ciderguide.com/glintcap/styles/natural-cider/,Spanish Cider
https://ciderguide.com/glintcap/styles/spirits/,Eau de vie
https://ciderguide.com/glintcap/styles/spirits/,Brandy
https://ciderguide.com/glintcap/styles/modern-perry/,New World Perry
https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/,Applewine
https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/,Mead
https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/,New England Cider
https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/,Fruit Beer
https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/,Cyser
https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/,Other Melomel (Pear)
https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/,Open Category Mead
https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/,Non Alcoholic Sparkling Cider
