Style,Style_Code,Style_Crosswalk,URL
Modern Cider,a,Modern Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>"
Modern Cider - Dry,A,Modern Cider,
Modern Cider - Sweet,B,Modern Cider,
New World Cider,a,Modern Cider,
Heritage Cider,c,Heritage Cider,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>"
Heritage Cider - Dry,C,Heritage Cider,
Heritage Cider - Sweet,D,Heritage Cider,
Traditional Cider,e,Traditional Cider,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>"
Traditional Cider - Dry,E,Traditional Cider,
Traditional Cider - Sweet,F,Traditional Cider,
English Cider,e,Traditional Cider,
French Cider,f,Traditional Cider,
Natural Cider,G,Natural Cider,"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>"
Spanish Cider,g,Natural Cider,
Sour Cider,g,Natural Cider,
Rosé Cider,H,Rosé Cider,"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>"
Modern Perry,I,Modern Perry,"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>"
New World Perry,i,Modern Perry,
Traditional Perry,J,Traditional Perry,"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>"
Fruit Cider,K,Fruit Cider,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>"
Hopped Cider,L,Hopped Cider,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>"
Hopped/Herbal Cider,l,Hopped Cider,
Botanical Cider,M,Botanical Cider,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>"
Spiced Cider,m,Botanical Cider,
Wood Aged Cider,N,Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>"
Wood Aged Cider and Perry,n,Wood Aged Cider,
Wood Aged Specialty Cider,O,Wood Aged Specialty Cider,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>"
Specialty Cider and Perry,P,Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>"
New England Cider,p,Specialty Cider and Perry,
Applewine,p,Specialty Cider and Perry,
Non Alcoholic Sparkling Cider,p,Specialty Cider and Perry,
Cyser,p,Specialty Cider and Perry,
Mead,p,Specialty Cider and Perry,
Open Category Mead,p,Specialty Cider and Perry,
Other Melomel (Pear),p,Specialty Cider and Perry,
Fruit Beer,p,Specialty Cider and Perry,
Unlimited Cider and Perry,Q,Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>"
Ice Cider,R,Ice Cider,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>"
Fortified Cider,S,Fortified Cider,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>"
Pommeau,s,Fortified Cider,
Spirits,T,Spirits,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>"
Eau de vie,t,Spirits,
Brandy,t,Spirits,
