Style,🏆 BEST IN CLASS,🥇 GOLD,🥈 SILVER,🥉 BRONZE,Total
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",44,150,710,661,1565
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",39,126,524,345,1034
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",40,37,272,208,557
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",19,8,52,38,117
"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",12,9,32,15,68
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",19,4,71,70,164
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",20,8,33,27,88
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",19,112,646,515,1292
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",19,15,141,143,318
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",18,36,237,179,470
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",20,22,178,186,406
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",15,19,106,92,232
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",21,101,503,484,1109
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",18,5,66,98,187
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",25,26,86,63,200
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",23,21,75,54,173
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",21,8,33,24,86
Total,392,707,3765,3202,8066
