col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
,Commercial,,,,,,,Noncommercial,,,,,,Total,,,,,,,
Year,BIC,Gold,Silver,Bronze,Medals,No Medal,Entries,BIC,Gold,Silver,Bronze,No Medal,Entries,BIC,Gold,Silver,Bronze,No Medal,Entries,,
2005,1,6,6,7,20,25,45,1,7,10,11,39,68,2,13,16,18,63,113,,
2006,3,7,15,12,37,?,37,2,12,19,25,?,58,5,19,34,37,?,95,,-18%
2007,1,4,16,15,36,?,36,1,10,28,29,?,68,2,14,44,44,?,104,,-3%
2008,2,3,19,26,50,?,50,2,8,21,37,?,68,4,11,40,63,?,118,,39%
2009,2,9,42,14,67,14,81,2,10,21,37,?,70,4,19,63,51,?,151,,62%
2011,4,29,56,53,142,23,165,3,15,36,41,30,125,7,44,92,94,53,290,,104%
2012,4,11,62,60,137,11,148,1,6,42,69,33,151,5,17,104,129,44,299,,-10%
2013,3,20,89,128,240,60,300,2,6,29,56,48,141,5,26,118,184,108,441,,103%
2014,4,34,122,147,307,68,375,2,5,41,61,47,156,6,39,163,208,115,531,,25%
2015,5,19,154,235,413,66,480,2,9,29,59,38,137,7,28,183,294,104,617,,28%
2016,12,50,255,303,620,164,784,2,12,47,83,75,219,14,62,302,386,239,1003,,63%
2017,54,35,289,353,731,232,963,6,3,43,87,104,243,60,38,332,440,336,1206,,23%
2018,57,53,417,418,945,119,1064,15,13,97,107,38,270,72,66,514,525,157,1334,,10%
2019,60,103,473,439,1075,143,1217,15,12,86,143,111,367,75,115,559,582,254,1584,,14%
2021,60,107,611,374,1152,79,1231,15,33,139,106,37,330,75,140,750,480,116,1561,,1%
2022,60,107,556,317,1040,65,1105,18,17,100,79,32,246,78,124,656,396,97,1351,,-10%
2023,60,110,583,301,1054,80,1134,18,20,93,98,37,266,78,130,676,399,117,1400,,3%
,392,707,3765,3202,8066,1149,9215,107,198,881,1128,669,2983,499,905,4646,4330,1803,12198,,-17%
