ID,Year,Award,Producer,Product,State,Region,WID,Name,Type,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
2,2016,🏆 Winner,AeppelTreow Winery,Barn Swallow Cider,Wisconsin,Central,79,AeppelTreow Winery & Distillery,Cider,Active,http://aeppeltreow.com/,https://www.facebook.com/Aeppeltreow.Ciders/,https://www.instagram.com/aeppeltreow_ciders/,https://maps.google.com/?cid=14330457100802755750,https://www.yelp.com/biz/aeppeltreow-winery-burlington,https://www.tripadvisor.com/Attraction_Review-g59742-d8355389,https://untappd.com/w/aeppeltreow-winery-and-distillery/5397,42.642658,-88.160186
3,2016,🏆 Winner,Argus Cidery,Malus Cuvée Still Apple Wine,Texas,South,96,Argus Cidery,Cider,Active,http://www.arguscidery.com/,https://www.facebook.com/arguscidery,https://www.instagram.com/arguscidery/,,,,https://untappd.com/w/argus-cidery/10075,30.1755719,-97.7833058
4,2016,🏆 Winner,Art+Science Cider+Wine,Wild Perry,Oregon,North,98,Art+Science Cider & Wine,Cider,Active,https://www.artandsciencenw.com/,,https://www.instagram.com/art_science_cider_wine/,https://maps.google.com/?cid=4459649670680406192,https://www.yelp.com/biz/art-science-cider-and-wine-sheridan,,https://untappd.com/w/art-and-science/220656,45.090707,-123.447145
5,2016,🏆 Winner,Big B’s Hard Cider,Orchard Original,Colorado,Central,126,Big B's Hard Cider,Cider,Active,http://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,https://maps.google.com/?cid=78577038036310991,https://www.yelp.com/biz/delicious-orchards-hotchkiss,https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856,https://untappd.com/w/big-bs-fabulous-juices/100389,38.860785,-107.626061
6,2016,🏆 Winner,Big B’s Hard Cider,Pear Supply,Colorado,Central,126,Big B's Hard Cider,Cider,Active,http://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,https://maps.google.com/?cid=78577038036310991,https://www.yelp.com/biz/delicious-orchards-hotchkiss,https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856,https://untappd.com/w/big-bs-fabulous-juices/100389,38.860785,-107.626061
7,2016,🏆 Winner,Eden Ice Cider Company,Semi-Dry Naturally Sparkling Cider,Vermont,East,255,Eden Ciders,Cider,Active,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport,https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348,https://untappd.com/w/eden-specialty-ciders/13108,44.935976,-72.209246
8,2016,🏆 Winner,Eden Ice Cider Company,Heirloom Blend Ice Cider,Vermont,East,255,Eden Ciders,Cider,Active,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport,https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348,https://untappd.com/w/eden-specialty-ciders/13108,44.935976,-72.209246
9,2016,🏆 Winner,Ela Cider Company,Stone Silo,Wisconsin,Central,1847,Ela Cider Co.,Cider,Inactive,http://www.elacider.com/,,,https://maps.google.com/?cid=3629572935422296284,https://www.yelp.com/biz/ela-orchard-rochester,https://www.tripadvisor.com/Attraction_Review-g60241-d2285682,https://untappd.com/w/ela-cider-company/227792,42.744704,-88.247955
10,2016,🏆 Winner,Eve’s Cidery,Albee Hill 2014,New York,East,265,Eve's Cidery,Cider,Active,http://www.evescidery.com/,https://www.facebook.com/evescidery/,https://www.instagram.com/evescidery/,https://maps.google.com/?cid=1539722496531765665,,,https://untappd.com/w/eves-cidery/5396,42.187393,-76.564673
11,2016,🏆 Winner,Finnriver Farm & Cidery,Firebarrel Cider,Washington,North,276,Finnriver Farm & Cidery,Cider,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,48.0097371,-122.7694043
12,2016,🏆 Winner,Shacksbury,Lost & Found,Vermont,East,557,Shacksbury Cider,Cider,Active,http://www.shacksbury.com/,,https://www.instagram.com/shacksbury/,https://maps.google.com/?cid=3671325142868281556,https://www.yelp.com/biz/shacksbury-cider-vergennes,https://www.tripadvisor.com/Attraction_Review-g57429-d12946890,https://untappd.com/w/shacksbury-cider/129613,44.177191,-73.245354
13,2016,🏆 Winner,Snowdrift Cider Co.,Cornice,Washington,North,570,Snowdrift Cider Co.,Cider,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,47.400586,-120.178628
