State,Region
Alabama,South
Alaska,North
Arizona,West
Arkansas,South
California,West
Colorado,Central
Connecticut,East
Delaware,East
Florida,South
Georgia,South
Hawaii,West
Idaho,North
Illinois,Central
Indiana,Central
Iowa,Central
Kansas,Central
Kentucky,South
Louisiana,South
Maine,East
Maryland,East
Massachusetts,East
Michigan,Central
Minnesota,Central
Mississippi,South
Missouri,Central
Montana,North
Nebraska,Central
Nevada,West
New Hampshire,East
New Jersey,East
New Mexico,West
New York,East
North Carolina,South
North Dakota,North
Ohio,Central
Oklahoma,South
Oregon,North
Pennsylvania,East
Rhode Island,East
South Carolina,South
South Dakota,North
Tennessee,South
Texas,South
Utah,West
Vermont,East
Virginia,South
Washington,North
West Virginia,East
Wisconsin,Central
Wyoming,North
District of Columbia,East
