Class,Medal,Producer,Product
Cider up to 5.0% ABV,Gold,Molson Coors Brewing Company,Carling British Cider
Cider up to 5.0% ABV,Silver,Thatchers Cider Ltd,Gold - In Smallpack
Cider up to 5.0% ABV,Bronze,Thatchers Cider Ltd,Gold - In Keg
Cider 5.1% ABV and above,Gold,Thatchers Cider Ltd,Vintage
Cider 5.1% ABV and above,Silver,MacIvors Cider Company,Traditional Dry Cider
Cider 5.1% ABV and above,Bronze,Heineken UK,Bulmers Vintage Reserve
"Cider with other fruit, juices or flavours up to 5.0% ABV",Gold,SHS Group Drinks Division,Merrydown & Black
"Cider with other fruit, juices or flavours up to 5.0% ABV",Silver,AB Abro Bryggeri,Rekorderlig Cider Strawberry - Lime
"Cider with other fruit, juices or flavours up to 5.0% ABV",Bronze,Heineken UK,Bulmers No. 17 Fruit Cider
"Cider with other fruit, juices or flavours 5.1% ABV and above",Gold,Redwood Cider Co,Old Mout Cider - Passionfruit & Cider
