Class,Medal,Producer,Product,Origin
1.1 for Cider Apple Class - Dry,Gold,Aston Manor Cider,Knights Malvern,"Stourport-on-Severn, UK"
1.1 for Cider Apple Class - Dry,Silver,C & C Group,Cloudy Premium Cider,"Shepton Mallet, UK"
1.1 for Cider Apple Class - Dry,Bronze,Angry Orchard,Edu,"New York, USA"
1.2 for Cider Apple Class Medium,Gold,Cider Supply Coles Celliers Associes,Galipette Brut,"Britanny, France"
1.2 for Cider Apple Class Medium,Silver,Aston Manor Cider,Malvern Gold,"Stourport-on-Severn, UK"
1.2 for Cider Apple Class Medium,Bronze,Roquette Cider Co Ltd,Traditional Rocquette Cider,"Guernsey, Channel Islands"
1.3 for Cider Apple Class Sweet,Gold,Zeffer Cider Co,Cidre Demi Sec,"Auckland, New Zealand"
1.3 for Cider Apple Class Sweet,Silver,Kelterei Heil,Cooper's Original,"Laubus-Eschbach, Germany"
2.1 Open Apple Class - Dry,Gold,Manuel Busto Amandi S.A,Natural Cider,"Villaviciosa, Spain"
2.2 Open Apple Class - Medium,Gold,Mac Ivors Cider Co,Traditional Dry Cider,"Lisburn, Northern Ireland"
2.2 Open Apple Class - Medium,Silver,Tempted Cider,Tempted Medium Dry Cider,"Lisburn, Northern Ireland"
2.2 Open Apple Class - Medium,Bronze,Ramborn Cider Co,Ramborn Original Medium Dry,"Grevenmacher, Luxembourg"
2.3 Open Apple Class Sweet,Gold,Mac Ivors Cider Co,Medium Cider,"County Armagh, Northern Ireland"
2.3 Open Apple Class Sweet,Silver,Heineken International,Strongbow Gold Apple,"Canberra, Australia"
2.3 Open Apple Class Sweet,Bronze,Spendrups Bryggeri AB,Briska Appelcider,"Cranesberg, Sweden"
Category 3 - Pear / Pear Cider,Gold,Collective Arts Brewing Co,Pear Saison Cider,"Hamilton, Ontario, Canada"
Category 4 - Fruit Flavoured Cider 3.5-7.5% ABV,Gold,Mac Ivors Cider Co,Plum & Cinger Cider,"County Armagh, Northern Ireland"
Category 4 - Fruit Flavoured Cider 3.5-7.5% ABV,Silver,Tempted Cider,Tempted Elderflower Cider,"Lisburn, Northern Ireland"
Category 4 - Fruit Flavoured Cider 3.5-7.5% ABV,Bronze,Redwood Cider Co,Old Mout Passionfruit & Cider,"Nelson, New Zealand"
Category 5 - Other Flavours Cider 3.5 - 7.5% ABV,Gold,Blakstoc Cider GmbH,Wild Tree Hoppy Cider,"Styria, Austria"
Category 5 - Other Flavours Cider 3.5 - 7.5% ABV,Silver,Heineken International,Strongbow Elderflower,"Aubel, Belgium"
Category 5 - Other Flavours Cider 3.5 - 7.5% ABV,Bronze,Heineken International,Strongbow Honey,"Aubel, Belgium"
Category 6 - Low Alcohol Cider 1.2 - 3.5% ABV,Gold,Junginger Fruchtsafte,Schwabi Apfel,"Neiderstrotzingen, Germany"
Category 6 - Low Alcohol Cider 1.2 - 3.5% ABV,Silver,Junginger Fruchtsfte,Schwabi Holunderblute (Elderflower),"Neiderstrotzingen, Germany"
Category 6 - Low Alcohol Cider 1.2 - 3.5% ABV,Bronze,Adam & Eva GbR,Eva Cider (2.7% Alc),"Bodensee, Germany"
Category 7 - Specialty Cider,Gold,Hogan's Cider,Killer Sharp,"Alcester, UK"
Category 7 - Specialty Cider,Silver,Shappys Cider ltd,Iwood Limited Edition,"Taunton, UK"
Category 7 - Specialty Cider,Bronze,Angry Orchard,The Old Fashioned,New York USA
