ID,Style,Order,Award,Producer,Product,Town/City,Region,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
4,Tannic Cider - Dry,1,🥇 Gold,Bauman’s Cider Company,Do You Fancy A Roadtrip?,Portland,Oregon,United States,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
3,Tannic Cider - Dry,1,🥈 Silver,Bauman’s Cider Company,Sauvie Island Blend,Portland,Oregon,United States,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
2,Tannic Cider - Dry,1,🥉 Bronze,Hogan’s Cider,Hogan’s Dry Cider,Alcester,Warwickshire,England,1150,https://www.hoganscider.co.uk/,https://www.facebook.com/HogansCider/,https://www.instagram.com/hoganscider/,https://maps.google.com/?cid=344551779062280462,,https://untappd.com/brewery/27309,52.2205461,-1.8336097
7,Tannic Cider - Medium,2,🥇 Gold,2 Towns Ciderhouse,2022 Cidre Bouché,Corvallis,Oregon,United States,67,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
6,Tannic Cider - Medium,2,🥈 Silver,Bauman’s Cider Company,Little Green Apples,Portland,Oregon,United States,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
5,Tannic Cider - Medium,2,🥉 Bronze,2 Towns Ciderhouse,Kingston Black Single Varietal,Corvallis,Oregon,United States,67,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
8,Tannic Cider - Sweet,3,🥇 Gold,Dunkertons Organic Cider,Vintage Organic Cider,Cheltenham,Gloucestershire,England,1133,https://www.dunkertonscider.co.uk/,https://www.facebook.com/dunkertonsorganiccider/,https://www.instagram.com/dunkertonscider/,https://maps.google.com/?cid=4719921113153419800,,https://untappd.com/brewery/12988,51.8771374,-2.0279869
10,Modern Cider - Dry,4,🥇 Gold,Bauman’s Cider Company,Authentic Cider,Portland,Oregon,United States,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
9,Modern Cider - Dry,4,🥈 Silver,Alde,Alde Sider,Hardanger,,Norway,2546,https://www.aldesider.no/,https://www.facebook.com/aldesider,https://www.instagram.com/aldesider/,https://maps.google.com/?cid=7838999053969928967,,https://untappd.com/Alde_hardanger,60.2448984,6.5638617
13,Modern Cider - Medium,5,🥇 Gold,"Valle, Ballina y Fernandez",Sidra El Gaitero Etiqueta Negra,,Asturias,Spain,1314,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
12,Modern Cider - Medium,5,🥈 Silver,Portland Cider Company,English Pub,Clackamas,Oregon,United States,490,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,45.415288,-122.572714
11,Modern Cider - Medium,5,🥉 Bronze,Stassen Cidrerie,Stassen Cidre Brut,Aubel,,Belgium,3125,https://www.cidreriestassen.com/,,,https://maps.google.com/?cid=3414465612960585932,,https://untappd.com/w/stassen-vin-cie/12274,50.7042612,5.8644305
