WID,Medalist,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
87,Angry Orchard,United States,4,2,5,11,2015,2021,4,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
1250,Bulmers,England,2,3,5,10,2013,2019,4,Active,https://www.bulmers.co.uk/,https://www.facebook.com/Bulmers/,https://www.instagram.com/bulmers_cider/,https://maps.google.com/?cid=13460408443952843212,,,https://untappd.com/bulmersamerica,52.0616035,-2.7252397,0
2698,Ramborn Cider Co.,Luxembourg,4,2,3,9,2017,2021,3,Active,https://www.ramborn.com/,https://www.facebook.com/RambornUS/,https://www.instagram.com/rambornciderco/,https://maps.google.com/?cid=16691194016355154342,,https://www.tripadvisor.com/Attraction_Review-g206525-d12591209,https://untappd.com/Ramborn,49.7599024,6.5135119,0
1118,Sheppy's Cider,England,5,3,0,8,2015,2021,4,Active,https://www.sheppyscider.com/,https://www.facebook.com/sheppyscider/,https://www.instagram.com/sheppyscider/,https://maps.google.com/?cid=14572513592829460886,,https://www.tripadvisor.com/Attraction_Review-g190730-d6870973,https://untappd.com/brewery/7956,50.9935861,-3.1723149,0
1150,Hogan's Cider,England,3,3,1,7,2017,2024,4,Active,https://www.hoganscider.co.uk/,https://www.facebook.com/HogansCider/,https://www.instagram.com/hoganscider/,https://maps.google.com/?cid=344551779062280462,,,https://untappd.com/brewery/27309,52.2205461,-1.8336097,0
1265,Stonewell Cider,Ireland,4,2,0,6,2019,2024,3,Active,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,,https://untappd.com/Nohoval_Drinks_Company_Ltd,51.8093009,-8.3699975,0
118,Bauman's Cider,United States,3,3,0,6,2021,2024,2,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386,0
1457,Mac Ivors Cider,Northern Ireland,4,1,0,5,2013,2017,3,Active,https://macivors.com/,https://www.facebook.com/macivorsciderco,https://www.instagram.com/macivorscider/,https://maps.google.com/?cid=11494220960590509719,,,https://untappd.com/brewery/39281,54.4457975,-6.5934788,0
1119,Thatchers Cider,England,1,2,2,5,2013,2021,3,Active,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779,0
1147,Redwood Cider Co.,New Zealand,2,0,1,3,2013,2021,3,Active,https://www.db.co.nz/,,,https://maps.google.com/?cid=6996062561310556831,,,https://untappd.com/w/redwood-cider-co/184117,-41.3018135,173.074386,0
1916,Sidewood Estate,Australia,2,0,1,3,2019,2021,2,Active,https://sidewood.com.au/,https://www.facebook.com/SidewoodEstate/,https://www.instagram.com/sidewoodestate/,https://maps.google.com/?cid=16006910239256404559,,https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424,https://untappd.com/w/sidewood-estate/118552,-35.0207278,138.7945874,0
