WID,Medalist,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
87,Angry Orchard,United States,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
1250,Bulmers,England,2,3,5,10,2013,2019,4,Active,"<a href=""https://www.bulmers.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Bulmers/"">Facebook</a>","<a href=""https://www.instagram.com/bulmers_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13460408443952843212"">Google</a>",,,"<a href=""https://untappd.com/bulmersamerica"">Untappd</a>"
2698,Ramborn Cider Co.,Luxembourg,4,2,3,9,2017,2021,3,Active,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>","<a href=""https://untappd.com/Ramborn"">Untappd</a>"
1118,Sheppy's Cider,England,5,3,0,8,2015,2021,4,Active,"<a href=""https://www.sheppyscider.com/"">Website</a>","<a href=""https://www.facebook.com/sheppyscider/"">Facebook</a>","<a href=""https://www.instagram.com/sheppyscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14572513592829460886"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g190730-d6870973"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/7956"">Untappd</a>"
1150,Hogan's Cider,England,3,3,1,7,2017,2024,4,Active,"<a href=""https://www.hoganscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HogansCider/"">Facebook</a>","<a href=""https://www.instagram.com/hoganscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=344551779062280462"">Google</a>",,,"<a href=""https://untappd.com/brewery/27309"">Untappd</a>"
1265,Stonewell Cider,Ireland,4,2,0,6,2019,2024,3,Active,"<a href=""https://www.stonewellcider.com/"">Website</a>","<a href=""https://www.facebook.com/stonewellcider"">Facebook</a>","<a href=""https://www.instagram.com/stonewellcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6638378960827420170"">Google</a>",,,"<a href=""https://untappd.com/Nohoval_Drinks_Company_Ltd"">Untappd</a>"
118,Bauman's Cider,United States,3,3,0,6,2021,2024,2,Active,"<a href=""https://baumanscider.com/"">Website</a>","<a href=""https://www.facebook.com/Baumanscider/"">Facebook</a>","<a href=""https://www.instagram.com/baumanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10038644588886302965"">Google</a>","<a href=""https://www.yelp.com/biz/baumans-farm-and-garden-gervais"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51881-d6848567"">TripAdvisor</a>","<a href=""https://untappd.com/w/baumans-cider-company/253872"">Untappd</a>"
1457,Mac Ivors Cider,Northern Ireland,4,1,0,5,2013,2017,3,Active,"<a href=""https://macivors.com/"">Website</a>","<a href=""https://www.facebook.com/macivorsciderco"">Facebook</a>","<a href=""https://www.instagram.com/macivorscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11494220960590509719"">Google</a>",,,"<a href=""https://untappd.com/brewery/39281"">Untappd</a>"
1119,Thatchers Cider,England,1,2,2,5,2013,2021,3,Active,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
1147,Redwood Cider Co.,New Zealand,2,0,1,3,2013,2021,3,Active,"<a href=""https://www.db.co.nz/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6996062561310556831"">Google</a>",,,"<a href=""https://untappd.com/w/redwood-cider-co/184117"">Untappd</a>"
