ID,Category,Medal,Company Name,Cider Name
2,Flavoured Cider,🏆 Trophy,BlakStoc Cider GmbH,Wild Tree Hoppy Cider
3,Flavoured Cider,🏆 Trophy,Celtic Marches,Cuckoo Penny 4% Rhubarb Cider
4,Flavoured Cider,🥇 Gold,Marks and Spencer,Devon Farmhouse Cider with Raspberry (Bottle)
5,Flavoured Cider,🥇 Gold,THE GOOD CIDER OF SAN SEBASTIAN,THE GOOD CIDER OF SAN SEBASTIAN WILD BERRY
6,Flavoured Cider,🥈 Silver,Angry Orchard,Maple Wooden Sleeper
7,Flavoured Cider,🥈 Silver,Angry Orchard,Summery Honey
8,Flavoured Cider,🥈 Silver,Appie,Le Brut au miel
9,Flavoured Cider,🥈 Silver,BlakStoc Cider GmbH,BuddhaÂ´s Hand Lemon Cider
10,Flavoured Cider,🥈 Silver,BlakStoc Cider GmbH,Quincy Jo & Hops Edition
11,Flavoured Cider,🥈 Silver,Celtic Marches,Ruby Tuesday 4% Raspberry Cider
12,Flavoured Cider,🥈 Silver,Cidrerie Beaupré,Cidre Houblonné
13,Flavoured Cider,🥈 Silver,Goldkehlchen KG,Goldkehlchen Cassis
14,Flavoured Cider,🥈 Silver,Hogan's Cider Ltd,Hogan's Wild Elder Cider
15,Flavoured Cider,🥈 Silver,"Kiezbaum (S. GrÃ¼ner, I. Kunisch GbR)",Kiezbaum Cider (Pear)
16,Flavoured Cider,🥈 Silver,Les Celliers Associés,L'Authentique French Cider Ginger Lemon
17,Flavoured Cider,🥈 Silver,Lyme Bay Winery,Ammonite Series with Botanicals
18,Flavoured Cider,🥈 Silver,Lyme Bay Winery,Ammonite Series with Hops
19,Flavoured Cider,🥈 Silver,Lyme Bay Winery,Ammonite Series with Sour Cherry
20,Flavoured Cider,🥈 Silver,Marks and Spencer,Kentish Pip Katy Apple and Rhubarb Cider
21,Flavoured Cider,🥈 Silver,The Beard and Sabre Cider Company,Berrymaster
22,Flavoured Cider,🥈 Silver,Westons Cider,Stowford Press Mixed Berries
23,Flavoured Cider,🥈 Silver,Wignac,Le Goupil de Wignac
24,Flavoured Cider,🥉 Bronze,50 Knots Beverage Company Ltd,Crooked Ginger n Cider
25,Flavoured Cider,🥉 Bronze,Angry Orchard,Cinnful Apple
26,Flavoured Cider,🥉 Bronze,Angry Orchard,The Old Fashioned
27,Flavoured Cider,🥉 Bronze,Angry Orchard,Wassail Wooden Sleeper
28,Flavoured Cider,🥉 Bronze,Aston Manor Cider,Kingstone Press Wild Berry
29,Flavoured Cider,🥉 Bronze,Blakstoc Cider GmbH,All Saints In The House
30,Flavoured Cider,🥉 Bronze,BlakStoc Cider Gmbh,Ginger For My Honey
31,Flavoured Cider,🥉 Bronze,BlakStoc CIder GmbH,OMG Ugly Apple Cider
32,Flavoured Cider,🥉 Bronze,Cider Brothers,Pacific Coast Hard Apple Cider with Mango and Muscat
33,Flavoured Cider,🥉 Bronze,Custom Drinks,Maeloc Blackberry Cider
34,Flavoured Cider,🥉 Bronze,Custom Drinks,Maeloc Pineapple Pear Cider
35,Flavoured Cider,🥉 Bronze,Dudda's Tun Cider,Cherry Cider
36,Flavoured Cider,🥉 Bronze,Hawkes,Urban Orchard Mixed Berry Cider
37,Flavoured Cider,🥉 Bronze,Hogan's Cider Ltd,Hogan's Hip Hop Cider
38,Flavoured Cider,🥉 Bronze,Le Bon Vin,Cidre Loic Raison Framboise
39,Flavoured Cider,🥉 Bronze,Les Celliers Associés,L'Authentique French Cider Pear
40,Flavoured Cider,🥉 Bronze,Les Celliers Associés,L'Authentique French Cider Raspberry
41,Flavoured Cider,🥉 Bronze,Long Meadow Cider Ltd,Rhubarb & Honey Cider
42,Flavoured Cider,🥉 Bronze,Marks and Spencer,Devon Farmhouse Cider with Elderflower Infusion (Bottle)
43,Flavoured Cider,🥉 Bronze,Marks and Spencer,Devon Farmhouse Cider with Elderflower Infusion (Can)
44,Flavoured Cider,🥉 Bronze,Marks and Spencer,Devon Farmhouse Cider with Raspberry (Can)
45,Flavoured Cider,🥉 Bronze,Marks and Spencer,M&S Berry Cider
46,Flavoured Cider,🥉 Bronze,Ramborn Cider Co.,Ramborn Cascade - Hopped Cider
47,Flavoured Cider,🥉 Bronze,Sandford Orchards,Fanny's Bramble
48,Flavoured Cider,🥉 Bronze,Sandford Orchards,St Louis Dry Hopped Cider
49,Flavoured Cider,🥉 Bronze,SIIDRIKODA,Pööripäev
50,Flavoured Cider,🥉 Bronze,THE GOOD CIDER OF SAN SEBASTIAN,THE GOOD CIDER OF SAN SEBASTIAN PEAR
51,Flavoured Cider,🥉 Bronze,THE GOOD CIDER OF SAN SEBASTIAN,THE GOOD CIDER OF SAN SEBASTIAN STRAWBERRY
52,Flavoured Cider,🥉 Bronze,Westons Cider,Mortimer's Orchard English Berry
53,Flavoured Cider,🥉 Bronze,Westons Cider,Rosie's Pig Raspberry Roller Sparkling Cloudy Cider
54,Ice Cider,🥈 Silver,Cold Hand Winery,Malus Danica 2014 - cuvee Barrique
55,Ice Cider,🥉 Bronze,Brännland Cider AB,Brännland Iscider Barrique 2015 11%
56,Ice Cider,🥉 Bronze,Brännland Cider AB,"Brännland Iscider Lobo 2015 10,2%"
57,Ice Cider,🥉 Bronze,Cold Hand Winery,Malus Danica 2013 - cuvee Essencia
58,Low Alcohol Cider,🥈 Silver,Appie,Le Rosé
59,Low Alcohol Cider,🥈 Silver,Cider Supply Co.,Galipette Cidre Biologique
