ID,Category,Medal,Producer,Product,Subcategory
2,Flavoured,🏆 Trophy,Ydun Cider,Raw Cider - Orange Quince Cider,Cider with Fruits & Flowers
3,Flavoured,🥈 Silver,Beard and Sabre,Dolores,Cider with Hops
4,Flavoured,🥈 Silver,Celtic Marches,Celtic Marches Mango,Cider with Fruits & Flowers
5,Flavoured,🥈 Silver,Ciderclan / Mosterei Möhl AG,Möhl Dry Hopped Apple Cider,Cider with Hops
6,Flavoured,🥈 Silver,Ciderclan / Mosterei Möhl AG,Möhl Grapefruit Apple Cider,Cider with Fruits & Flowers
7,Flavoured,🥈 Silver,Doggerland Craft Cider,Ad Hop,Cider with Hops
8,Flavoured,🥈 Silver,Dudda's Tun Cider,Dudda's Tun Elderflower,Cider with Fruits & Flowers
9,Flavoured,🥈 Silver,Hawkes Cider,Pineapple Punch,Cider with Fruits & Flowers
10,Flavoured,🥈 Silver,Hogan's Cider,Hogan's Wild Elder Cider,Cider with Fruits & Flowers
11,Flavoured,🥈 Silver,Les Celliers Associés,L'Authentique French Cider Ginger Lemon,Cider with Herbs & Spices
12,Flavoured,🥈 Silver,Marks & Spencer,Braeburn Apple & Cherry,Cider with Fruits & Flowers
13,Flavoured,🥈 Silver,Thistly Cross Cider,Thistly Cross Strawberry,Cider with Fruits & Flowers
14,Flavoured,🥈 Silver,Turners Cider,Turners Elderflower Cider,Cider with Fruits & Flowers
15,Flavoured,🥈 Silver,"Valle, Ballina y Fernandez SA (Grupo el Gaitero)",Gaitero Spanish Cider with Red Grape,Cider with Fruits & Flowers
16,Flavoured,🥉 Bronze,Custom Drinks S.L.U.,Maeloc Blackberry,Cider with Fruits & Flowers
17,Flavoured,🥉 Bronze,Custom Drinks S.L.U.,Maeloc Pineapple Pear,Cider with Fruits & Flowers
18,Flavoured,🥉 Bronze,Dudda's Tun Cider,Dudda's Tun Cherry,Cider with Fruits & Flowers
19,Flavoured,🥉 Bronze,Hawkes Cider,Sucker For Pumpkins,Cider with Herbs & Spices
20,Flavoured,🥉 Bronze,Hogan's Cider,Hogan's Hip Hop Cider,Cider with Hops
21,Flavoured,🥉 Bronze,Lost Orchards,Lost Orchards Scottish Dark Berries,Cider with Fruits & Flowers
22,Flavoured,🥉 Bronze,Marks & Spencer,Devon Farmhouse Cider with Elderflower Infusion,Cider with Fruits & Flowers
23,Flavoured,🥉 Bronze,Sheppy's Cider,Sheppy's Cider with Raspberry,Cider with Fruits & Flowers
24,Flavoured,🥉 Bronze,Thistly Cross Cider,Thistly Cross Real Elderflower,Cider with Fruits & Flowers
25,Flavoured,🥉 Bronze,Thistly Cross Cider,Thistly Cross Real Ginger,Cider with Herbs & Spices
26,Flavoured,🥉 Bronze,Turners Cider,Turners Apple Pie Cider,Cider with Herbs & Spices
27,Flavoured,🥉 Bronze,Ty Gwyn Cider,Ty Gwyn Cider 'Black and Browns' Blackcurrant Cider,Cider with Fruits & Flowers
28,Ice Cider,🏆 Trophy,Cold Hand Winery,Malus Danica 2016,
29,Ice Cider,🥈 Silver,Ramborn Cider Co.,Meadow Orchard Ice Cider,
30,Ice Cider,🥉 Bronze,Angry Orchard Brewing Co,Ice Cider,
31,Ice Cider,🥉 Bronze,"Valle, Ballina y Fernandez SA (Grupo el Gaitero)",1898,
32,Low and No Alcohol,🏆 Trophy,Waitrose & Partners,Waitrose Low Alcohol Cider,
33,Low and No Alcohol,🥇 Gold,Courtney's Drinks,Courtney's Light,
34,Low and No Alcohol,🥈 Silver,Les Celliers Associés,L'Authentique French Cider Doux,
35,Low and No Alcohol,🥈 Silver,Les Celliers Associés,Val de Rance Cru Breton Doux,
36,Low and No Alcohol,🥈 Silver,Lost Orchards,Scottish Pure Apple Low Alcohol,
37,Low and No Alcohol,🥈 Silver,Sheppy's Cider,Sheppy's Low Alcohol Classic Cider,
38,Low and No Alcohol,🥈 Silver,Westons Cider,Stowford Press Low Alcohol Cider,
39,Low and No Alcohol,🥉 Bronze,Celtic Marches,Holly GoLightly,
40,Low and No Alcohol,🥉 Bronze,Hawkes Cider,Designated Apple Cider,
41,Low and No Alcohol,🥉 Bronze,Hawkes Cider,Designated Cider - Mixed Berry,
42,Naturally Sparkling,🏆 Trophy,Eclor Boissons,Ecusson Doux Bio,Bottle Conditioned (including French Style)
43,Naturally Sparkling,🥇 Gold,Del Fatti Laura Ditta Individuale,Melagodo Extra-Dry,Bottle Fermented
44,Naturally Sparkling,🥈 Silver,Cidre Le Brun Bigoud,Cidre Le Brun AOP Cornouaille,Bottle Fermented
45,Naturally Sparkling,🥈 Silver,Cold Hand Winery,Vinter 2017,Bottle Fermented
46,Naturally Sparkling,🥈 Silver,Eclor Boissons,Ecusson Rosé,Bottle Conditioned (including French Style)
47,Naturally Sparkling,🥈 Silver,Hampshire Downs Fine Cider Company,Chalkdown Cider 2015,Bottle Fermented
48,Naturally Sparkling,🥈 Silver,Hampshire Downs Fine Cider Company,Chalkdown Cider Extra Lees Aged,Bottle Fermented
49,Naturally Sparkling,🥈 Silver,Hush Heath Estate,Jake's Orchard Cider,Bottle Fermented
50,Naturally Sparkling,🥈 Silver,"Valle, Ballina y Fernandez SA (Grupo el Gaitero)",El Gaitero Black Label,Bottle Conditioned (including French Style)
51,Naturally Sparkling,🥈 Silver,"Valle, Ballina y Fernandez SA (Grupo el Gaitero)",Pomarina Brut,Bottle Conditioned (including French Style)
52,Naturally Sparkling,🥈 Silver,Ydun Cider,Raw Cider - Dumolobo,Bottle Fermented
53,Naturally Sparkling,🥉 Bronze,Angry Orchard Brewing Co,Trois Pommes,Bottle Conditioned (including French Style)
54,Naturally Sparkling,🥉 Bronze,Azienda Agricola Docendo Discitur di Provino Lale-Demoz,Alma Cider Extra Dry 2018 Pink Label,Bottle Fermented
55,Naturally Sparkling,🥉 Bronze,Del Fatti Laura Ditta Individuale,Melagodo Brut,Bottle Fermented
56,Naturally Sparkling,🥉 Bronze,Eclor Boissons,Ecusson Brut Bio,Bottle Conditioned (including French Style)
57,Naturally Sparkling,🥉 Bronze,The Portsmouth Distillery Co,Fort Cyder,Bottle Conditioned (including French Style)
58,New World Style,🏆 Trophy,ALDI Stores (Aust),Storm European Apple Cider,Sweet Cider
59,New World Style,🥈 Silver,ALDI Stores (Aust),Devils Orchard Apple Cider,Dry Cider
60,New World Style,🥈 Silver,Ceres Cider Company,Loxtonia Crispy Apple Cider,Medium Cider
