ID,Medal,Category,Producer,Product,Subcategory
4,🏆 Trophy,Flavoured,Mūrbūdu Sidrs,Aroniju Sidrs,Cider with Fruits & Flowers
14,🥈 Silver,Flavoured,Celtic Marches,Pulp Rhubarb & Mango 4%,Cider with Fruits & Flowers
25,🥈 Silver,Flavoured,Mūrbūdu Sidrs,Apiņotais,Cider with Hops
39,🥈 Silver,Flavoured,Thistly Cross,Thistly Cross Strawberry,Cider with Fruits & Flowers
40,🥈 Silver,Flavoured,Trillium Beverages,Thirsty Fox Kipp,Cider with Hops
44,🥈 Silver,Flavoured,"Valle, Ballina y Fernandez SA",Spring Cider Apple & Grape,Cider with Fruits & Flowers
49,🥈 Silver,Flavoured,Westons Cider,Rosie's Pig Rhubarb,Cider with Fruits & Flowers
53,🥉 Bronze,Flavoured,Aston Manor Cider,Friels Rhubarb Cider,Cider with Fruits & Flowers
60,🥉 Bronze,Flavoured,Celtic Marches,Pulp Rhubarb 4%,Cider with Fruits & Flowers
76,🥉 Bronze,Flavoured,Hawkes Cider,Cyser. Hawkes X Gosnells Meadery Collab,Cider with Hops
78,🥉 Bronze,Flavoured,Hawkes Cider,Pineapple Punch Cider,Cider with Fruits & Flowers
80,🥉 Bronze,Flavoured,Healeys Cornish Cyder Farm,Rattler Peach Cyder,Cider with Fruits & Flowers
81,🥉 Bronze,Flavoured,Healeys Cornish Cyder Farm,Rattler Pineapple Cyder,Cider with Fruits & Flowers
83,🥉 Bronze,Flavoured,Kelterei Heil,Cooper's Dry Hopped,Cider with Hops
90,🥉 Bronze,Flavoured,Lidl GB,Sötoma Pineapple & Raspberry Cider,Cider with Fruits & Flowers
93,🥉 Bronze,Flavoured,Monkey House Cider,Monkey House Pineapple & Passionfruit,Cider with Fruits & Flowers
97,🥉 Bronze,Flavoured,Mūrbūdu Sidrs,Džindžeris,Cider with Herbs & Spices
108,🥉 Bronze,Flavoured,The Greater Good Fresh Brewing Co.,Waltham Forest Cider,Cider with Fruits & Flowers
109,🥉 Bronze,Flavoured,Thistly Cross,Thistly Cross Elderflower,Cider with Fruits & Flowers
110,🥉 Bronze,Flavoured,Thistly Cross,Thistly Cross Ginger,Cider with Herbs & Spices
112,🥉 Bronze,Flavoured,Thistly Cross,Thistly Cross Scottish Fruits,Cider with Fruits & Flowers
