ID,Category,Medal,Medalist,Producer,Entry,Country,Subcategory,WID,Order,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,Acid Led Cider,🏆TROPHY,Balfour Winery,Balfour Winery,Jake's Cider,England,Medium,3094,1,https://balfourwinery.com/,https://www.facebook.com/jakesdrinks/,https://www.instagram.com/balfourbeer/,https://maps.google.com/?cid=8755110381879088649,https://www.tripadvisor.com/Attraction_Review-g1936909-d4205571,https://untappd.com/JakesDrinksBalfourWinery,51.1493044,0.5120774
14,Acid Led Cider,🥇 GOLD,Sxollie,Karlau (t/a SXOLLIE),Granny Smith,England,Medium,2504,1,https://sxollie.com/,https://www.facebook.com/sxollie/,https://www.instagram.com/sxolliexider/,https://maps.google.com/?cid=10777151726289454626,,https://untappd.com/SXOLLIELOVER,51.5142422,-0.3050244
15,Acid Led Cider,🥇 GOLD,Sidraria dos Prazeres,Misterios da Quinta Unipessoal,aRRebITa - Sidra da Madeira IG,Portugal,Dry,2603,1,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615,32.75286,-17.2045712
18,Acid Led Cider,🥇 GOLD,Sidra El Gaitero,"Valle, Ballina y Fernandez",Sidra Natural el Gaitero,Spain,Dry,1314,1,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
21,Acid Led Cider,🥈 SILVER,Bignose & Beardy,Bignose & Beardy,Walk Like A Stag,England,Medium,3096,1,https://bignoseandbeardy.com/,https://www.facebook.com/bignoseandbeardy/,https://www.instagram.com/bignosebeardy/,https://maps.google.com/?cid=15761729958801782355,,https://untappd.com/w/bignose-beardy/238579,50.9582301,0.1228404
23,Acid Led Cider,🥈 SILVER,Cidra,Cidra,Cidra Dry,Lebanon,Dry,3179,1,,https://www.facebook.com/cidralebanon,https://www.instagram.com/cidralebanon/,https://maps.google.com/?cid=14218291570320417037,,https://untappd.com/w/cidra-s-a-l/532701,34.0307554,35.692575
25,Acid Led Cider,🥈 SILVER,Cornish Orchards,Cornish Orchards,Golden Cider,England,Medium,1137,1,https://www.cornishorchards.co.uk/,https://www.facebook.com/cornishorchards/,https://www.instagram.com/cornishorchards/,https://maps.google.com/?cid=1088039469048966117,https://www.tripadvisor.com/Attraction_Review-g1533388-d5524747,https://untappd.com/brewery/21076,50.3964689,-4.4742393
37,Acid Led Cider,🥈 SILVER,Guillaume & Co,Guillaume & Co Sàrl,Sweet Simplon,Switzerland,Medium,3065,1,https://www.guillaumecider.ch/,,https://www.instagram.com/guillaumecider/,https://maps.google.com/?cid=1089223546118021147,,,46.2320928,7.353101
39,Acid Led Cider,🥈 SILVER,A-Factory Aomori Cidre,JR-east Aomori Business-development Company,A-Factory Aomori Cidre Sparkling Dry,Japan,Dry,3097,1,https://afactory-abc.com/cidre/,,https://www.instagram.com/af_yoshinocho.cidrefactory/,https://maps.google.com/?cid=2400746234436166085,,https://untappd.com/w/a-factory/388533,40.5984287,140.47284
40,Acid Led Cider,🥈 SILVER,Sxollie,Karlau (t/a SXOLLIE),Cripps Pink,England,Sweet,2504,1,https://sxollie.com/,https://www.facebook.com/sxollie/,https://www.instagram.com/sxolliexider/,https://maps.google.com/?cid=10777151726289454626,,https://untappd.com/SXOLLIELOVER,51.5142422,-0.3050244
41,Acid Led Cider,🥈 SILVER,Kelterei Heil,Kelterei Heil,Cooper's Original,Germany,Sweet,1574,1,https://kelterei-heil.de/,https://www.facebook.com/keltereiheil/,https://www.instagram.com/keltereiheil,https://maps.google.com/?cid=18431477139160593371,,https://untappd.com/brewery/33255,50.390709,8.331258
