ID1,ID2,Category,Medal,Producer,Product,WID
3,2,Acid Led Cider,🏆 Trophy,Karlau ltd,Golden Delicious,2504
8,3,Acid Led Cider,🥈 Silver,A-FACTORY,A-FACTORY AOMORI CIDRE sannaimaruyamayumekamosu2023 dry,3097
13,4,Acid Led Cider,🥈 Silver,Cidra S.A.L,Cidra Sweet,3179
23,5,Acid Led Cider,🥈 Silver,Kentish Pip,Skylark,2476
29,6,Acid Led Cider,🥈 Silver,Sideriet,Vassås,3617
41,7,Acid Led Cider,🥉 Bronze,A-FACTORY,A-FACTORY AOMORI CIDRE hirosakiyosinochou dry,3097
42,8,Acid Led Cider,🥉 Bronze,A-FACTORY,A-FACTORY AOMORI CIDRE hirosakiyosinochou medium,3097
43,9,Acid Led Cider,🥉 Bronze,A-FACTORY,A-FACTORY AOMORI CIDRE sparkling dry,3097
46,10,Acid Led Cider,🥉 Bronze,Balfour Winery,Balfour Cider,3094
47,11,Acid Led Cider,🥉 Bronze,Bebidas Armadas S.L.,Armada Cider 1588,3127
54,12,Acid Led Cider,🥉 Bronze,Cidra S.A.L,Cidra Dry,3179
55,13,Acid Led Cider,🥉 Bronze,Cluver & Jack Cider Company,Cluver & Jack Cider,2505
57,14,Acid Led Cider,🥉 Bronze,Cydr Dwaj Bracia,Rajska Kronselka,3006
67,15,Acid Led Cider,🥉 Bronze,Eclor Entreprises,La Mordue Rouge,3183
78,16,Acid Led Cider,🥉 Bronze,IDL,Mr Finch Apple Cider,3450
81,17,Acid Led Cider,🥉 Bronze,Karlau ltd,Cripps Pink,2504
82,18,Acid Led Cider,🥉 Bronze,Karlau ltd,Granny Smith,2504
84,19,Acid Led Cider,🥉 Bronze,Kentish Pip,Craftsman,2476
88,20,Acid Led Cider,🥉 Bronze,Obst- und Weingut Brüggenwirth,APFELGOLD Cider Orchard,2828
94,21,Acid Led Cider,🥉 Bronze,TABUN,Renety 2023,2744
96,22,Acid Led Cider,🥉 Bronze,TERRE CARTUSIAE Società Agricola s.s.,Terre Cartusiae - Sidro Vivace,3112
97,23,Acid Led Cider,🥉 Bronze,Thatchers Cider,Thatchers Katy,1119
102,24,Acid Led Cider,🥉 Bronze,Tinston Cider,Tinston Anatomy,1942
108,25,Flavoured Cider,🏆 Trophy,Eiane Gard Cidery,BRIST,3008
7,26,Flavoured Cider,🥇 Gold,Wild Harvest Brewing Pvt,L74 Craft Coffee Cider,3703
12,27,Flavoured Cider,🥈 Silver,Cidernations,Cidernations: A Brut Cider,3706
17,28,Flavoured Cider,🥈 Silver,Geloso Group of Companies,Cidrerie Beaupré - Blueberry,3177
18,29,Flavoured Cider,🥈 Silver,Hamerstuk,Appel-Peer-Johanniter,2723
19,30,Flavoured Cider,🥈 Silver,Hamerstuk,Appel-Peer-Kwee,2723
25,31,Flavoured Cider,🥈 Silver,Napton Cidery,Recipe No5,2027
28,32,Flavoured Cider,🥈 Silver,Once Upon A Tree,Once Upon A Tree - Medium Cider,1181
32,33,Flavoured Cider,🥈 Silver,Sidra Somarroza,Biter Bio Somarroza,1921
50,34,Flavoured Cider,🥉 Bronze,Brothers Drinks,Brothers Best of the Zest Cider,1107
56,35,Flavoured Cider,🥉 Bronze,Cydr Dwaj Bracia,Cortland Blanche,3006
66,36,Flavoured Cider,🥉 Bronze,Eclor Entreprises,La Mordue IPA,3183
71,37,Flavoured Cider,🥉 Bronze,Eclor Entreprises,Loïc Raison Houblon,1369
73,38,Flavoured Cider,🥉 Bronze,Eiane Gard Cidery,2D,3008
76,39,Flavoured Cider,🥉 Bronze,Hitchcox Cider,Foxy Bramble,1657
77,40,Flavoured Cider,🥉 Bronze,Howies Cider,Howies Cider - Peach,3701
83,41,Flavoured Cider,🥉 Bronze,Kelterei Heil,Cooper's Dry Hopped,1574
89,42,Flavoured Cider,🥉 Bronze,Once Upon A Tree,Once Upon A Tree - Apple & Elderflower Cider,1181
104,43,Flavoured Cider,🥉 Bronze,TĀLAVA,TĀLAVA Apple cider with passion fruit,2142
100,44,Flavoured Cider,🥉 Bronze,The Cotswold Cider Company,Blow Horn Spiced Cider,1349
107,45,Flavoured Cider,🥉 Bronze,Wild Harvest Brewing Pvt Ltd,L74 Craft Citrus Cider,3703
30,46,Ice Cider,🥈 Silver,Sidra Laberinto Patagonia,Patagonian Ice Cider,3702
34,47,Ice Cider,🥈 Silver,TABUN,TABUN CYDR LODOWY 2020,2744
35,48,Ice Cider,🥈 Silver,TABUN,TABUN LODOWY 2020,2744
38,49,Ice Cider,🥈 Silver,Veinimäe OÜ,Veinimäe Jääsiider,3037
90,50,Ice Cider,🥉 Bronze,Pomdial INC,Neige,774
6,51,Low and No Alcohol Cider,🏆 Trophy,The Somerset Cider Company,Crafty Nectar 0.5,1349
53,52,Low and No Alcohol Cider,🥉 Bronze,Cidentro Cider House,Cidentro Zero Point 5,2523
99,53,Low and No Alcohol Cider,🥉 Bronze,Thatchers Cider,Thatchers Zero,1119
101,54,Low and No Alcohol Cider,🥉 Bronze,The Cotswold Cider Company,Phantom Of The Orchard,1349
106,55,Low and No Alcohol Cider,🥉 Bronze,Westons Cider,Stowford Press Low Alcohol Apple Cider,1131
20,56,Naturally Sparkling Cider,🥈 Silver,Hitchcox Cider,keeved cider,1657
22,57,Naturally Sparkling Cider,🥈 Silver,J&R Armitage,Keeved Cider,3181
27,58,Naturally Sparkling Cider,🥈 Silver,Obst- und Weingut Brüggenwirth,APFELGOLD Cider Farmhouse,2828
31,59,Naturally Sparkling Cider,🥈 Silver,Sidra Laberinto Patagonia,Sidra Laberinto Patagonia,3702
37,60,Naturally Sparkling Cider,🥈 Silver,Tinston Cider,Strange Lady Cider 2022,1942
49,61,Naturally Sparkling Cider,🥉 Bronze,Bi-marct d.o.o.,Big Shot Paw Paw,3509
74,62,Naturally Sparkling Cider,🥉 Bronze,Eiane Gard Cidery,Fyndig,3008
93,63,Naturally Sparkling Cider,🥉 Bronze,Sidra Somarroza,Sidra Espumosa Dulce,1921
103,64,Naturally Sparkling Cider,🥉 Bronze,Tinston Cider,Tinston Best 2021,1942
4,65,Pear Cider & Perry,🏆 Trophy,Obst- und Weingut Brüggenwirth,APFELGOLD Cider Perry,2828
58,66,Pear Cider & Perry,🥉 Bronze,Der kleine Cidre.Betrieb,Sommerberg 2023,2979
2,67,Rosé Cider,🏆 Trophy,Biddenden Vineyards,Biddies Kentish Kiss,1217
36,68,Rosé Cider,🥈 Silver,"Tamba Wine Co., Ltd.",Sadaharu AOKI SAYA2023,3704
65,69,Rosé Cider,🥉 Bronze,Eclor Entreprises,Ecusson Rosé,3182
95,70,Rosé Cider,🥉 Bronze,TABUN,TABUN ROSE,2744
33,71,Spanish Cider,🥈 Silver,Sidra Somarroza,Sidra Natural Somarroza,1921
39,72,Speciality Cider,🥈 Silver,Wild Harvest Brewing Pvt Ltd,L74 Craft Apple Cider,3703
40,73,Speciality Cider,🥈 Silver,wisdom wine,No24 broomham cider,3705
44,74,Speciality Cider,🥉 Bronze,Arba Wine,Adem Alma Special Label 2023,2068
79,75,Speciality Cider,🥉 Bronze,IDL,Mr Finch Apple Lower Sugar Cider,3450
80,76,Speciality Cider,🥉 Bronze,J&R Armitage Ltd,The First Law,3181
5,77,Tannin Led Cider,🏆 Trophy,The Cotswold Cider Company,Cotswold Prime Cider,1349
9,78,Tannin Led Cider,🥈 Silver,Aston Manor Cider,Friels First Press Vintage Cider,3093
11,79,Tannin Led Cider,🥈 Silver,Cidentro Cider House,Cidentro Medium Cider,2523
14,80,Tannin Led Cider,🥈 Silver,Eclor Entreprises,"Bayeux Edouard, Le Généreux",3182
15,81,Tannin Led Cider,🥈 Silver,Eclor Entreprises,Bolée d'Armorique Traditionnel,3182
16,82,Tannin Led Cider,🥈 Silver,Eclor Entreprises,Ecusson Doux,3182
21,83,Tannin Led Cider,🥈 Silver,Hitchcox Cider,medium cider,1657
24,84,Tannin Led Cider,🥈 Silver,MISTERIOS DA QUINTA UNIPESSOAL LDA,aRRebITa - Sidra da Madeira IG - C4/2021,2603
26,85,Tannin Led Cider,🥈 Silver,Napton Cidery,Recipe No6,2027
45,86,Tannin Led Cider,🥉 Bronze,Aston Manor Cider,Malvern Gold,3093
48,87,Tannin Led Cider,🥉 Bronze,Bere Cider Company,Yarlington Mill,1448
51,88,Tannin Led Cider,🥉 Bronze,BumbleBee Cider,BumbleBee Craft,3707
52,89,Tannin Led Cider,🥉 Bronze,Cidentro Cider House,Cidentro Dry Cider,2523
59,90,Tannin Led Cider,🥉 Bronze,Dunkertons Organic Cider Co,Organic Black Fox,1133
60,91,Tannin Led Cider,🥉 Bronze,Eclor Entreprises,"Bayeux Guillaume, Le Puissant",3182
