ID1,ID2,Year,Category,Medal,Producer,Product,Subcategory,WID,Country
2,2,2018,Flavoured Cider,🏆 Trophy,BlakStoc,Wild Tree Hoppy Cider,,2812,Austria
3,3,2018,Flavoured Cider,🏆 Trophy,Celtic Marches,Cuckoo Penny 4% Rhubarb Cider,,1403,England
4,4,2018,Flavoured Cider,🥇 Gold,Marks & Spencer,Devon Farmhouse Cider with Raspberry (Bottle),,3542,England
5,5,2018,Flavoured Cider,🥇 Gold,Eva Group,The Good Cider of San Sebastian Wild Berry,,2571,Spain
6,6,2018,Flavoured Cider,🥈 Silver,Angry Orchard,Maple Wooden Sleeper,,87,United States
7,7,2018,Flavoured Cider,🥈 Silver,Angry Orchard,Summery Honey,,87,United States
8,8,2018,Flavoured Cider,🥈 Silver,Appie,Le Brut au miel,,2895,France
9,9,2018,Flavoured Cider,🥈 Silver,BlakStoc,Buddha's Hand Lemon Cider,,2812,Austria
10,10,2018,Flavoured Cider,🥈 Silver,BlakStoc,Quincy Jo & Hops Edition,,2812,Austria
11,11,2018,Flavoured Cider,🥈 Silver,Celtic Marches,Ruby Tuesday 4% Raspberry Cider,,1403,England
12,12,2018,Flavoured Cider,🥈 Silver,Groupe Geloso,Cidre Houblonné,,3177,Canada
13,13,2018,Flavoured Cider,🥈 Silver,Goldkehlchen,Goldkehlchen Cassis,,2716,Austria
14,14,2018,Flavoured Cider,🥈 Silver,Hogan's Cider,Hogan's Wild Elder Cider,,1150,England
15,15,2018,Flavoured Cider,🥈 Silver,Kiezbaum,Kiezbaum Cider (Pear),,3523,Germany
16,16,2018,Flavoured Cider,🥈 Silver,Les Celliers Associés,L'Authentique French Cider Ginger Lemon,,1999,France
17,17,2018,Flavoured Cider,🥈 Silver,Lyme Bay Winery,Ammonite Series with Botanicals,,1198,England
18,18,2018,Flavoured Cider,🥈 Silver,Lyme Bay Winery,Ammonite Series with Hops,,1198,England
19,19,2018,Flavoured Cider,🥈 Silver,Lyme Bay Winery,Ammonite Series with Sour Cherry,,1198,England
20,20,2018,Flavoured Cider,🥈 Silver,Marks & Spencer,Kentish Pip Katy Apple and Rhubarb Cider,,3542,England
21,21,2018,Flavoured Cider,🥈 Silver,Beard and Sabre,Berrymaster,,3508,England
22,22,2018,Flavoured Cider,🥈 Silver,Westons Cider,Stowford Press Mixed Berries,,1131,England
23,23,2018,Flavoured Cider,🥈 Silver,Wignac,Le Goupil de Wignac,,2145,France
24,24,2018,Flavoured Cider,🥉 Bronze,Crooked Cider,Crooked Ginger n Cider,,3532,New Zealand
25,25,2018,Flavoured Cider,🥉 Bronze,Angry Orchard,Cinnful Apple,,87,United States
26,26,2018,Flavoured Cider,🥉 Bronze,Angry Orchard,The Old Fashioned,,87,United States
27,27,2018,Flavoured Cider,🥉 Bronze,Angry Orchard,Wassail Wooden Sleeper,,87,United States
28,28,2018,Flavoured Cider,🥉 Bronze,Aston Manor Cider,Kingstone Press Wild Berry,,3093,England
29,29,2018,Flavoured Cider,🥉 Bronze,BlakStoc,All Saints In The House,,2812,Austria
30,30,2018,Flavoured Cider,🥉 Bronze,BlakStoc,Ginger For My Honey,,2812,Austria
31,31,2018,Flavoured Cider,🥉 Bronze,BlakStoc,OMG Ugly Apple Cider,,2812,Austria
32,32,2018,Flavoured Cider,🥉 Bronze,Cider Brothers,Pacific Coast Hard Apple Cider with Mango and Muscat,,193,United States
33,33,2018,Flavoured Cider,🥉 Bronze,Maeloc,Maeloc Blackberry Cider,,2510,Spain
34,34,2018,Flavoured Cider,🥉 Bronze,Maeloc,Maeloc Pineapple Pear Cider,,2510,Spain
35,35,2018,Flavoured Cider,🥉 Bronze,Dudda's Tun Cider,Cherry Cider,,1461,England
36,36,2018,Flavoured Cider,🥉 Bronze,Hawkes,Urban Orchard Mixed Berry Cider,,2518,England
37,37,2018,Flavoured Cider,🥉 Bronze,Hogan's Cider,Hogan's Hip Hop Cider,,1150,England
38,38,2018,Flavoured Cider,🥉 Bronze,Loïc Raison,Cidre Loic Raison Framboise,,1369,France
39,39,2018,Flavoured Cider,🥉 Bronze,Les Celliers Associés,L'Authentique French Cider Pear,,1999,France
40,40,2018,Flavoured Cider,🥉 Bronze,Les Celliers Associés,L'Authentique French Cider Raspberry,,1999,France
41,41,2018,Flavoured Cider,🥉 Bronze,Long Meadow Cider,Rhubarb & Honey Cider,,2372,Northern Ireland
42,42,2018,Flavoured Cider,🥉 Bronze,Marks & Spencer,Devon Farmhouse Cider with Elderflower Infusion (Bottle),,3542,England
43,43,2018,Flavoured Cider,🥉 Bronze,Marks & Spencer,Devon Farmhouse Cider with Elderflower Infusion (Can),,3542,England
44,44,2018,Flavoured Cider,🥉 Bronze,Marks & Spencer,Devon Farmhouse Cider with Raspberry (Can),,3542,England
45,45,2018,Flavoured Cider,🥉 Bronze,Marks & Spencer,M&S Berry Cider,,3542,England
46,46,2018,Flavoured Cider,🥉 Bronze,Ramborn Cider Co.,Ramborn Cascade - Hopped Cider,,2698,Luxembourg
47,47,2018,Flavoured Cider,🥉 Bronze,Sandford Orchards,Fanny's Bramble,,1243,England
48,48,2018,Flavoured Cider,🥉 Bronze,Sandford Orchards,St Louis Dry Hopped Cider,,1243,England
49,49,2018,Flavoured Cider,🥉 Bronze,Kodas,Pööripäev,,2815,Estonia
50,50,2018,Flavoured Cider,🥉 Bronze,Eva Group,The Good Cider of San Sebastian Pear,,2571,Spain
51,51,2018,Flavoured Cider,🥉 Bronze,Eva Group,The Good Cider of San Sebastian Strawberry,,2571,Spain
52,52,2018,Flavoured Cider,🥉 Bronze,Westons Cider,Mortimer's Orchard English Berry,,1131,England
53,53,2018,Flavoured Cider,🥉 Bronze,Westons Cider,Rosie's Pig Raspberry Roller Sparkling Cloudy Cider,,1131,England
54,54,2018,Ice Cider,🥈 Silver,Cold Hand Winery,Malus Danica 2014 - Cuvee Barrique,,1986,Denmark
55,55,2018,Ice Cider,🥉 Bronze,Brännland Cider,Brännland Iscider Barrique 2015 11%,,1456,Sweden
56,56,2018,Ice Cider,🥉 Bronze,Brännland Cider,"Brännland Iscider Lobo 2015 10,2%",,1456,Sweden
57,57,2018,Ice Cider,🥉 Bronze,Cold Hand Winery,Malus Danica 2013 - Cuvee Essencia,,1986,Denmark
58,58,2018,Low Alcohol Cider,🥈 Silver,Appie,Le Rosé,,2895,France
59,59,2018,Low Alcohol Cider,🥈 Silver,Les Celliers Associés,Galipette Cidre Biologique,,1999,France
