Medalist,Country,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Loïc Raison,France,---,---,1,7,8,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,"<a href=""https://untappd.com/w/loic-raison/18640"">Untappd</a>"
Cotswold Cider Company,England,2,---,---,2,4,"<a href=""https://www.cotswoldciderco.com/"">Website</a>","<a href=""https://www.facebook.com/CotswoldCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/cotswoldciderco/"">Instagram</a>",,,"<a href=""https://untappd.com/TheCotswoldCiderCompany"">Untappd</a>"
Restauracja Tabun,Poland,---,---,2,2,4,"<a href=""https://www.restauracjatabun.pl/"">Website</a>","<a href=""https://www.facebook.com/TABUNCYDR/"">Facebook</a>","<a href=""https://www.instagram.com/tabuncydr/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13556304642115496222"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g3222438-d2654599"">TripAdvisor</a>","<a href=""https://untappd.com/w/tabun/434136"">Untappd</a>"
A-Factory Aomori Cidre,Japan,---,---,1,3,4,"<a href=""https://afactory-abc.com/cidre/"">Website</a>",,"<a href=""https://www.instagram.com/af_yoshinocho.cidrefactory/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2400746234436166085"">Google</a>",,"<a href=""https://untappd.com/w/a-factory/388533"">Untappd</a>"
Obst- & Weingut Brüggenwirth,Germany,1,---,1,1,3,"<a href=""https://brueggenwirth.de/"">Website</a>","<a href=""https://www.facebook.com/obsthofbrueggenwirth"">Facebook</a>","<a href=""https://www.instagram.com/obsthofbrueggenwirth/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5975244823985496105"">Google</a>",,
Eiane Gard,Norway,1,---,---,2,3,"<a href=""https://www.eianegard.no/"">Website</a>","<a href=""https://www.facebook.com/eianegard"">Facebook</a>","<a href=""https://www.instagram.com/eianegard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13089067596466030259"">Google</a>",,"<a href=""https://untappd.com/eianegard"">Untappd</a>"
Sxollie,England,1,---,---,2,3,"<a href=""https://sxollie.com/"">Website</a>","<a href=""https://www.facebook.com/sxollie/"">Facebook</a>","<a href=""https://www.instagram.com/sxolliexider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10777151726289454626"">Google</a>",,"<a href=""https://untappd.com/SXOLLIELOVER"">Untappd</a>"
Wild Harvest Brewing Company,India,---,1,1,1,3,"<a href=""https://l74.life/"">Website</a>",,"<a href=""https://www.instagram.com/l74_ciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10553833652439506363"">Google</a>",,"<a href=""https://untappd.com/ProhibitionBrewingCo"">Untappd</a>"
Het Hamerstuk,Netherlands,---,---,2,1,3,"<a href=""https://hethamerstuk.nl/"">Website</a>","<a href=""https://www.facebook.com/HetHamerstuk/"">Facebook</a>","<a href=""https://www.instagram.com/hethamerstuk"">Instagram</a>","<a href=""https://maps.google.com/?cid=11584128023568770529"">Google</a>",,"<a href=""https://untappd.com/Hamerstuk"">Untappd</a>"
Hitchcox Cider,England,---,---,2,1,3,"<a href=""https://hitchcoxcider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HitchcoxCider/"">Facebook</a>","<a href=""https://www.instagram.com/hitchcox_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6038804049112704578"">Google</a>",,"<a href=""https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683"">Untappd</a>"
Napton Cidery,England,---,---,2,1,3,"<a href=""https://www.naptoncidery.co.uk/"">Website</a>","<a href=""https://www.facebook.com/naptoncidery"">Facebook</a>","<a href=""https://www.instagram.com/naptoncidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12009368832613245042"">Google</a>","<a href=""https://www.tripadvisor.co.uk/Attraction_Review-g1763975-d12810677"">TripAdvisor</a>","<a href=""https://untappd.com/NaptonCidery"">Untappd</a>"
Sidra Somarroza,Spain,---,---,2,1,3,"<a href=""https://sidrasomarroza.es/"">Website</a>","<a href=""https://www.facebook.com/sidrasomarroza"">Facebook</a>","<a href=""https://www.instagram.com/sidrasomarroza/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7109045394192195825"">Google</a>",,"<a href=""https://untappd.com/w/somarroza/147830"">Untappd</a>"
Cidentro Cider House,England,---,---,1,2,3,"<a href=""https://www.cidentro.co.uk/"">Website</a>","<a href=""https://www.facebook.com/Cidentro/"">Facebook</a>","<a href=""https://www.instagram.com/cidentro_cider_house/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5581663823600674011"">Google</a>",,"<a href=""https://untappd.com/w/cidentro-cider-house/477636"">Untappd</a>"
Cidre Viard-Bayeux,France,---,---,1,2,3,"<a href=""https://cidrebayeux.com/"">Website</a>","<a href=""https://www.facebook.com/CidresBayeux"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_bayeux/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13233255599279949282"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187181-d3454062"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-viard/26008"">Untappd</a>"
Écusson,France,---,---,1,2,3,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>",,,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
Mistérios da Quinta,Portugal,---,---,1,2,3,,,"<a href=""https://www.instagram.com/sidrariaprazeres/"">Instagram</a>",,,"<a href=""https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615"">Untappd</a>"
Tinston Wines & Ciders,England,---,---,1,2,3,"<a href=""https://tinstonwinecider.com/"">Website</a>","<a href=""https://www.facebook.com/tinstonwinecider/"">Facebook</a>","<a href=""https://www.instagram.com/tinstonwinecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11983981920527513059"">Google</a>",,"<a href=""https://untappd.com/w/tinston/488266"">Untappd</a>"
