Country,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,Total
England,17,16,153,236,422
France,4,13,40,42,99
Spain,1,4,16,22,43
United States,2,1,9,23,35
Germany,1,0,11,19,31
Japan,0,3,11,11,25
Italy,1,2,12,9,24
Latvia,2,0,7,10,19
Northern Ireland,1,0,8,10,19
Canada,2,1,4,10,17
Scotland,0,0,5,12,17
Australia,2,0,8,6,16
Austria,1,2,7,5,15
South Africa,1,0,8,6,15
Luxembourg,0,1,8,3,12
Norway,4,1,4,0,9
Wales,0,1,2,6,9
Ireland,0,0,5,4,9
Czechia,0,0,4,5,9
Denmark,3,0,4,1,8
Netherlands,0,0,5,3,8
India,0,0,4,3,7
South Korea,0,0,2,4,6
Sweden,0,0,2,4,6
Lebanon,0,1,2,2,5
Switzerland,0,0,4,1,5
Finland,0,0,1,3,4
Poland,0,0,2,1,3
Portugal,0,1,0,1,2
Slovakia,0,0,2,0,2
Guernsey,0,0,1,1,2
Vietnam,0,0,1,1,2
Estonia,0,0,0,2,2
Hungary,0,0,0,2,2
Belgium,0,0,1,0,1
Brazil,0,0,0,1,1
Croatia,0,0,0,1,1
Kazakhstan,0,0,0,1,1
New Zealand,0,0,0,1,1
Total,42,47,353,472,914
