Country,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
England,21,16,165,263,465
France,4,13,43,55,115
Spain,1,4,18,24,47
Germany,2,---,12,22,36
United States,2,1,9,23,35
Japan,---,3,13,14,30
Italy,1,2,12,10,25
Latvia,2,---,7,11,20
Canada,2,1,5,11,19
Northern Ireland,1,---,8,10,19
Australia,2,---,8,8,18
Scotland,---,---,5,12,17
South Africa,1,---,8,7,16
Austria,1,2,7,5,15
Norway,5,1,5,2,13
Luxembourg,---,1,8,3,12
Netherlands,---,---,7,4,11
India,---,1,5,4,10
Wales,---,1,2,6,9
Ireland,---,---,5,4,9
Czechia,---,---,4,5,9
Poland,---,---,4,5,9
Denmark,3,---,4,1,8
Lebanon,---,1,3,3,7
South Korea,---,---,2,4,6
Sweden,---,---,2,4,6
Portugal,---,1,1,3,5
Switzerland,---,---,4,1,5
Finland,---,---,1,3,4
Estonia,---,---,1,2,3
Argentina,---,---,2,---,2
Belgium,---,---,2,---,2
Slovakia,---,---,2,---,2
Guernsey,---,---,1,1,2
Vietnam,---,---,1,1,2
Croatia,---,---,---,2,2
Hungary,---,---,---,2,2
Kazakhstan,---,---,---,2,2
Brazil,---,---,---,1,1
New Zealand,---,---,---,1,1
Total,48,48,386,539,"1,021"
