WID,Producer,Country,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Type,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
3542,Marks & Spencer,England,0,1,11,26,38,2018,2020,3,Cider,Active,https://www.marksandspencer.com/,https://www.facebook.com/MarksandSpencer/,https://www.instagram.com/marksandspencer/,,,,https://untappd.com/w/marks-spencer/242395,51.5185558,-0.1752384,0
1131,Westons Cider,England,0,1,17,18,36,2018,2022,5,Cider,Active,https://www.westons-cider.co.uk/,https://www.facebook.com/WestonsCiderMill,https://www.instagram.com/westonscider/,https://maps.google.com/?cid=11779156514256391794,,https://www.tripadvisor.com/Attraction_Review-g186303-d218508,https://untappd.com/brewery/6135,51.994817,-2.512396,0
1999,Les Celliers Associés,France,2,2,13,14,31,2018,2022,5,Cider,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,,https://untappd.com/LesCelliersAssocis,48.5085682,-1.9533612,0
87,Angry Orchard,United States,2,1,9,18,30,2018,2020,3,Cider,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
3093,Aston Manor Cider,England,0,3,10,17,30,2018,2023,6,Cider,Active,https://www.astonmanor.co.uk/,,,https://maps.google.com/?cid=8328306569280299730,,,https://untappd.com/AstonManorBreweryCo,52.4992215,-1.8724982,0
1119,Thatchers Cider,England,1,0,9,16,26,2018,2023,6,Cider,Active,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779,0
1314,Sidra El Gaitero,Spain,0,2,13,10,25,2019,2023,4,Cider,Active,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532,0
1586,Cidre Le Brun,France,0,7,8,8,23,2018,2023,5,Cider,Active,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,,https://untappd.com/brewery/31897,47.925263,-4.344798,0
2518,Hawkes,England,0,0,5,14,19,2018,2021,4,Cider,Active,https://wearehawkes.com/,https://www.facebook.com/wearehawkes/,https://www.instagram.com/hawkescidertap/,,,,https://untappd.com/HawkesLondon,51.4995721,-0.075018,0
1403,Celtic Marches,England,1,1,5,10,17,2018,2021,4,Cider,Active,https://www.celticmarches.com/,https://www.facebook.com/celticmarchesbeverages/,https://www.instagram.com/celticmarches/,https://maps.google.com/?cid=14163451376835523124,,,https://untappd.com/brewery/45546,52.1392063,-2.4991058,0
3097,A-Factory Aomori Cidre,Japan,0,3,6,7,16,2018,2023,5,Cider,Active,https://afactory-abc.com/cidre/,,https://www.instagram.com/af_yoshinocho.cidrefactory/,https://maps.google.com/?cid=2400746234436166085,,,https://untappd.com/w/a-factory/388533,40.5984287,140.47284,0
1369,Loïc Raison,France,1,1,3,9,14,2018,2023,6,Cider,Active,https://www.loicraison.fr/,https://www.facebook.com/CidreLoicRaison/,https://www.instagram.com/loicraison/,https://maps.google.com/?cid=15768587504697904757,,,https://untappd.com/w/loic-raison/18640,48.070267,-1.394779,0
1118,Sheppy's Cider,England,1,0,4,9,14,2019,2023,4,Cider,Active,https://www.sheppyscider.com/,https://www.facebook.com/sheppyscider/,https://www.instagram.com/sheppyscider/,https://maps.google.com/?cid=14572513592829460886,,https://www.tripadvisor.com/Attraction_Review-g190730-d6870973,https://untappd.com/brewery/7956,50.9935861,-3.1723149,0
1155,Thistly Cross Cider,Scotland,0,0,4,10,14,2020,2022,3,Cider,Active,https://www.thistlycrosscider.co.uk/,https://www.facebook.com/thistlycrosscider,https://www.instagram.com/thistlycrosscider/,https://maps.google.com/?cid=2739185346632911214,,,https://untappd.com/brewery/15101,55.9850363,-2.5614933,0
3520,Taunton Cider Company,England,1,1,7,4,13,2018,2021,4,Cider,Inactive,,https://www.facebook.com/tauntonciderco/,,,,,https://untappd.com/w/the-taunton-cider-company/288577,50.8656004,-2.7974336,1
1243,Sandford Orchards,England,2,0,5,6,13,2018,2023,4,Cider,Active,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080,50.7886749,-3.6453966,0
3182,Écusson,France,1,1,5,5,12,2019,2023,5,Cider,Active,https://www.cidre-ecusson.com/,https://www.facebook.com/CidreEcusson/,https://www.instagram.com/cidreecusson/,,,,https://untappd.com/w/cidres-ecusson/15641,48.8279643,2.2657746,0
2698,Ramborn Cider Co.,Luxembourg,0,1,8,3,12,2018,2022,3,Cider,Active,https://www.ramborn.com/,https://www.facebook.com/RambornUS/,https://www.instagram.com/rambornciderco/,https://maps.google.com/?cid=16691194016355154342,,https://www.tripadvisor.com/Attraction_Review-g206525-d12591209,https://untappd.com/Ramborn,49.7599024,6.5135119,0
2812,BlakStoc,Austria,1,1,5,4,11,2018,2019,2,Cider,Active,http://www.blakstoc.com/,https://www.facebook.com/blakstoc/,https://www.instagram.com/blakstoc/,,,,https://untappd.com/w/blakstoc/236990,46.9268599,15.2625924,0
1250,Bulmers,England,0,0,2,9,11,2018,2020,3,Cider,Active,https://www.bulmers.co.uk/,https://www.facebook.com/Bulmers/,https://www.instagram.com/bulmers_cider/,https://maps.google.com/?cid=13460408443952843212,,,https://untappd.com/bulmersamerica,52.0616035,-2.7252397,0
1461,Dudda's Tun Cider,England,0,0,4,7,11,2018,2021,4,Cider,Active,https://duddastuncider.com/,https://www.facebook.com/duddastuncider/,https://www.instagram.com/duddastuncider/,https://maps.google.com/?cid=14013683904909502876,,,https://untappd.com/brewery/38239,51.2907596,0.7746189,0
1150,Hogan's Cider,England,2,1,5,2,10,2018,2020,2,Cider,Active,https://www.hoganscider.co.uk/,https://www.facebook.com/HogansCider/,https://www.instagram.com/hoganscider/,https://maps.google.com/?cid=344551779062280462,,,https://untappd.com/brewery/27309,52.2205461,-1.8336097,0
3028,Appleblood Cider,Italy,1,1,3,4,9,2022,2023,2,Cider,Active,https://applebloodcider.com/,https://www.facebook.com/applebloodcider,https://www.instagram.com/applebloodcider/,https://maps.google.com/?cid=14977227174949746380,,,https://untappd.com/w/apple-blood-cider/474058,46.1746392,11.0989943,0
2167,Mūrbūdu,Latvia,1,0,3,5,9,2021,2022,2,Cider,Active,https://www.nenormalssidrs.lv/,https://www.facebook.com/murbudu/,https://www.instagram.com/murbudu_sidrs/,https://maps.google.com/?cid=15847061061259139900,,,https://untappd.com/MurbuduSidraDaritava,57.8135254,25.8232241,0
