Producer,Country,🏆 Trophy,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Westons Cider,England,0,1,17,20,38,2018,2024,6,Active,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6135"">Untappd</a>"
Marks & Spencer,England,0,1,11,26,38,2018,2020,3,Active,"<a href=""https://www.marksandspencer.com/"">Website</a>","<a href=""https://www.facebook.com/MarksandSpencer/"">Facebook</a>","<a href=""https://www.instagram.com/marksandspencer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/marks-spencer/242395"">Untappd</a>"
Aston Manor Cider,England,0,3,11,18,32,2018,2024,7,Active,"<a href=""https://www.astonmanor.co.uk/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8328306569280299730"">Google</a>",,,"<a href=""https://untappd.com/AstonManorBreweryCo"">Untappd</a>"
Les Celliers Associés,France,2,2,13,14,31,2018,2022,5,Active,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>","<a href=""https://www.instagram.com/lca_coop_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,,"<a href=""https://untappd.com/LesCelliersAssocis"">Untappd</a>"
Angry Orchard,United States,2,1,9,18,30,2018,2020,3,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
Thatchers Cider,England,1,0,9,19,29,2018,2024,7,Active,"<a href=""https://www.thatcherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/ThatchersCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/thatcherscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15191093037076298219"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3063"">Untappd</a>"
Sidra El Gaitero,Spain,0,2,13,10,25,2019,2023,4,Active,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
Cidre Le Brun,France,0,7,8,8,23,2018,2023,5,Active,"<a href=""https://cidrelebrun.com/"">Website</a>",,"<a href=""https://www.instagram.com/cidrelebrun"">Instagram</a>","<a href=""https://maps.google.com/?cid=5387381455239409930"">Google</a>",,,"<a href=""https://untappd.com/brewery/31897"">Untappd</a>"
Loïc Raison,France,1,1,4,16,22,2018,2024,7,Active,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,,"<a href=""https://untappd.com/w/loic-raison/18640"">Untappd</a>"
A-Factory Aomori Cidre,Japan,0,3,7,10,20,2018,2024,6,Active,"<a href=""https://afactory-abc.com/cidre/"">Website</a>",,"<a href=""https://www.instagram.com/af_yoshinocho.cidrefactory/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2400746234436166085"">Google</a>",,,"<a href=""https://untappd.com/w/a-factory/388533"">Untappd</a>"
