Year,Award,Producer,Producer,Product,Category/Subcategory,WID,Country
2018,🏆 Supreme Champion,Le Bon Vin,Le Bon Vin,"Breton Cidre, Loic Raison Doux",Naturally Sparkling,1369,France
2018,🏆 Trophy,Angry Orchard,Angry Orchard,The Muse,Speciality Cider,87,United States
2018,🏆 Trophy,BlakStoc Cider GmbH,BlakStoc Cider GmbH,Wild Tree Hoppy Cider,Flavoured Cider,2812,Austria
2018,🏆 Trophy,Celtic Marches,Celtic Marches,Cuckoo Penny 4% Rhubarb Cider,Flavoured Cider,1403,England
2018,🏆 Trophy,Hampshire Downs Fine Cider Company Ltd,Hampshire Downs Fine Cider Company Ltd,Chalkdown Cider,Naturally Sparkling,2475,England
2018,🏆 Trophy,Hogan's Cider Ltd,Hogan's Cider Ltd,Hogan's Libertine Cider,West Country Style,1150,England
2018,🏆 Trophy,The Taunton Cider Company,The Taunton Cider Company,Taunton Original Medium Cider,West Country Style,3520,England
2018,🏆 Trophy,Tempted Cider Company Limited,Tempted Cider Company Limited,Tempted Irish Cider - Dry,New World Style,1459,Northern Ireland
2019,🏆 Supreme Champion,Sxollie,Sxollie,Sxollie Pink Lady Cider,New World - Medium,2504,England
2019,🏆 Trophy,Abavas Winery,Abavas Winery,Abavas Apple Wine Apple Pie,Speciality,2363,Latvia
2019,🏆 Trophy,Les Celliers Associés,Les Celliers Associés,L'Authentique French Cider Ginger Lemon,Flavoured - Cider with Herbs & Spices,1999,France
2019,🏆 Trophy,Les Celliers Associés,Les Celliers Associés,Mont Saint Michel Pear,Perry - Medium,1999,France
2019,🏆 Trophy,Sheppy's Cider,Sheppy's Cider,Sheppy's 2017 Vintage Reserve Cider,West Country - Dry,1118,England
2019,🏆 Trophy,Winemaking Tasmania,Winemaking Tasmania,Blushing Lady Sparkling Fruit Fusion,Flavoured - Cider with Fruits & Flowers,2592,Australia
2019,🏆 Trophy,Zapiain SAT,Zapiain SAT,Bizi-Goxo 2015,Ice Cider,1172,Spain
2020,🏆 Supreme Champion,Hush Heath Estate,Hush Heath Estate,Jake's Orchard Cider - Rosé,Rosé,3094,England
2020,🏆 Trophy,ALDI Stores (Aust),ALDI Stores (Aust),Storm European Apple Cider,New World Style - Sweet,3449,Australia
2020,🏆 Trophy,Angry Orchard Brewing Co,Angry Orchard Brewing Co,Edu,Spanish Cider (Sidra Natural),87,United States
