ID,Award,Division,Category,Medalist,Entry,WID,Order,Website,Facebook,Instagram,Google,Untappd,Latitude,Longitude
2,🥇 GOLD,Domestic,Modern Cider (Dry),Hirosaki Meijo,Hirosaki Castle Cidre Dry,2831,1,https://www.hirosakimeijo.com/,https://www.facebook.com/hirosakimeijo/,,https://maps.google.com/?cid=6242665688640625752,https://untappd.com/w/hirosaki-meijo/527084,40.590752,140.4734174
12,🥈 SILVER,Domestic,Modern Cider (Dry),Three Peaks,Ringoya Machiko Apple Cidre,2832,1,https://3peaks.shop/,https://www.facebook.com/3peakswinery,https://www.instagram.com/3peakswinery/,https://maps.google.com/?cid=16781419863886231388,https://untappd.com/w/three-peaks/355137,39.0631899,141.7232762
20,🥉 BRONZE,Domestic,Modern Cider (Dry),HOCCA Winery,HOCCA Cidre Dry,2836,1,https://hocca.stores.jp/,https://www.facebook.com/hoccawinery/,https://www.instagram.com/hoccawinery/,https://maps.google.com/?cid=16420647593844994897,https://untappd.com/w/hocca-winery/517948,38.6804923,139.8426452
3,🥇 GOLD,Domestic,Modern Cider (Sweet),Kikusui Brewing,Cidre Viento Vasco,2016,2,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391,35.5132343,137.8072107
13,🥈 SILVER,Domestic,Modern Cider (Sweet),Hikaru no Hatake,Lippu Cidre Sweet,2833,2,https://hikarumarche.stores.jp/,,https://www.instagram.com/Arugamama_winery/,https://maps.google.com/?cid=12533318998895026808,,36.3746756,138.3590013
21,🥉 BRONZE,Domestic,Modern Cider (Sweet),Koshiro Noen,Koshiro Noen Cidre Pink Blend,X,2,,,,,,,
4,🥇 GOLD,Domestic,Traditional Cider (Dry),Kamoshika Cidre,President 2022,2820,3,https://kamoshikacidre.jp/,https://www.facebook.com/kamoshikacidre/,https://www.instagram.com/kamoshika_cidre/,https://maps.google.com/?cid=11874012255187792971,https://untappd.com/w/kamoshika-cidre/348831,35.8516991,137.902203
14,🥈 SILVER,Domestic,Traditional Cider (Dry),VinVie Winery & Cidery,Bitter Sharp,2010,3,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053,35.5976837,137.8797641
5,🥇 GOLD,Domestic,Traditional Cider (Sweet),VinVie Winery & Cidery,Bitter Sweet,2010,4,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053,35.5976837,137.8797641
6,🥇 GOLD,Domestic,Traditional Perry,Kamoshika Cidre,Poire 2021,2820,5,https://kamoshikacidre.jp/,https://www.facebook.com/kamoshikacidre/,https://www.instagram.com/kamoshika_cidre/,https://maps.google.com/?cid=11874012255187792971,https://untappd.com/w/kamoshika-cidre/348831,35.8516991,137.902203
7,🥇 GOLD,Domestic,Fruit/Blended Cider,Kikusui Brewing,Posh Lemon Lime,2016,6,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391,35.5132343,137.8072107
15,🥈 SILVER,Domestic,Fruit/Blended Cider,Izumi Brewery,Green Light Tart Cherry Cider,2835,6,,https://www.facebook.com/izumibrewery,https://www.instagram.com/izumi_brewery/,https://maps.google.com/?cid=9781390219956310609,https://untappd.com/w/izumi-brewery/390232,35.6386509,139.5794893
22,🥉 BRONZE,Domestic,Fruit/Blended Cider,VinVie Winery & Cidery,Rosé Cider,2010,6,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053,35.5976837,137.8797641
