ID,IDv2,IDv3,Division,Category,Award,Medalist,Entry,WID,Website,Facebook,Instagram,Google,Untappd,Latitude,Longitude
33,2,2,Domestic,Ice Cider,🏆 BEST OF SHOW,VinVie Winery & Cidery,Usuginu Cryoconcentration Cider,2010,https://vinvie.jp/,https://www.facebook.com/vinvie.jp/,https://www.instagram.com/vinvie.jp/,https://maps.google.com/?cid=10362674152189928272,https://untappd.com/w/vinvie/441053,35.5976837,137.8797641
5,3,3,Domestic,Modern Cider (Dry),🏆 BEST IN CLASS,Baeren Brewery,Baeren Our Hour Dry Cidre,3216,https://www.baerenbier.co.jp/,https://www.facebook.com/baerenbier/,https://www.instagram.com/baerenbier/,https://maps.google.com/?cid=14916685845990725190,https://untappd.com/w/baeren-brauerei/6445,39.7145189,141.1543394
48,4,4,Domestic,Modern Cider (Dry),🥇 GOLD,Hirosaki Meijo,Hirosaki Meijo Cidre Dry,2831,https://www.hirosakimeijo.com/,https://www.facebook.com/hirosakimeijo/,,https://maps.google.com/?cid=6242665688640625752,https://untappd.com/w/hirosaki-meijo/527084,40.590752,140.4734174
14,5,5,Domestic,Modern Cider (Dry),🥇 GOLD,Tamura Farm,Tamura Cidre Brut,3220,http://tamurafarm.jp/,,https://www.instagram.com/tamurafarm.aomori/,https://maps.google.com/?cid=14308247254176835490,http://tamurafarm.jp/,40.57906,140.439431
2,6,6,Domestic,Modern Cider (Dry),🥈 SILVER,Akiu Winery,Banji Cider Sweet 2022,2019,https://akiuwinery.co.jp/,https://www.facebook.com/akiuwinery.co.jp,https://www.instagram.com/akiuwinery/,https://maps.google.com/?cid=3770017906433711240,https://untappd.com/w/akiu-winery/344170,38.2265556,140.7279175
3,7,7,Domestic,Modern Cider (Dry),🥈 SILVER,Akiu Winery,Miyagi Cider 2022,2019,https://akiuwinery.co.jp/,https://www.facebook.com/akiuwinery.co.jp,https://www.instagram.com/akiuwinery/,https://maps.google.com/?cid=3770017906433711240,https://untappd.com/w/akiu-winery/344170,38.2265556,140.7279175
19,8,8,Domestic,Modern Cider (Dry),🥈 SILVER,Craft Instinct Japan,Austeja,3219,https://www.craftinstinct-jpn.com/,https://www.facebook.com/CraftInstinctJapan,https://www.instagram.com/craft_instinct_japan/,,https://untappd.com/w/craft-instinct-japan/557913,35.3808704,139.3107055
42,9,9,Domestic,Modern Cider (Dry),🥈 SILVER,Kikusui Brewing,Kikusui Cidre Method Charmat,2016,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391,35.5132343,137.8072107
29,10,10,Domestic,Modern Cider (Dry),🥈 SILVER,Tamura Farm,Tamura Cidre 2nd Dry Grande,3220,http://tamurafarm.jp/,,https://www.instagram.com/tamurafarm.aomori/,https://maps.google.com/?cid=14308247254176835490,http://tamurafarm.jp/,40.57906,140.439431
4,11,11,Domestic,Modern Cider (Dry),🥉 BRONZE,Akiu Winery,Akiu Craft Cider 2022,2019,https://akiuwinery.co.jp/,https://www.facebook.com/akiuwinery.co.jp,https://www.instagram.com/akiuwinery/,https://maps.google.com/?cid=3770017906433711240,https://untappd.com/w/akiu-winery/344170,38.2265556,140.7279175
17,12,12,Domestic,Modern Cider (Dry),🥉 BRONZE,Cave d’Occi Winery,Funpy Cidre 2022,3217,https://www.docci.com/,https://www.facebook.com/cavedocci,https://www.instagram.com/cavedocci/,https://maps.google.com/?cid=3524213297987364187,https://untappd.com/CaveDOcciBrewing,37.803375,138.846403
18,13,13,Domestic,Modern Cider (Dry),🥉 BRONZE,Gio Hills Winery,Hồng Ngọc Cidre,2824,https://giohills.jp/,,https://www.instagram.com/giohillswinery/,https://maps.google.com/?cid=1515569945995790055,,36.2981653,138.405756
40,14,14,Domestic,Modern Cider (Dry),🥉 BRONZE,Kamoshika Cidre,La 3e Saison Brut 2022,2820,https://kamoshikacidre.jp/,https://www.facebook.com/kamoshikacidre/,https://www.instagram.com/kamoshika_cidre/,https://maps.google.com/?cid=11874012255187792971,https://untappd.com/w/kamoshika-cidre/348831,35.8516991,137.902203
39,15,15,Domestic,Modern Cider (Dry),🥉 BRONZE,Kikusui Brewing,N35 Terroir Brut Naturel,2016,https://kikusuisake.co.jp/,https://www.facebook.com/kikusui.nagano,https://www.instagram.com/nagano_kikusui/,https://maps.google.com/?cid=273138642744687145,https://untappd.com/w/kikusui-shuzou/307391,35.5132343,137.8072107
6,16,16,Domestic,Modern Cider (Dry),🥉 BRONZE,Kojiro Noen,Kojiro Noen Cidre Ringo San-Kyodai,X,,,,,,,
10,17,17,Domestic,Modern Cider (Dry),🥉 BRONZE,Marukame Cidery,Shinano Blend Dry,2011,https://fgkita.com/,https://www.facebook.com/kitazawa3347/,https://www.instagram.com/marukame_farm_cidery/,https://maps.google.com/?cid=15320061409222246213,https://untappd.com/w/marukame-farm-cidery/481110,35.5970276,137.8843454
22,18,18,Domestic,Modern Cider (Dry),🥉 BRONZE,Monnosuke Farm,Kamineko Cidre,3228,https://monnosukefarm.com/,https://www.facebook.com/monnosukefarm/,https://www.instagram.com/atsunori.s_monnosukefarm/,https://maps.google.com/?cid=13184524280933374652,,39.3893093,141.0959097
24,19,19,Domestic,Modern Cider (Dry),🥉 BRONZE,Mugi to Budo,Okukuji Daigo Cider (Beer Yeast),3227,https://www.mugitobudou.com/,https://www.facebook.com/ushikubrewing/,https://www.instagram.com/grains.grapes.ushiku/,https://maps.google.com/?cid=9293468299421098720,https://untappd.com/w/ushiku-brewing/456496,35.9692147,140.1395685
