ID,Class,Entrant,Town,Region,Place,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,Dry Cider,Sisson & Smith,Eastwood,Nottinghamshire,🥇 First,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
3,Dry Cider,Rennie’s Winslow Cider,Winslow,Buckinghamshire,🥈 Second,3207,,https://www.facebook.com/winslowcider/,https://www.instagram.com/rennies_winslow_cider/,,,https://untappd.com/w/winslow-cider/407208,51.944859,-0.878737
4,Dry Cider,The Houghton Project,Bodenham,Herefordshire,🥉 Third,2780,http://www.houghtonproject.co.uk/,https://www.facebook.com/HoughtonProject/,,https://maps.google.com/?cid=17861295971436725449,,https://untappd.com/w/houghton-project/376873,52.1553115,-2.6458124
5,Medium Cider,Oliver’s Cider & Perry,Ocle Pychard,Herefordshire,🥇 First,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
6,Medium Cider,The Houghton Project,Bodenham,Herefordshire,🥈 Second,2780,http://www.houghtonproject.co.uk/,https://www.facebook.com/HoughtonProject/,,https://maps.google.com/?cid=17861295971436725449,,https://untappd.com/w/houghton-project/376873,52.1553115,-2.6458124
7,Medium Cider,Robin Bornoff,Ross-on-Wye,Herefordshire,🥉 Third,X,,,,,,,51.91445,-2.582446
8,Sweet Cider,Henhope Cider,Upper Dormington,Herefordshire,🥇 First,3205,,https://www.facebook.com/HenhopeCider/,,,,,52.0538908,-2.5987188
9,Sweet Cider,Oliver’s Cider & Perry,Ocle Pychard,Herefordshire,🥈 Second,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
10,Sweet Cider,The Houghton Project,Bodenham,Herefordshire,🥉 Third,2780,http://www.houghtonproject.co.uk/,https://www.facebook.com/HoughtonProject/,,https://maps.google.com/?cid=17861295971436725449,,https://untappd.com/w/houghton-project/376873,52.1553115,-2.6458124
11,Perry - Dry,The Houghton Project,Bodenham,Herefordshire,🥇 First,2780,http://www.houghtonproject.co.uk/,https://www.facebook.com/HoughtonProject/,,https://maps.google.com/?cid=17861295971436725449,,https://untappd.com/w/houghton-project/376873,52.1553115,-2.6458124
12,Perry - Dry,Sisson & Smith,Eastwood,Nottinghamshire,🥈 Second,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
13,Perry - Dry,Llanblethian Orchards,Cowbridge,Vale of Glamorgan,🥉 Third,2337,https://llancider.wales/,https://www.facebook.com/LlanblethianOrchards/,,https://maps.google.com/?cid=14251523282683018794,,https://untappd.com/w/llanblethian-orchards/131984,51.4579608,-3.4742943
14,Perry - Medium,Gwatkin Cider Co.,Abbeydore,Herefordshire,🥇 First,1215,https://gwatkincider.co.uk/,https://www.facebook.com/pages/Gwatkin-Cider/138521139506859,,https://maps.google.com/?cid=17407558906326157260,https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876,https://untappd.com/brewery/12203,52.001609,-2.908359
15,Perry - Medium,99PINES,Tibberton,Gloucestershire,🥈 Second,3203,https://99pines.com/,https://www.facebook.com/99PINESPERRY/,https://www.instagram.com/99pinesperry/,,,https://untappd.com/w/99-pines-perry/546132,51.913102,-2.3716719
16,Perry - Medium,Llanblethian Orchards,Cowbridge,Vale of Glamorgan,🥉 Third,2337,https://llancider.wales/,https://www.facebook.com/LlanblethianOrchards/,,https://maps.google.com/?cid=14251523282683018794,,https://untappd.com/w/llanblethian-orchards/131984,51.4579608,-3.4742943
17,Perry - Sweet,The Houghton Project,Bodenham,Herefordshire,🥇 First,2780,http://www.houghtonproject.co.uk/,https://www.facebook.com/HoughtonProject/,,https://maps.google.com/?cid=17861295971436725449,,https://untappd.com/w/houghton-project/376873,52.1553115,-2.6458124
18,Perry - Sweet,Sisson & Smith,Eastwood,Nottinghamshire,🥈 Second,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
19,Perry - Sweet,Oliver’s Cider & Perry,Ocle Pychard,Herefordshire,🥉 Third,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
20,Single Variety Cider,Ross-on-Wye Cider & Perry,Peterstow,Herefordshire,🥇 First,1134,https://rosscider.com/,https://www.facebook.com/pages/Ross-On-Wye-Cider-Perry-Co/230745910360675,https://www.instagram.com/rosscider/,https://maps.google.com/?cid=15438292382118860282,,https://untappd.com/brewery/12570,51.9170868,-2.6320935
21,Single Variety Cider,Oliver’s Cider & Perry,Ocle Pychard,Herefordshire,🥈 Second,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
22,Single Variety Cider,Butford Organics,Bodenham,Herefordshire,🥉 Third,1140,https://butfordorganics.co.uk/,https://www.facebook.com/pages/Butford-Organics-Cider-Perry/364735440244899,https://www.instagram.com/butford_cider/,https://maps.google.com/?cid=16494845033472918948,,https://untappd.com/brewery/36638,52.1802405,-2.6693955
23,Culinary/Dessert Cider - Dry,Mayfayre Cider & Perry,Hereford,Herefordshire,🥇 First,3206,,https://www.facebook.com/Mayfayreciderandperry/,https://www.instagram.com/mayfayre_/,,,https://untappd.com/w/mayfayre/398712,52.0506472,-2.6143352
24,Culinary/Dessert Cider - Dry,Sisson & Smith,Eastwood,Nottinghamshire,🥈 Second,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
25,Culinary/Dessert Cider - Dry,Gwatkin Cider Co.,Abbeydore,Herefordshire,🥉 Third,1215,https://gwatkincider.co.uk/,https://www.facebook.com/pages/Gwatkin-Cider/138521139506859,,https://maps.google.com/?cid=17407558906326157260,https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876,https://untappd.com/brewery/12203,52.001609,-2.908359
26,Culinary/Dessert Cider - Medium/Sweet,Mayfayre Cider & Perry,Hereford,Herefordshire,🥇 First,3206,,https://www.facebook.com/Mayfayreciderandperry/,https://www.instagram.com/mayfayre_/,,,https://untappd.com/w/mayfayre/398712,52.0506472,-2.6143352
27,Culinary/Dessert Cider - Medium/Sweet,Austringer Cider,Cwmafan,Neath Port Talbot,🥈 Second,2394,https://www.austringercider.co.uk/,https://www.facebook.com/austringercider/,https://www.instagram.com/austringercider/,,,https://untappd.com/w/austringer-cider/508958,51.6486406,-3.6827766
28,Naturally Sparkling Cider,Pointy Head Cider,,France,🥇 First,3204,,https://www.facebook.com/PointyHeadCider/,https://www.instagram.com/phbiere/,https://maps.google.com/?cid=18359852450676930900,,,43.4363789,0.2738539
29,Naturally Sparkling Cider,Llanblethian Orchards,Cowbridge,Vale of Glamorgan,🥈 Second,2337,https://llancider.wales/,https://www.facebook.com/LlanblethianOrchards/,,https://maps.google.com/?cid=14251523282683018794,,https://untappd.com/w/llanblethian-orchards/131984,51.4579608,-3.4742943
30,Naturally Sparkling Perry,Oliver’s Cider & Perry,Ocle Pychard,Herefordshire,🥇 First,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
31,Naturally Sparkling Perry,Ross-on-Wye Cider & Perry,Peterstow,Herefordshire,🥈 Second,1134,https://rosscider.com/,https://www.facebook.com/pages/Ross-On-Wye-Cider-Perry-Co/230745910360675,https://www.instagram.com/rosscider/,https://maps.google.com/?cid=15438292382118860282,,https://untappd.com/brewery/12570,51.9170868,-2.6320935
32,Naturally Sparkling Perry,Bartestree Cider Co,Bartestree,Herefordshire,🥉 Third,2781,,,,,,https://untappd.com/w/bartestree-cider-company/213529,52.0660508,-2.6458523
33,Best Presented Packaged Cider or Perry,Redvers Cider & Perry,Ledbury,Herefordshire,🥇 First,2493,https://redverscider.co.uk/,,https://www.instagram.com/redvers_cider/,,,,52.081005,-2.572941
34,Best Presented Packaged Cider or Perry,Newton Court Cider,Leominster,Herefordshire,🥈 Second,1882,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery,52.1830142,-2.717924
35,Best Presented Packaged Cider or Perry,Teepee Cider,Wellington,New Zealand,🥉 Third,2949,https://teepeecider.co.nz/,https://www.facebook.com/artisancider/,https://www.instagram.com/teepee_cider/,https://maps.google.com/?cid=13401732007935491634,,https://untappd.com/w/teepee-cider/532265,-41.0334582,175.4885205
36,Speciality Cider or Perry,Angry Orchard,New York,United States,🥇 First,87,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692
37,Speciality Cider or Perry,Oliver’s Cider & Perry,Ocle Pychard,Herefordshire,🥈 Second,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
