Class,Entrant,Region,Place,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
Dry Cider,Dee Ciders,Flintshire,🥇 First,3279,https://www.deeciders.com/,https://www.facebook.com/DeeCiders,,,,https://untappd.com/w/dee-ciders/126837,53.2075432,-3.0648367
Dry Cider,Mayfayre Cider & Perry,Herefordshire,🥈 Second,3206,,https://www.facebook.com/Mayfayreciderandperry/,https://www.instagram.com/mayfayre_/,,,https://untappd.com/w/mayfayre/398712,52.0506472,-2.6143352
Dry Cider,Pips Cider,Herefordshire,🥉 Third,1381,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027,52.0666607,-3.0090619
Medium Cider,Llanblethian Orchards,Vale of Glamorgan,🥇 First,2337,https://llancider.wales/,https://www.facebook.com/LlanblethianOrchards/,,https://maps.google.com/?cid=14251523282683018794,,https://untappd.com/w/llanblethian-orchards/131984,51.4579608,-3.4742943
Medium Cider,Sisson & Smith,Nottinghamshire,🥈 Second,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
Medium Cider,Dee Ciders,Flintshire,🥉 Third,3279,https://www.deeciders.com/,https://www.facebook.com/DeeCiders,,,,https://untappd.com/w/dee-ciders/126837,53.2075432,-3.0648367
Sweet Cider,Dee Ciders,Flintshire,🥇 First,3279,https://www.deeciders.com/,https://www.facebook.com/DeeCiders,,,,https://untappd.com/w/dee-ciders/126837,53.2075432,-3.0648367
Sweet Cider,Pips Cider,Herefordshire,🥈 Second,1381,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027,52.0666607,-3.0090619
Sweet Cider,Rosie's Triple D Cider,Denbighshire,🥉 Third,1282,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489,53.0508675,-3.2120122
Perry - Dry,Gregg's Pit Cider and Perry,Herefordshire,🥇 First,1132,https://www.greggs-pit.co.uk/,https://www.facebook.com/greggspit/,https://www.instagram.com/greggspit/,https://maps.google.com/?cid=12809496506561594272,,https://untappd.com/GreggsPitCiderPerry,51.9883626,-2.4925671
Perry - Dry,Rosie's Triple D Cider,Denbighshire,🥈 Second,1282,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489,53.0508675,-3.2120122
Perry - Dry,Oliver's Cider and Perry,Herefordshire,🥉 Third,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
Perry - Medium,Rosie's Triple D Cider,Denbighshire,🥇 First,1282,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489,53.0508675,-3.2120122
Perry - Medium,Oliver's Cider and Perry,Herefordshire,🥈 Second,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
Perry - Medium,Gwatkin Cider,Herefordshire,🥉 Third,1215,https://gwatkincider.co.uk/,https://www.facebook.com/pages/Gwatkin-Cider/138521139506859,,https://maps.google.com/?cid=17407558906326157260,https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876,https://untappd.com/brewery/12203,52.001609,-2.908359
Perry - Sweet,Gregg's Pit Cider and Perry,Herefordshire,🥇 First,1132,https://www.greggs-pit.co.uk/,https://www.facebook.com/greggspit/,https://www.instagram.com/greggspit/,https://maps.google.com/?cid=12809496506561594272,,https://untappd.com/GreggsPitCiderPerry,51.9883626,-2.4925671
Perry - Sweet,99PINES,Gloucestershire,🥈 Second,3203,https://99pines.com/,https://www.facebook.com/99PINESPERRY/,https://www.instagram.com/99pinesperry/,,,https://untappd.com/w/99-pines-perry/546132,51.913102,-2.3716719
Perry - Sweet,Newton Court Cider,Herefordshire,🥉 Third,1882,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery,52.1830142,-2.717924
Single Variety Cider,Sam Everitt,Herefordshire,🥇 First,X,,,,,,,51.91445,-2.582446
Single Variety Cider,Skittery Cider,Herefordshire,🥈 Second,1231,https://www.jusapples.co.uk/,https://www.facebook.com/skitteryapplejuice/,https://www.instagram.com/skittery_apple_juice_and_cider/,https://maps.google.com/?cid=15026851892992901344,,,52.0264686,-2.500881
Single Variety Cider,Cydr Dwaj Bracia,Poland,🥉 Third,3006,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234,52.2296756,21.0122287
Culinary/Dessert Cider - Dry,Sisson & Smith,Nottinghamshire,🥇 First,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
