ID,ID2,Category,Award,Medalist,Entry,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
195,2,Acid Dominant,🏆 Winner,Urtica (Abuls cidery),Savvaļā / Abuls,Latvia,,,,,,,
186,3,Flavored Ciders,🏆 Winner,Petritegi,Sagar Krash / Petritegi,Spain,,,,,,,
188,4,Fruit Wines & Perries,🏆 Winner,Andersen Winery,BenA solbær doux,Denmark,,,,,,,
197,5,Ice Ciders,🏆 Winner,Alde AS,Alde Issider,Norway,,,,,,,
173,6,Natural Cider,🏆 Winner,Zapiain,Joanes de Zapiain 2021,Spain,,,,,,,
194,7,Open Class,🏆 Winner,Store Naa Siderkompani,57/2 - Kårkall,Norway,,,,,,,
196,8,Sparkling,🏆 Winner,DEL FATTI LAURA,MELAGODO NUVOLO',Italy,,,,,,,
189,9,Tannin Dominant,🏆 Winner,Tall Ship Craft Cider / Fjordfolk Mikrobryggeri,Tall Ship Craft Cider Bristol Fashion,Norway,,,,,,,
177,10,Wood or Barrel-Aged,🏆 Winner,Mūrbūdu Cider,Oak Aged 2019 Vintage,Latvia,,,,,,,
181,11,,🥇 Gold,Aga sideri,Humlepung,Norway,,,,,,,
190,12,,🥇 Gold,Andersen Winery,Elmsfeuer Rabarber Sec,Denmark,,,,,,,
157,13,,🥇 Gold,Apal Sideri,Apal Sideri Svaggen,Norway,,,,,,,
183,14,,🥇 Gold,BIZIO,Basoa,Spain,,,,,,,
193,15,,🥇 Gold,Bjerregaarden,"Cider: Signe Tillisch, Harry Masters Jersey & Yarlington Mill",Denmark,,,,,,,
179,16,,🥇 Gold,Bringebærlandet Andersen,Bringebærlandets Isvin 2020,Norway,,,,,,,
167,17,,🥇 Gold,Bringebærlandet Andersen,Bringebærlandets Musserende,Norway,,,,,,,
192,18,,🥇 Gold,CiderCider BV,A Charming Squid / Lightship Cider,Netherlands,,,,,,,
165,19,,🥇 Gold,Cold Hand Winery,Malus Danica 2018,Denmark,,,,,,,
184,20,,🥇 Gold,Cold Hand Winery,Sparkling Ice 2018 - Apple & Cherry,Denmark,,,,,,,
171,21,,🥇 Gold,Eiane Gard,BRIST,Norway,,,,,,,
160,22,,🥇 Gold,Floribunda Cidervariationen Creazioni di sidro (des Franz Egger),Rosé Cider,Italy,,,,,,,
164,23,,🥇 Gold,Harding Økologiske Sideri,Sprudlande Harding,Norway,,,,,,,
155,24,,🥇 Gold,HELLELAND GARD,Heldre Discovery & Aroma,Norway,,,,,,,
185,25,,🥇 Gold,Janus Becker Verkaufsförderungsgesellschaft mbH,JB Bohnapfel 2019,Germany,,,,,,,
162,26,,🥇 Gold,Janus Becker Verkaufsförderungsgesellschaft mbH,JB Streuobst 2021,Germany,,,,,,,
158,27,,🥇 Gold,Lepola Drinks,Lepola Hoppy Hopped cider,Finland,,,,,,,
153,28,,🥇 Gold,Lien Gård,Livlig Eplesider Eple & Stikkelsbær 2021,Norway,,,,,,,
