ID,Year,Category,Award,Medalist,Medalist_Original,Entry,Points,Country,WID,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2,2022,Acid Dominant,🏆 Winner,Abuls,Urtica (Abuls cidery),Savvaļā / Abuls,---,Latvia,2361,"<a href=""https://www.abuls.lv/"">Website</a>","<a href=""https://www.facebook.com/sidrsAbuls/"">Facebook</a>","<a href=""https://www.instagram.com/abuls_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12371654123090416644"">Google</a>",,,"<a href=""https://untappd.com/Abuls"">Untappd</a>"
3,2022,Flavored Ciders,🏆 Winner,Petritegi,Petritegi,Sagar Krash / Petritegi,---,Spain,1171,"<a href=""https://www.petritegi.com/"">Website</a>","<a href=""https://www.facebook.com/Petritegi/"">Facebook</a>","<a href=""https://www.instagram.com/petritegi"">Instagram</a>","<a href=""https://maps.google.com/?cid=16425101977693923721"">Google</a>","<a href=""https://www.yelp.com/biz/petritegi-astigarraga"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/51639"">Untappd</a>"
4,2022,Fruit Wines & Perries,🏆 Winner,Andersen Winery,Andersen Winery,BenA solbær doux,---,Denmark,3001,"<a href=""https://andersenwinery.dk/"">Website</a>","<a href=""https://www.facebook.com/andersenwinery"">Facebook</a>","<a href=""https://www.instagram.com/andersenwinery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1091487036715359602"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1699896-d20578301"">TripAdvisor</a>","<a href=""https://untappd.com/w/andersen-winery/508619"">Untappd</a>"
5,2022,Ice Ciders,🏆 Winner,Alde Sider,Alde AS,Alde Issider,---,Norway,2546,"<a href=""https://www.aldesider.no/"">Website</a>","<a href=""https://www.facebook.com/aldesider"">Facebook</a>","<a href=""https://www.instagram.com/aldesider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7838999053969928967"">Google</a>",,,"<a href=""https://untappd.com/Alde_hardanger"">Untappd</a>"
6,2022,Natural Cider,🏆 Winner,Zapiain,Zapiain,Joanes de Zapiain 2021,---,Spain,1172,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
7,2022,Open Class,🏆 Winner,Store Naa Siderkompani,Store Naa Siderkompani,57/2 - Kårkall,---,Norway,2604,"<a href=""https://www.storenaasiderkompani.com/"">Website</a>","<a href=""https://www.facebook.com/Storenaasiderkompani/"">Facebook</a>","<a href=""https://www.instagram.com/storenaasiderkompani/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15254622508133860404"">Google</a>",,,"<a href=""https://untappd.com/w/store-naa-siderkompani/442862"">Untappd</a>"
8,2022,Sparkling,🏆 Winner,Sidro MelaGodo,DEL FATTI LAURA,MELAGODO NUVOLO',---,Italy,3078,"<a href=""https://www.sidromelagodo.it/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100008470323757"">Facebook</a>","<a href=""https://www.instagram.com/sidromelagodo/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12237794709851078121"">Google</a>",,,"<a href=""https://untappd.com/w/azienda-agricola-del-fatti-laura/390657"">Untappd</a>"
9,2022,Tannin Dominant,🏆 Winner,Fjordfolk Mikrobryggeri,Tall Ship Craft Cider / Fjordfolk Mikrobryggeri,Tall Ship Craft Cider Bristol Fashion,---,Norway,1884,"<a href=""https://www.fjordfolkbrygg.no/"">Website</a>","<a href=""https://www.facebook.com/fjordfolkbrygg/"">Facebook</a>","<a href=""https://www.instagram.com/tallship_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13187877260143472555"">Google</a>","<a href=""https://www.yelp.com/biz/fjordfolk-mikrobryggeri-sandefjord"">Yelp</a>",,"<a href=""https://untappd.com/Fjordfolk"">Untappd</a>"
10,2022,Wood or Barrel-Aged,🏆 Winner,Mūrbūdu,Mūrbūdu Cider,Oak Aged 2019 Vintage,---,Latvia,2167,"<a href=""https://www.nenormalssidrs.lv/"">Website</a>","<a href=""https://www.facebook.com/murbudu/"">Facebook</a>","<a href=""https://www.instagram.com/murbudu_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15847061061259139900"">Google</a>",,,"<a href=""https://untappd.com/MurbuduSidraDaritava"">Untappd</a>"
11,2022,---,🥇 Gold,Aga Sideri,Aga sideri,Humlepung,---,Norway,2605,"<a href=""https://www.agasideri.no/"">Website</a>","<a href=""https://www.facebook.com/agasideri/"">Facebook</a>","<a href=""https://www.instagram.com/agasideri/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13763004362793346500"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2347995-d18177720"">TripAdvisor</a>","<a href=""https://untappd.com/w/aga-sideri/405076"">Untappd</a>"
