WID,Medalist,Country,🏆 Winner,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
2604,Store Naa Siderkompani,Norway,2,1,3,0,6,2022,2023,2,https://www.storenaasiderkompani.com/,https://www.facebook.com/Storenaasiderkompani/,https://www.instagram.com/storenaasiderkompani/,https://maps.google.com/?cid=15254622508133860404,,,https://untappd.com/w/store-naa-siderkompani/442862,60.2562974,6.5717767
3015,Lepola Drinks,Finland,1,1,4,0,6,2022,2023,2,https://lepoladrinks.fi/,https://www.facebook.com/lepoladrinks/,https://www.instagram.com/lepola_drinks/,https://maps.google.com/?cid=10912023971262858580,,,https://untappd.com/w/lepola/401095,60.1705262,22.9621416
2605,Aga Sideri,Norway,1,1,3,1,6,2022,2023,2,https://www.agasideri.no/,https://www.facebook.com/agasideri/,https://www.instagram.com/agasideri/,https://maps.google.com/?cid=13763004362793346500,,https://www.tripadvisor.com/Attraction_Review-g2347995-d18177720,https://untappd.com/w/aga-sideri/405076,60.2985346,6.6029726
2363,Abavas,Latvia,1,0,5,0,6,2022,2023,2,https://www.abavas.lv/,https://www.facebook.com/abavas.vinadaritava/,https://www.instagram.com/abavas_vini/,https://maps.google.com/?cid=11387034393378720853,,https://www.tripadvisor.com/Attraction_Review-g608944-d23945082,https://untappd.com/w/sia-abavas-da-rzi/153183,56.9091245,23.2186301
2073,Mr. Plūme,Latvia,1,0,4,1,6,2022,2023,2,https://www.mrplume.lv/,https://www.facebook.com/mrplumesidrs,https://www.instagram.com/mrplume_sidrs/,https://maps.google.com/?cid=9319841841199759114,,,https://untappd.com/w/mr-plume/332485,56.69531,24.9870439
2167,Mūrbūdu,Latvia,1,0,2,3,6,2022,2023,2,https://www.nenormalssidrs.lv/,https://www.facebook.com/murbudu/,https://www.instagram.com/murbudu_sidrs/,https://maps.google.com/?cid=15847061061259139900,,,https://untappd.com/MurbuduSidraDaritava,57.8135254,25.8232241
3010,Hardanger Saft og Siderfabrikk,Norway,0,2,1,3,6,2022,2023,2,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913,60.5742416,6.9563357
3011,Hardangerbonden,Norway,0,1,5,0,6,2022,2023,2,https://www.hardangerbonden.no/,https://www.facebook.com/Hardangerbonden/,https://www.instagram.com/hardangerbonden/,https://maps.google.com/?cid=13224629755021668502,,,https://untappd.com/w/hardangerbonden/496030,60.2495349,6.6233738
1415,Harding Økologiske Sideri,Norway,0,1,4,1,6,2022,2023,2,https://www.hardingsideri.no/,https://www.facebook.com/HardingSideri,https://www.instagram.com/hardingsideri/,https://maps.google.com/?cid=12919577292319496906,,,https://untappd.com/HardingSideri,60.401233,6.6618141
2397,Pomologik,Sweden,0,0,5,1,6,2022,2023,2,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/Pomologik/,https://maps.google.com/?cid=17836181822390207936,,,https://untappd.com/Pomologik_swe,59.2627056,17.1157609
