WID,Medalist,Country,🏆 Winner,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2604,Store Naa Siderkompani,Norway,2,1,3,0,6,2022,2023,2,"<a href=""https://www.storenaasiderkompani.com/"">Website</a>","<a href=""https://www.facebook.com/Storenaasiderkompani/"">Facebook</a>","<a href=""https://www.instagram.com/storenaasiderkompani/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15254622508133860404"">Google</a>",,,"<a href=""https://untappd.com/w/store-naa-siderkompani/442862"">Untappd</a>"
3015,Lepola Drinks,Finland,1,1,4,0,6,2022,2023,2,"<a href=""https://lepoladrinks.fi/"">Website</a>","<a href=""https://www.facebook.com/lepoladrinks/"">Facebook</a>","<a href=""https://www.instagram.com/lepola_drinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10912023971262858580"">Google</a>",,,"<a href=""https://untappd.com/w/lepola/401095"">Untappd</a>"
2605,Aga Sideri,Norway,1,1,3,1,6,2022,2023,2,"<a href=""https://www.agasideri.no/"">Website</a>","<a href=""https://www.facebook.com/agasideri/"">Facebook</a>","<a href=""https://www.instagram.com/agasideri/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13763004362793346500"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2347995-d18177720"">TripAdvisor</a>","<a href=""https://untappd.com/w/aga-sideri/405076"">Untappd</a>"
2363,Abavas,Latvia,1,0,5,0,6,2022,2023,2,"<a href=""https://www.abavas.lv/"">Website</a>","<a href=""https://www.facebook.com/abavas.vinadaritava/"">Facebook</a>","<a href=""https://www.instagram.com/abavas_vini/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11387034393378720853"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608944-d23945082"">TripAdvisor</a>","<a href=""https://untappd.com/w/sia-abavas-da-rzi/153183"">Untappd</a>"
2073,Mr. Plūme,Latvia,1,0,4,1,6,2022,2023,2,"<a href=""https://www.mrplume.lv/"">Website</a>","<a href=""https://www.facebook.com/mrplumesidrs"">Facebook</a>","<a href=""https://www.instagram.com/mrplume_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9319841841199759114"">Google</a>",,,"<a href=""https://untappd.com/w/mr-plume/332485"">Untappd</a>"
2167,Mūrbūdu,Latvia,1,0,2,3,6,2022,2023,2,"<a href=""https://www.nenormalssidrs.lv/"">Website</a>","<a href=""https://www.facebook.com/murbudu/"">Facebook</a>","<a href=""https://www.instagram.com/murbudu_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15847061061259139900"">Google</a>",,,"<a href=""https://untappd.com/MurbuduSidraDaritava"">Untappd</a>"
3010,Hardanger Saft og Siderfabrikk,Norway,0,2,1,3,6,2022,2023,2,"<a href=""https://hardangersider.no/"">Website</a>","<a href=""https://www.facebook.com/HardangerSaftogSiderfabrikk/"">Facebook</a>","<a href=""https://www.instagram.com/hardangersaftogsiderfabrikk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12869878933054305699"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441"">TripAdvisor</a>","<a href=""https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913"">Untappd</a>"
3011,Hardangerbonden,Norway,0,1,5,0,6,2022,2023,2,"<a href=""https://www.hardangerbonden.no/"">Website</a>","<a href=""https://www.facebook.com/Hardangerbonden/"">Facebook</a>","<a href=""https://www.instagram.com/hardangerbonden/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13224629755021668502"">Google</a>",,,"<a href=""https://untappd.com/w/hardangerbonden/496030"">Untappd</a>"
1415,Harding Økologiske Sideri,Norway,0,1,4,1,6,2022,2023,2,"<a href=""https://www.hardingsideri.no/"">Website</a>","<a href=""https://www.facebook.com/HardingSideri"">Facebook</a>","<a href=""https://www.instagram.com/hardingsideri/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12919577292319496906"">Google</a>",,,"<a href=""https://untappd.com/HardingSideri"">Untappd</a>"
2397,Pomologik,Sweden,0,0,5,1,6,2022,2023,2,"<a href=""https://www.pomologik.se/"">Website</a>","<a href=""https://www.facebook.com/pomologik"">Facebook</a>","<a href=""https://www.instagram.com/Pomologik/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17836181822390207936"">Google</a>",,,"<a href=""https://untappd.com/Pomologik_swe"">Untappd</a>"
