Year,Award,Producer
2024,🏆 New Cidery of the Year,Endless Orchard
2024,🏆 Small Cidery of the Year,Rootwood Cider Company
2024,🏆 Small Cidery of the Year,Kristof Farms
2024,🏆 Small Cidery of the Year,Union Hill Cider Co.
2024,🏆 Medium Cidery of the Year,Bauman's Cider
2024,🏆 Large Cidery of the Year,2 Towns Ciderhouse
2023,🏆 New Cidery of the Year,Empyrical Orchard & Cidery
2023,🏆 New Cidery of the Year,Heartland Ciderworks
2023,🏆 Small Cidery of the Year,Puget Sound Cider Company
2023,🏆 Medium Cidery of the Year,Bauman's Cider
2023,🏆 Large Cidery of the Year,2 Towns Ciderhouse
2022,🏆 New Cidery of the Year,RAW Cider Co.
2022,🏆 Small Cidery of the Year,Puget Sound Cider Company
2022,🏆 Medium Cidery of the Year,Bauman's Cider
2022,🏆 Large Cidery of the Year,Seattle Cider Company
2021,🏆 Small Cidery of the Year,Puget Sound Cider Company
2021,🏆 Medium Cidery of the Year,Bauman's Cider
2021,🏆 Large Cidery of the Year,2 Towns Ciderhouse
2019,🏆 New Cidery of the Year,Independent Perry
2019,🏆 Small Cidery of the Year,Liberty Ciderworks
2019,🏆 Small Cidery of the Year,Snowdrift Cider Co.
2019,🏆 Medium Cidery of the Year,Bauman's Cider
2019,🏆 Large Cidery of the Year,2 Towns Ciderhouse
2018,🏆 New Cidery of the Year,Draper Girls Cider Co.
2018,🏆 Small Cidery of the Year,Montana CiderWorks
2018,🏆 Medium Cidery of the Year,Swift Cider
2018,🏆 Large Cidery of the Year,2 Towns Ciderhouse
2017,🏆 New Cidery of the Year,Western Cider Company
2017,🏆 Small Cidery of the Year,Montana CiderWorks
2017,🏆 Large Cidery of the Year,2 Towns Ciderhouse
2016,🏆 Small Cidery of the Year,Apple Outlaw
2016,🏆 Large Cidery of the Year,2 Towns Ciderhouse
2015,🏆 Small Cidery of the Year,???
2015,🏆 Large Cidery of the Year,???
2014,🏆 Small Cidery of the Year,???
2014,🏆 Large Cidery of the Year,???
2013,🏆 Small Cidery of the Year,Montana CiderWorks
2013,🏆 Large Cidery of the Year,Merridale Ciderworks
