WID,Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,City,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
67,2 Towns Ciderhouse,Oregon,20,19,13,52,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
118,Bauman's Cider,Oregon,14,14,10,38,2017,2024,7,Gervais,Oregon,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
553,Seattle Cider Company,Washington,8,7,9,24,2015,2024,7,Seattle,Washington,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,47.560327,-122.337605
635,Tieton Cider Works,Washington,2,8,8,18,2014,2022,6,Yakima,Washington,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,46.615859,-120.521786
1912,Puget Sound Cider Company,Washington,8,4,5,17,2021,2024,4,Renton,Washington,Active,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269,47.479856,-122.204573
276,Finnriver Farm & Cidery,Washington,5,6,4,15,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,48.0097371,-122.7694043
612,Swift Cider,Oregon,5,5,2,12,2017,2023,6,Portland,Oregon,Active,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,45.5791984,-122.6641214
830,Sea Cider Farm & Ciderhouse,British Columbia,4,3,3,10,2018,2024,6,Saanichton,British Columbia,Active,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780,48.6036859,-123.396825
387,Liberty Ciderworks,Washington,4,2,4,10,2016,2022,6,Spokane,Washington,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,47.655356,-117.418438
530,Rootwood Cider Co.,Washington,4,4,1,9,2018,2024,6,Manson,Washington,Active,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706,47.88489,-120.159129
92,Apple Outlaw,Oregon,3,4,1,8,2014,2017,4,Jacksonville,Oregon,Active,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265,42.135329,-123.239648
428,Montana CiderWorks,Montana,3,3,2,8,2016,2019,4,Darby,Montana,Active,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,45.965401,-114.11709
957,Yonder Cider,Washington,2,2,3,7,2021,2024,3,Seattle,Washington,Active,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448,47.6646136,-122.3675796
585,Square Mile Cider,Oregon,4,1,1,6,2014,2019,5,Portland,Oregon,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094,45.541124,-122.676595
570,Snowdrift Cider Co.,Washington,2,3,1,6,2016,2022,4,East Wenatchee,Washington,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,47.400586,-120.178628
2209,Draper Girls Cider Co.,Oregon,1,3,2,6,2018,2019,2,Parkdale,Oregon,Active,http://www.drapergirlsfarm.com/,https://www.facebook.com/drapergirlscountryfarm,https://www.instagram.com/drapergirlsfarm/,https://maps.google.com/?cid=6165797375002364096,https://www.yelp.com/biz/draper-girls-cider-company-parkdale,https://www.tripadvisor.com/Attraction_Review-g52014-d11823506,https://untappd.com/w/draper-girls-cider-co/363577,45.5498509,-121.5707139
668,Wandering Aengus Ciderworks,Oregon,1,1,4,6,2014,2016,3,Salem,Oregon,Inactive,,,,,,,,44.893871,-122.996201
550,Schilling Cider,Washington,0,2,4,6,2015,2023,3,Auburn,Washington,Active,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995
1845,Cider Riot!,Oregon,2,2,1,5,2014,2019,5,Portland,Oregon,Inactive,,,,,,,,45.523854,-122.657297
676,Western Cider,Montana,1,3,1,5,2017,2021,3,Missoula,Montana,Active,http://www.westerncider.com/,https://www.facebook.com/westerncider/,https://www.instagram.com/westerncider/,https://maps.google.com/?cid=14623261427414740204,https://www.yelp.com/biz/western-cider-missoula,https://www.tripadvisor.com/Attraction_Review-g45277-d12473667,https://untappd.com/w/western-cider/328334,46.876599,-114.014032
490,Portland Cider Company,Oregon,1,1,3,5,2017,2024,3,Clackamas,Oregon,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,45.415288,-122.572714
345,Incline Cider Company,Washington,0,2,3,5,2019,2024,4,Auburn,Washington,Active,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584,47.307323,-122.228453
916,Peak Light Cider Company,Oregon,2,2,0,4,2021,2024,3,Sauvie Island,Oregon,Active,https://peaklightcider.com/,https://www.facebook.com/peaklightcider,https://www.instagram.com/peaklightcider/,https://maps.google.com/?cid=10958770531628316703,,,https://untappd.com/PeakLightCider,45.6648629,-122.844112
103,Avid Cider,Oregon,2,1,1,4,2022,2024,2,Bend,Oregon,Active,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739,44.0509307,-121.3144074
1980,Shuswap Cider Company,British Columbia,2,1,1,4,2023,2024,2,Salmon Arm,British Columbia,Active,https://shuswapcider.com/,https://www.facebook.com/shuswapcider,https://www.instagram.com/shuswapcider/,https://maps.google.com/?cid=7673276959575565826,,,https://untappd.com/w/shuswap-cider-co/503328,50.6918843,-119.3095887
84,Alpenfire Cider,Washington,1,1,2,4,2017,2023,2,Port Townsend,Washington,Active,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510,48.082401,-122.87609
2134,Victoria Cider Co.,British Columbia,1,1,2,4,2022,2024,3,Victoria,British Columbia,Active,https://www.victoriaciderco.ca/,https://www.facebook.com/victoriaciderco,https://www.instagram.com/victoriaciderco/,https://maps.google.com/?cid=4973668223480997484,https://www.yelp.ca/biz/victoria-cider-north-saanich,https://www.tripadvisor.com/Attraction_Review-g154945-d24170707,https://untappd.com/w/victoria-cider-co/523117,48.643741,-123.457186
