ID,WID,Year,Style,Medalist,Entry,Region,Award,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Status
2,173,2013,Common Dry Cider,Bull Run Cider,Powerhouse Dry,Oregon,🥇 Gold,http://www.bullruncider.com/,https://www.facebook.com/Cider,https://www.instagram.com/bullruncider/,https://maps.google.com/?cid=13917891364878698013,https://www.yelp.com/biz/bull-run-cider-forest-grove,,https://untappd.com/w/bull-run-cider/58380,Active
3,3379,2013,Common Dry Cider,Ventimiglia Cellars,Mela Frizzante,Washington,🥈 Silver,,,,,,,,Inactive
4,668,2013,Common Dry Cider,Wandering Aengus Ciderworks,Wickson,Oregon,🥉 Bronze,,,,,,,,Inactive
5,428,2013,Common Sweet Cider,Montana CiderWorks,Darby Pub Cider,Montana,🥇 Gold,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
6,806,2013,Common Sweet Cider,Left Field Cider Co.,Little Dry,British Columbia,🥈 Silver,http://www.leftfieldcider.com/,https://www.facebook.com/leftfieldcider,https://www.instagram.com/leftfieldcider/,https://maps.google.com/?cid=2952880485422961840,https://www.yelp.com/biz/left-field-cider-company-logan-lake-2,https://www.tripadvisor.com/Attraction_Review-g1579868-d14910348,https://untappd.com/w/left-field-cider-co/34132,Active
7,810,2013,Common Sweet Cider,Merridale Ciderworks,House,British Columbia,🥉 Bronze,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650,Active
8,635,2013,English Dry Cider,Tieton Cider Works,Harmony Reserve,Washington,🥇 Gold,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
9,514,2013,English Dry Cider,Reverend Nat's Hard Cider,Revelation Kingston Black,Oregon,🥈 Silver,,,,,,,,Inactive
10,810,2013,English Dry Cider,Merridale Ciderworks,Traditional,British Columbia,🥉 Bronze,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650,Active
11,810,2013,English Sweet Cider,Merridale Ciderworks,Cyser,British Columbia,🥇 Gold,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650,Active
12,428,2013,English Sweet Cider,Montana CiderWorks,North Fork Traditional,Montana,🥈 Silver,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
13,635,2013,English Sweet Cider,Tieton Cider Works,Blossom Nectar,Washington,🥉 Bronze,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
14,585,2013,Hopped Cider,Square Mile Cider,Spur & Vine,Oregon,🥈 Silver,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094,Active
15,514,2013,Hopped Cider,Reverend Nat's Hard Cider,Hallelujah Hopricot,Oregon,🥉 Bronze,,,,,,,,Inactive
16,276,2013,Spiced Cider,Finnriver Farm & Cidery,Honey Meadow,Washington,🥇 Gold,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
17,514,2013,Spiced Cider,Reverend Nat's Hard Cider,Deliverance Ginger,Oregon,🥉 Bronze,,,,,,,,Inactive
18,810,2013,Wood/Oaked Cider,Merridale Ciderworks,Scrumpy,British Columbia,🥇 Gold,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650,Active
19,810,2013,Wood/Oaked Cider,Merridale Ciderworks,Cidre Normandie,British Columbia,🥈 Silver,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650,Active
20,810,2013,Fruit Cider,Merridale Ciderworks,Merri Berri,British Columbia,🥇 Gold,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650,Active
21,276,2013,Fruit Cider,Finnriver Farm & Cidery,Pear Cider,Washington,🥈 Silver,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
22,635,2013,Fruit Cider,Tieton Cider Works,Apricot,Washington,🥉 Bronze,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
23,635,2013,Specialty Cider,Tieton Cider Works,Tieton Wind,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
24,147,2014,Common Dry Cider,Blue Mountain Cider Company,Estate Winesap,Oregon,🥇 Gold,https://drinkcider.com/,https://www.facebook.com/DrinkCider/,https://www.instagram.com/bluemtncider,https://maps.google.com/?cid=2440645858088809767,https://www.yelp.com/biz/blue-mountain-cider-company-milton-freewater,https://www.tripadvisor.com/Attraction_Review-g51971-d734659,https://untappd.com/w/blue-mountain-cider-company/17953,Active
25,1845,2014,Common Dry Cider,Cider Riot!,Burncider,Oregon,🥈 Silver,,,,,,,,Inactive
26,668,2014,Common Dry Cider,Wandering Aengus Ciderworks,Wandering Aengus Wickson,Oregon,🥉 Bronze,,,,,,,,Inactive
27,92,2014,Common Sweet Cider,Apple Outlaw,Apple Bandit Original,Oregon,🥇 Gold,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265,Active
28,668,2014,Common Sweet Cider,Wandering Aengus Ciderworks,Wandering Aengus Bloom,Oregon,🥉 Bronze,,,,,,,,Inactive
29,527,2014,Wood/Oaked Cider,Rogue Ales & Spirits,Rogue Pink Gin Cider,Oregon,🥇 Gold,,,,,,,,Inactive
30,276,2014,Wood/Oaked Cider,Finnriver Farm & Cidery,Finnriver Fire Barrel Cider,Washington,🥈 Silver,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
31,276,2014,Fruit Cider,Finnriver Farm & Cidery,Finnriver Black Currant Cider,Washington,🥇 Gold,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
32,635,2014,Fruit Cider,Tieton Cider Works,Cherry Blend,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
33,173,2014,Specialty Cider,Bull Run Cider,Pear Wine,Oregon,🥇 Gold,http://www.bullruncider.com/,https://www.facebook.com/Cider,https://www.instagram.com/bullruncider/,https://maps.google.com/?cid=13917891364878698013,https://www.yelp.com/biz/bull-run-cider-forest-grove,,https://untappd.com/w/bull-run-cider/58380,Active
34,635,2014,Specialty Cider,Tieton Cider Works,Tieton Frost,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
35,635,2014,Specialty Cider,Tieton Cider Works,Tieton Wind,Washington,🥉 Bronze,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
36,810,2014,English Dry Cider,Merridale Ciderworks,Merridale Monarch,British Columbia,🥈 Silver,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650,Active
37,585,2014,Hopped Cider,Square Mile Cider,Square Mile Spur & Vine,Oregon,🥈 Silver,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094,Active
38,668,2014,Hopped Cider,Wandering Aengus Ciderworks,Anthem Hops,Oregon,🥉 Bronze,,,,,,,,Inactive
39,92,2014,Spiced/Herbed Cider,Apple Outlaw,Apple Bandit Ginger Bite,Oregon,🥈 Silver,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265,Active
40,635,2014,Spiced/Herbed Cider,Tieton Cider Works,Holiday Cheer,Washington,🥉 Bronze,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
41,668,2015,Modern Dry Cider,Wandering Aengus Ciderworks,Anthem Hops,Oregon,🥇 Gold,,,,,,,,Inactive
42,67,2015,Modern Dry Cider,2 Towns Ciderhouse,Bright Cider,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
43,688,2015,Modern Dry Cider,WildCraft Cider Works,Hard Cider,Oregon,🥉 Bronze,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780,Active
44,550,2015,Modern Sweet Cider,Schilling Cider,Gold,Washington,🥉 Bronze,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,Active
45,67,2015,Heritage Dry Cider,2 Towns Ciderhouse,Riverwood Brut 2013,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
46,806,2015,Heritage Dry Cider,Left Field Cider Co.,Little Dry,British Columbia,🥉 Bronze,http://www.leftfieldcider.com/,https://www.facebook.com/leftfieldcider,https://www.instagram.com/leftfieldcider/,https://maps.google.com/?cid=2952880485422961840,https://www.yelp.com/biz/left-field-cider-company-logan-lake-2,https://www.tripadvisor.com/Attraction_Review-g1579868-d14910348,https://untappd.com/w/left-field-cider-co/34132,Active
47,668,2015,Heritage Sweet Cider,Wandering Aengus Ciderworks,Bloom,Oregon,🥈 Silver,,,,,,,,Inactive
48,3373,2015,English Dry Cider,Hedgerow Cidery,Blue Butterfly,Oregon,🥈 Silver,,,,,,,,Inactive
49,1845,2015,English Dry Cider,Cider Riot!,1763,Oregon,🥉 Bronze,,,,,,,,Inactive
