ID,Category,Award,Medalist,Entry,Region,WID,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
2,High-Tannin Ciders - Dry,🥇 Gold,Bauman’s Cider,Endless Harvest,OR,,,,,,,,,,
3,High-Tannin Ciders - Dry,🥈 Silver,Victoria Cider Company,Keeved,BC,,,,,,,,,,
4,High-Tannin Ciders - Dry,🥈 Silver,Kristof Farms Cider,Orchard Cider,OR,,,,,,,,,,
5,High-Tannin Ciders - Dry,🥉 Bronze,Stray Cider,The Wild Kindness,OR,,,,,,,,,,
6,High-Tannin Ciders - Sweet,🥇 Gold,Puget Sound Cider Company,Virginia Crabapple,WA,,,,,,,,,,
7,High-Tannin Ciders - Sweet,🥈 Silver,Renaissance Orchards,Keeved Cider,WA,,,,,,,,,,
8,High-Tannin Ciders - Sweet,🥉 Bronze,Sea Cider Farm & Ciderhouse,Bittersweet,BC,,,,,,,,,,
9,Low-Tannin Ciders - Dry,🥇 Gold,Seattle Cider Company,City Fruit 2023,WA,,,,,,,,,,
10,Low-Tannin Ciders - Dry,🥈 Silver,Finnriver Farm & Cidery,Finnriver Dry,WA,,,,,,,,,,
11,Low-Tannin Ciders - Dry,🥈 Silver,Bauman’s Cider,Pet Mac,OR,,,,,,,,,,
12,Low-Tannin Ciders - Dry,🥈 Silver,Portland Cider Company,Kinda Dry,OR,,,,,,,,,,
13,Low-Tannin Ciders - Dry,🥉 Bronze,Bauman’s Cider,Clyde’s Dry,OR,,,,,,,,,,
14,Low-Tannin Ciders - Sweet,🥇 Gold,Seattle Cider Company,Odyssey,WA,,,,,,,,,,
15,Low-Tannin Ciders - Sweet,🥈 Silver,2 Towns Ciderhouse,Original Cosmic Crisp,OR,,,,,,,,,,
16,Low-Tannin Ciders - Sweet,🥉 Bronze,Cockrell Cider Farm,Original,WA,,,,,,,,,,
17,Fruit Co-Fermented,🥇 Gold,Shuswap Cider Company,Blueberry,BC,,,,,,,,,,
18,Fruit Co-Fermented,🥈 Silver,2 Towns Ciderhouse,Made Marion,OR,,,,,,,,,,
19,Fruit Co-Fermented,🥉 Bronze,Puget Sound Cider Company,Apple Pear,WA,,,,,,,,,,
20,Fruit Co-Fermented,🥉 Bronze,Idol Cider House,Cidre Rouge,OR,,,,,,,,,,
21,Fruit Post-Fermentation Addition - Dry,🥇 Gold,Empyrical Orchard & Cidery,Inversion,WA,,,,,,,,,,
22,Fruit Post-Fermentation Addition - Dry,🥈 Silver,Barmann Cellars,Big Bertha,WA,,,,,,,,,,
23,Fruit Post-Fermentation Addition - Dry,🥉 Bronze,19 Acres Cider Co.,Yuzu Plum,OR,,,,,,,,,,
24,Fruit Post-Fermentation Addition - Sweet,🥇 Gold,AVID Cider Co,Dragon Fruit,OR,,,,,,,,,,
25,Fruit Post-Fermentation Addition - Sweet,🥈 Silver,2 Towns Ciderhouse,Tropical Cosmic Crisp,OR,,,,,,,,,,
26,Fruit Post-Fermentation Addition - Sweet,🥈 Silver,Incline Cider Company,White Peach,WA,,,,,,,,,,
27,Fruit Post-Fermentation Addition - Sweet,🥉 Bronze,AVID Cider Co,Pineapple Mango,OR,,,,,,,,,,
28,Red Fleshed,🥇 Gold,Bauman’s Cider,Mountain Rose SV,OR,,,,,,,,,,
29,Red Fleshed,🥈 Silver,Union Hill Cider Co.,Redheart,WA,,,,,,,,,,
30,Red Fleshed,🥉 Bronze,Lost Giants Cider Company,Rosé,WA,,,,,,,,,,
31,Single Varietal,🥇 Gold,Rootwood Cider Company,Golden Russet,WA,,,,,,,,,,
32,Single Varietal,🥈 Silver,Bauman’s Cider,Stoke Red SV,OR,,,,,,,,,,
33,Single Varietal,🥉 Bronze,Bauman’s Cider,Kingston Black,OR,,,,,,,,,,
34,Wood / Oaked,🥇 Gold,Union Hill Cider Co.,Wildwood,WA,,,,,,,,,,
35,Wood / Oaked,🥈 Silver,2 Towns Ciderhouse,The Bad Apple,OR,,,,,,,,,,
36,Wood / Oaked,🥉 Bronze,Victoria Cider Company,Port,BC,,,,,,,,,,
37,High-Tannin Perries,🥈 Silver,Double Mountain Brewery & Cidery,Little Martha Old World Perry,OR,,,,,,,,,,
38,High-Tannin Perries,🥉 Bronze,Empyrical Orchard & Cidery,Archive Perry,WA,,,,,,,,,,
39,Low-Tannin Perries,🥇 Gold,Nashi Orchards,2023 Perry,WA,,,,,,,,,,
40,Low-Tannin Perries,🥈 Silver,Shuswap Cider Company,Perry,BC,,,,,,,,,,
41,Low-Tannin Perries,🥉 Bronze,Yonder Cider,Barrel Aged Perry,WA,,,,,,,,,,
42,Botanical - Herbed,🥇 Gold,Endless Orchard Cider,Boundless Blueberry-Basil,WA,,,,,,,,,,
43,Botanical - Herbed,🥈 Silver,La Familia Cider Company,Jamaica,OR,,,,,,,,,,
44,Botanical - Herbed,🥉 Bronze,Bauman’s Cider,Strawberry Mojito,OR,,,,,,,,,,
45,Botanical - Hopped,🥇 Gold,Seattle Cider Company,Mixtape,WA,,,,,,,,,,
46,Botanical - Hopped,🥈 Silver,Highpoint Cider,Tram-Line,ID,,,,,,,,,,
47,Botanical - Hopped,🥉 Bronze,Cockrell Cider Farm,Hop 'n Cider,WA,,,,,,,,,,
48,Botanical - Spiced,🥇 Gold,Shuswap Cider Company,Fireside Spice,BC,,,,,,,,,,
49,Botanical - Spiced,🥈 Silver,Rootwood Cider Company,Golden Ghost,WA,,,,,,,,,,
50,Botanical - Spiced,🥉 Bronze,Cockrell Cider Farm,Devil ‘n Cider,WA,,,,,,,,,,
51,Specialty - Fortified,🥇 Gold,2 Towns Ciderhouse,2020 Pommeau,OR,,,,,,,,,,
52,Specialty - Fortified,🥈 Silver,19 Acres Cider Co.,Pommeau,OR,,,,,,,,,,
53,Specialty - Fortified,🥉 Bronze,Yonder Cider,Pommeau,WA,,,,,,,,,,
