ID,Category,Award,Medalist,Entry,Region
2,Common Dry Cider,🥇 Gold,Bull Run Cider,Powerhouse Dry,Oregon
3,Common Dry Cider,🥈 Silver,Ventimiglia Cellars,Mela Frizzante,Washington
4,Common Dry Cider,🥉 Bronze,Wandering Aengus Ciderworks,Wickson,Oregon
5,Common Sweet Cider,🥇 Gold,Montana CiderWorks,Darby Pub Cider,Montana
6,Common Sweet Cider,🥈 Silver,Left Field Cider Co.,Little Dry,British Columbia
7,Common Sweet Cider,🥉 Bronze,Merridale Ciderworks,House,British Columbia
8,English Dry Cider,🥇 Gold,Tieton Cider Works,Harmony Reserve,Washington
9,English Dry Cider,🥈 Silver,Reverend Nat's Hard Cider,Revelation Kingston Black,Oregon
10,English Dry Cider,🥉 Bronze,Merridale Ciderworks,Traditional,British Columbia
11,English Sweet Cider,🥇 Gold,Merridale Ciderworks,Cyser,British Columbia
12,English Sweet Cider,🥈 Silver,Montana CiderWorks,North Fork Traditional,Montana
13,English Sweet Cider,🥉 Bronze,Tieton Cider Works,Blossom Nectar,Washington
14,Hopped Cider,🥈 Silver,Square Mile Cider,Spur & Vine,Oregon
15,Hopped Cider,🥉 Bronze,Reverend Nat's Hard Cider,Hallelujah Hopricot,Oregon
16,Spiced Cider,🥇 Gold,Finnriver Farm & Cidery,Honey Meadow,Washington
17,Spiced Cider,🥉 Bronze,Reverend Nat's Hard Cider,Deliverance Ginger,Oregon
18,Wood/Oaked Cider,🥇 Gold,Merridale Ciderworks,Scrumpy,British Columbia
19,Wood/Oaked Cider,🥈 Silver,Merridale Ciderworks,Cidre Normandie,British Columbia
20,Fruit Cider,🥇 Gold,Merridale Ciderworks,Merri Berri,British Columbia
21,Fruit Cider,🥈 Silver,Finnriver Farm & Cidery,Pear Cider,Washington
22,Fruit Cider,🥉 Bronze,Tieton Cider Works,Apricot,Washington
23,Specialty Cider,🥈 Silver,Tieton Cider Works,Tieton Wind,Washington
