ID,Category,Award,Medalist,Entry,WID
2,Modern Dry Cider,Gold,Wandering Aengus,Anthem Hops,
3,Modern Dry Cider,Silver,2 Towns Ciderhouse,Bright Cider,
4,Modern Dry Cider,Bronze,WildCraft Cider Works,Hard Cider,
5,Modern Sweet Cider,Bronze,Schilling Cider,Gold,
6,Heritage Dry Cider,Silver,2 Towns Ciderhouse,Riverwood Brut 2013,
7,Heritage Dry Cider,Bronze,Left Field Cider,Little Dry,
8,Heritage Sweet Cider,Silver,Wandering Aengus,Bloom,
9,English Dry Cider,Silver,Hedgerow Cidery,Blue Butterfly,3373
10,English Dry Cider,Bronze,Cider Riot!,1763,
11,Hopped Cider,Gold,Apple Outlaw,Tangerine Twist,
12,Hopped Cider,Silver,2 Towns Ciderhouse,Bright Cider,
13,Hopped Cider,Bronze,HUB Cider,HUB Hopped Cider,
14,Wild/Non-Sac Cider,Gold,2 Towns Ciderhouse,Afton Field 2013,
15,Spiced/Herbed Cider,Gold,Apple Outlaw,Ginger Bite,
16,Spiced/Herbed Cider,Bronze,Schilling Cider,Ginger Cider,
17,Wood/Oaked Cider,Gold,Finnriver Farm & Cidery,Finnriver Oak and Apple,
18,Wood/Oaked Cider,Bronze,Whitewood Cider,Whitewood Barrel,
19,Fruit Cider,Gold,Seattle Cider Company,Berry,
20,Fruit Cider,Silver,Alter Ego Cider,“The Guardian Angel” Blueberry Pomegranate Cider,
21,Fruit Cider,Bronze,Bull Run Cider,Bramble Berry,
22,Modern Perry,Gold,Left Field Cider Co.,Pear Dry,
23,Modern Perry,Silver,Seattle Cider Co.,Perry 2014,
