ID,Category,Award,Medalist,Entry,State/Province
4,English Dry Cider,🥇 GOLD,Cider Riot!,1763,Oregon
22,English Dry Cider,🥉 BRONZE,Liberty Ciderworks,Porter’s Perfection Single Varietal,Washington
17,English Sweet,🥉 BRONZE,Carlton Cyderworks,Citizen,Oregon
3,Fruit Cider,🥇 GOLD,Bull Run Cider,Strawberry Fields,Oregon
10,Fruit Cider,🥈 SILVER,2 Towns Ciderhouse,2 Thorns,Oregon
18,Fruit Cider,🥉 BRONZE,Faustino Estate,Faustino Apple Plum,British Columbia
26,Heritage Dry,🥉 BRONZE,Wandering Aengus Ciderworks,Wandering Aengus Golden Russet,Oregon
13,Heritage Dry Cider,🥈 SILVER,Apple Outlaw,Wickson,Oregon
16,Heritage Sweet Cider,🥈 SILVER,Twisted Hills Craft Cider,Kingston’s Twist,British Columbia
23,Heritage Sweet Cider,🥉 BRONZE,Montana Ciderworks,North Fork Traditional,Montana
8,Hopped Cider,🥇 GOLD,Square Mile Cider,Spur and Vine,Oregon
9,Hopped Cider,🥈 SILVER,^5 Cider,Strawbasauras Hop,Oregon
2,Modern Dry Cider,🥇 GOLD,2 Towns Ciderhouse,Riverwood 2013,Oregon
14,Modern Dry Cider,🥈 SILVER,Hopworks Urban Cidery,HUB Hard Cider,Oregon
19,Modern Dry Cider,🥉 BRONZE,Faustino Estate,Faustino Dry Apple,British Columbia
6,Modern Perry,🥇 GOLD,Finnriver Farm and Cidery,Perry,Washington
15,Modern Perry,🥈 SILVER,Snowdrift Cider,Seckel Perry,Washington
27,Modern Perry,🥉 BRONZE,WildCraft Cider Works,Elderberry Perry,Oregon
24,Modern Sweet,🥉 BRONZE,Snowdrift Cider,Red,Washington
25,Modern Sweet,🥉 BRONZE,Twisted Hills Craft Cider,Calville’s Winter,British Columbia
7,Modern Sweet Cider,🥇 GOLD,Montana Ciderworks,Darby Pub Cider,Montana
11,Spiced/Herbed Cider,🥈 SILVER,Apple Outlaw,Ginger Bite,Oregon
21,Spiced/Herbed Cider,🥉 BRONZE,Hopworks Urban Cidery,Professor Plum,Oregon
5,Wood/Oaked,🥇 GOLD,Elk Horn Brewery and Cider House,Bourbon Barrel Wild Cider,Oregon
12,Wood/Oaked Cider,🥈 SILVER,Apple Outlaw,Heritage Rye Barrel Aged,Oregon
20,Wood/Oaked Cider,🥉 BRONZE,Finnriver Cidery,Oak and Apple,Washington
