ID,Category,Award,Medalist,Entry
2,Modern Dry Cider,🥇 GOLD,2 Towns Ciderhouse,Traditions 2015 Riverwood
3,Heritage Dry Cider,🥇 GOLD,Western Cider Company,McIntosh
4,English Sweet Cider,🥇 GOLD,Montana CiderWorks,North Fork Traditional
5,Hopped Cider,🥇 GOLD,Square Mile Cider Company,Hopped Apple Cider
6,Spiced/Herbed Cider,🥇 GOLD,Square Mile Cider Company,Ginger Pear Apple Cider
7,Wood/Oaked Cider,🥇 GOLD,Swift Cider,Peach Oak
8,Fruit Cider,🥇 GOLD,2 Towns Ciderhouse,Flight Of The Kiwi
9,Modern Perry,🥇 GOLD,EdenVale Winery,Eden Valley Orchards Pear House Cider
10,Modern Dry Cider,🥈 SILVER,North Idaho Cider,North Idaho Fresh Apple
11,Modern Sweet Cider,🥈 SILVER,Alter Ego Cider,The Brute
12,Heritage Dry Cider,🥈 SILVER,Liberty Ciderworks,Columbia Crab SV
13,Heritage Sweet Cider,🥈 SILVER,Montana CiderWorks,Darby Pub Cider
14,English Dry Cider,🥈 SILVER,Alpenfire Cider,Pirate’s Plank
15,Hopped Cider,🥈 SILVER,Swift Cider,Golden Equinox
16,Wild/Non-Sac Cider,🥈 SILVER,2 Towns Ciderhouse,La Mure
17,Spiced/Herbed Cider,🥈 SILVER,Wards Hard Cider,Wards Ginger Apple Cider
18,Wood/Oaked Cider,🥈 SILVER,Finnriver Farm & Cidery,Firebarrel Cider
19,Fruit Cider,🥈 SILVER,Bauman’s Cider,Peach Raspberry
20,Modern Perry,🥈 SILVER,Tieton Cider Works,Perry
21,Modern Dry Cider,🥉 BRONZE,Scenic Road Cider Co.,Nearly Dry
22,Modern Sweet Cider,🥉 BRONZE,Portland Cider Company,Apple
23,Heritage Dry Cider,🥉 BRONZE,Scenic Road Cider Co.,Dry
24,English Dry Cider,🥉 BRONZE,Liberty Ciderworks,Porter’s Perfection SV
25,English Sweet Cider,🥉 BRONZE,Tieton Cider Works,Wild Washington
26,French Cider,🥉 BRONZE,WildCraft Cider Works,Spring Traditional Keeved
27,Hopped Cider,🥉 BRONZE,2 Towns Ciderhouse,Hop & Stalk
28,Spiced/Herbed Cider,🥉 BRONZE,La Familia Cider,Jamaica – Hibiscus
29,Wood/Oaked Cider,🥉 BRONZE,Apple Outlaw,Heritage
30,Fruit Cider,🥉 BRONZE,2 Towns Ciderhouse,Prickle Me Pink
31,Specialty Cider,🥉 BRONZE,2 Towns Ciderhouse,6th Anniversary
32,Modern Perry,🥉 BRONZE,Finnriver Farm & Cidery,Perry
