Medalist,Region,Year,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,City,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Tieton Cider Works,Washington,2014,0,2,2,4,2014,2022,6,Yakima,Washington,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
Wandering Aengus Ciderworks,Oregon,2014,0,0,3,3,2014,2016,3,Salem,Oregon,Inactive,,,,,,,
Apple Outlaw,Oregon,2014,1,1,0,2,2014,2017,4,Jacksonville,Oregon,Active,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265
Finnriver Farm & Cidery,Washington,2014,1,1,0,2,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Blue Mountain Cider Company,Oregon,2014,1,0,0,1,2014,2014,1,Milton-Freewater,Oregon,Active,https://drinkcider.com/,https://www.facebook.com/DrinkCider/,https://www.instagram.com/bluemtncider,https://maps.google.com/?cid=2440645858088809767,https://www.yelp.com/biz/blue-mountain-cider-company-milton-freewater,https://www.tripadvisor.com/Attraction_Review-g51971-d734659,https://untappd.com/w/blue-mountain-cider-company/17953
Bull Run Cider,Oregon,2014,1,0,0,1,2014,2016,3,Forest Grove,Oregon,Active,http://www.bullruncider.com/,https://www.facebook.com/Cider,https://www.instagram.com/bullruncider/,https://maps.google.com/?cid=13917891364878698013,https://www.yelp.com/biz/bull-run-cider-forest-grove,,https://untappd.com/w/bull-run-cider/58380
Rogue Ales & Spirits,Oregon,2014,1,0,0,1,2014,2014,1,Newport,Oregon,Active,http://www.rogue.com/,,,https://maps.google.com/?cid=15972873389957435766,https://www.yelp.com/biz/rogue-brewing-newport,https://www.tripadvisor.com/Attraction_Review-g51992-d6539306,https://untappd.com/w/rogue-ales-and-spirits/4565
Cider Riot!,Oregon,2014,0,1,0,1,2014,2019,5,Portland,Oregon,Inactive,,,,,,,
Merridale Ciderworks,British Columbia,2014,0,1,0,1,2014,2014,1,Cobble Hill,British Columbia,Active,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650
Square Mile Cider,Oregon,2014,0,1,0,1,2014,2019,5,Portland,Oregon,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094
