ID,Style,Award,Entrant_Original,Entrant,Entry,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,Supreme British Champion Cider — The Rupert Best Cup,🏆 Champion,Pips Cider,Pips Cider,Pips Cider Dry,1381,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027,52.0666607,-3.0090619
3,Supreme British Champion Cider — The Rupert Best Cup,🏆 Reserve,Rull Orchard,Rull Orchard,Starlight,2485,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398,50.8404193,-3.5272012
4,British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Champion,Alistair Smith,Sisson & Smith,Medium #1,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
5,British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Reserve,Ad Astra Cider,Ad Astra Cider,Ad Astra Dry,2784,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo,51.2574922,-2.8528453
6,Best Iced Cider,🏆 Champion,Burrow Hill Cider,Somerset Cider Brandy & Burrow Hill Cider,Ice Cider,1108,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566,50.9761647,-2.8350436
7,Best Iced Cider,🏆 Reserve,West Milton Cider Co,West Milton Cider,Milton Ice,1440,https://westmiltoncider.co.uk/,https://www.facebook.com/WestMiltonCiderCo,,https://maps.google.com/?cid=2378994117010753202,,https://untappd.com/w/west-milton-cider-co/132014,50.7649869,-2.7105286
8,Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Champion,Cranborne Chase Cider - Bill Meaden,Cranborne Chase Cider,The Hurdlemaker,1683,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534,50.9277495,-2.0397072
9,Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Reserve,Bere Cider Company,Bere Cider Company,Dabinett,1448,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany,51.0774,-2.847342
10,Cider Newcomer Award — The Vigo Trophy,🏆 Champion,Lewis Henry,Lewis Henry,Glasshouse White,,,,,,,,,
11,Cider Newcomer Award — The Vigo Trophy,🏆 Reserve,William Barnes,William Barnes,Padfield House Sweet Cider,,,,,,,,,
12,Open Class Dry,🏆 Best in Class,Pips Cider,Pips Cider,Pips Cider Dry,1381,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027,52.0666607,-3.0090619
13,Open Class Dry,🥇 Gold,Orchard 101,Orchard 101,Alpha,,,,,,,,,
14,Open Class Dry,🥈 Silver,Over The Hill Cider,Over The Hill Cider,Disco-J,,,,,,,,,
15,Open Class Dry,🥈 Silver,Southdown Cider,Southdown Cider,Dry cider,3151,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805,51.0761907,-2.4546243
16,Open Class Dry,🥈 Silver,Southdown Cider,Southdown Cider,Dry cider,3151,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805,51.0761907,-2.4546243
17,Open Class Dry,🥈 Silver,Showerings Cider Mill,Showerings Cider Mill,Showerings Dry Cider,,,,,,,,,
18,Open Class Dry,🥈 Silver,Sandford Orchards,Sandford Orchards,YDB,1243,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080,50.7886749,-3.6453966
19,Open Class Dry,🥈 Silver,Canterbury Cider,Canterbury Cider,The Duke,,,,,,,,,
20,Open Class Dry,🥈 Silver,Palmers Upland Cyder,Palmers Upland Cyder,Cwn Annwn,2520,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443
21,Open Class Dry,🥈 Silver,Wilding Cider,Wilding Cider,Major/Minor,1944,https://www.wildingcider.co.uk/,,https://www.instagram.com/wildingcider/,https://maps.google.com/?cid=14126504367716389024,,https://untappd.com/w/wilding-cider/465253,51.3700711,-2.6290771
22,Open Class Dry,🥈 Silver,Moons Cider,Moons Cider,Dry Cider,,,,,,,,,
23,Open Class Dry,🥈 Silver,Luke's Cider,Luke's Cider,Infernal Serpent,2371,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593,51.5885574,-0.0044107
24,Open Class Dry,🥈 Silver,Jonathan Marsden,Jonathan Marsden,Draycott Farm Cider,,,,,,,,,
25,Open Class Dry,🥈 Silver,Jon Steadman,Jon Steadman,Codling Moth,,,,,,,,,
26,Open Class Dry,🥈 Silver,Hitchcox Cider,Hitchcox Cider,Hitchcox cider,1657,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683,51.6810825,-1.0608779
27,Open Class Dry,🥈 Silver,Caledonian Cider Co,Caledonian Cider Co,Dry,2353,https://caledoniancider.com/,,,https://maps.google.com/?cid=15633057795289615854,,https://untappd.com/CaledonianCiderCo,57.5663703,-4.4376571
28,Open Class Dry,🥉 Bronze,North Down Orchard,North Down Orchard,dry,,,,,,,,,
