ID,#,Class,Award,WID,Entrant,Entry,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,OC1,Open Class Dry,🏆 Best in Class,X,William Barnes,Padfield Cider,,,,,,,,
3,OC1,Open Class Dry,🥈 Silver,2075,Artistraw Cider,Strange Shrew,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538,52.0960679,-3.0947504
4,OC1,Open Class Dry,🥈 Silver,X,Dee Ciders,Richard's Dry Cider,,,,,,,,
5,OC1,Open Class Dry,🥈 Silver,X,Broadpool Cider,Broadpool Dry Cider,,,,,,,,
6,OC1,Open Class Dry,🥈 Silver,1572,Woodredding Cider and Perry,Oaky Meadow,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024,51.9658888,-2.5259432
7,OC1,Open Class Dry,🥈 Silver,X,Mount Vale Orchards,St Aubyn's Dry,,,,,,,,
8,OC1,Open Class Dry,🥈 Silver,3144,BetterCider - Bristol University,Prince William & Ellis Blend,https://www.bristol.ac.uk/external-estate/fenswoodfarm/better-cider/,,https://www.instagram.com/bettercider/,,,,51.4239139,-2.6716687
9,OC1,Open Class Dry,🥈 Silver,X,Orchard 101,Herakles,,,,,,,,
10,OC1,Open Class Dry,🥈 Silver,3312,W-G Cider,W-G Farmhouse Cider,,https://www.facebook.com/WGFarmhouseCider/,,,,https://untappd.com/w/w-g-farmhouse-cider/558921,51.245413,-2.826757
11,OC1,Open Class Dry,🥈 Silver,X,North Down Orchard,Dry,,,,,,,,
12,OC1,Open Class Dry,🥈 Silver,X,Dr Rob Whale,Festival Dry,,,,,,,,
13,OC1,Open Class Dry,🥈 Silver,1381,Pips Cider,Pips Dry Cider,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027,52.0666607,-3.0090619
14,OC1,Open Class Dry,🥈 Silver,1657,Hitchcox Cider,Hitchcox Cider,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683,51.6810825,-1.0608779
15,OC1,Open Class Dry,🥈 Silver,X,Abbey Orchards,Abbott's Secret 2022,,,,,,,,
16,OC1,Open Class Dry,🥈 Silver,X,Dinnington Cider Press,Dragonfly Cider,,,,,,,,
17,OC1,Open Class Dry,🥈 Silver,2530,Wild West Cider,A Day At The Races,https://www.wildwestcider.co.uk/,https://www.facebook.com/Wildwestcider1,https://www.instagram.com/wildwestcider/,,,https://untappd.com/w/wild-west-cidery/539141,51.4490287,-2.6827655
18,OC1,Open Class Dry,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Dry Carbonated Cider,,,,,,,,
19,OC1,Open Class Dry,🥉 Bronze,2520,Palmers Upland Cyder,Cwn Annwn,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443
20,OC1,Open Class Dry,🥉 Bronze,X,Jonathan Marsden,Draycott Farm Cider,,,,,,,,
21,OC1,Open Class Dry,🥉 Bronze,2990,Loader's Cider,Loader's Dry 2021,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285,51.0344431,-3.1825594
22,OC1,Open Class Dry,🥉 Bronze,2990,Loader's Cider,Loader's Drycider,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285,51.0344431,-3.1825594
23,OC1,Open Class Dry,🥉 Bronze,2075,Artistraw Cider,Jury,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538,52.0960679,-3.0947504
24,OC1,Open Class Dry,🥉 Bronze,X,Martin Pagett,Pagetts Traditional Cider,,,,,,,,
25,OC1,Open Class Dry,🥉 Bronze,X,Camilla Humphries,Camilla’s Crush Red Hill Cider,,,,,,,,
