ID,Year,Class,Award,WID,Entrant,Entry
2,2023,Supreme British Champion Cider — The Rupert Best Cup,🏆 Champion,1381,Pips Cider,Pips Cider Dry
3,2023,Supreme British Champion Cider — The Rupert Best Cup,🏆 Reserve,2485,Rull Orchard,Starlight
4,2023,British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Champion,3041,Sisson & Smith,Medium #1
5,2023,British Champion Farmhouse Cider — The Worshipful Company of Pewterer's Perpetual Cup,🏆 Reserve,2784,Ad Astra Cider,Ad Astra Dry
6,2023,Best Iced Cider,🏆 Champion,1108,Somerset Cider Brandy & Burrow Hill Cider,Ice Cider
7,2023,Best Iced Cider,🏆 Reserve,1440,West Milton Cider,Milton Ice
8,2023,Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Champion,1683,Cranborne Chase Cider,The Hurdlemaker
9,2023,Best Cider Adjudged (Classes 5 & 9) — The Arthur Davis Cider Cup,🏆 Reserve,1448,Bere Cider Company,Dabinett
10,2023,Cider Newcomer Award — The Vigo Trophy,🏆 Champion,X,Lewis Henry,Glasshouse White
11,2023,Cider Newcomer Award — The Vigo Trophy,🏆 Reserve,X,William Barnes,Padfield House Sweet Cider
12,2023,Open Class Dry,🏆 Best in Class,1381,Pips Cider,Pips Cider Dry
13,2023,Open Class Dry,🥇 Gold,X,Orchard 101,Alpha
14,2023,Open Class Dry,🥈 Silver,X,Over The Hill Cider,Disco-J
15,2023,Open Class Dry,🥈 Silver,3151,Southdown Cider,Dry cider
16,2023,Open Class Dry,🥈 Silver,3151,Southdown Cider,Dry cider
17,2023,Open Class Dry,🥈 Silver,X,Showerings Cider Mill,Showerings Dry Cider
18,2023,Open Class Dry,🥈 Silver,1243,Sandford Orchards,YDB
19,2023,Open Class Dry,🥈 Silver,X,Canterbury Cider,The Duke
20,2023,Open Class Dry,🥈 Silver,2520,Palmers Upland Cyder,Cwn Annwn
21,2023,Open Class Dry,🥈 Silver,1944,Wilding Cider,Major/Minor
22,2023,Open Class Dry,🥈 Silver,X,Moons Cider,Dry Cider
23,2023,Open Class Dry,🥈 Silver,2371,Luke's Cider,Infernal Serpent
24,2023,Open Class Dry,🥈 Silver,X,Jonathan Marsden,Draycott Farm Cider
25,2023,Open Class Dry,🥈 Silver,X,Jon Steadman,Codling Moth
26,2023,Open Class Dry,🥈 Silver,1657,Hitchcox Cider,Hitchcox cider
27,2023,Open Class Dry,🥈 Silver,2353,Caledonian Cider Co,Dry
28,2023,Open Class Dry,🥉 Bronze,X,North Down Orchard,dry
29,2023,Open Class Dry,🥉 Bronze,X,Mark Palfrey & Jonathan Pepper,Rydon Farm Cider
30,2023,Open Class Dry,🥉 Bronze,2531,Rawlins Family Cider,Dry bottle
31,2023,Open Class Dry,🥉 Bronze,3141,The Tor Cider Company,Fenny Castle Vintage Reserve Dry Cider
32,2023,Open Class Dry,🥉 Bronze,1305,Udders Orchard Cider,Luddite
33,2023,Open Class Dry,🥉 Bronze,X,Orchard 101,Delta
34,2023,Open Class Dry,🥉 Bronze,2784,Ad Astra Cider,Hurricane
35,2023,Open Class Dry,🥉 Bronze,X,William Barnes,Padfield House Dry Cider
36,2023,Open Class Dry,🥉 Bronze,X,W-G Cider,W-G Farmhouse Cider
37,2023,Open Class Medium,🏆 Best in Class,X,North Down Orchard,Medium
38,2023,Open Class Medium,🥇 Gold,X,Jonathan Marsden,Draycott Farm Cider
39,2023,Open Class Medium,🥇 Gold,1448,Bere Cider Company,Turnhill Sunrise
40,2023,Open Class Medium,🥇 Gold,1448,Bere Cider Company,5 Acres
41,2023,Open Class Medium,🥇 Gold,X,Broadpool Cider,Broadpool Medium Cider
42,2023,Open Class Medium,🥇 Gold,2371,Luke's Cider,Original Sin
43,2023,Open Class Medium,🥈 Silver,1436,Ventons Devon Cider,Apple Vice
