ID,Class,Medalist,Place,WID
2,Dry Cider,Alistair Smith,🥇 First,3041
3,Dry Cider,Henhope Cider,🥈 Second,3205
4,Dry Cider,Naked Orchards,🥉 Third,3561
5,Medium Cider,Palmers Upland Cider,🥇 First,2520
6,Medium Cider,McCrindles Cider,🥈 Second,2790
7,Medium Cider,Henhope Cider,🥉 Third,3205
8,Sweet Cider,Henhope Cider,🥇 First,3205
9,Sweet Cider,Rosie’s Triple D,🥈 Second,1282
10,Sweet Cider,Alistair Smith,🥉 Third,3041
11,Dry Perry,Rosie’s Triple D,🥇 First,1282
12,Dry Perry,Alistair Smith,🥈 Second,3041
13,Dry Perry,Naked Orchards,🥉 Third,3561
14,Dry Perry,Gwatkins,👍 Highly Commended,1215
15,Medium Perry,Palmers Upland Cider,🥇 First,2520
16,Medium Perry,Rosie’s Triple D,🥈 Second,1282
17,Medium Perry,Alistair Smith,🥉 Third,3041
18,Sweet Perry,Rosie’s Triple D,🥇 First,1282
19,Sweet Perry,Ragged Stone,🥈 Second,2791
20,Sweet Perry,Lingens Farm,🥉 Third,3477
21,Bottle Fermented Cider,On Point Cider,🥇 First,3098
22,Bottle Conditioned Cider,Alistair Smith,🥇 First,3041
23,Bottle Conditioned Cider,Lingens Farm,🥈 Second,3477
24,Bottle Conditioned Cider,Hollow Ash (Jeremy Harris),🥉 Third,2390
25,Bottle Fermented Perry,Alistair Smith,🥇 First,3041
26,Bottle Conditioned Perry,Lingens Farm,🥇 First,3477
27,Bottle Conditioned Perry,Rob Castle,🥈 Second,3562
28,Best in Worcestershire,Lingens Farm,🏆 Winner,3477
29,Best in Gloucestershire,Ragged Stone,🏆 Winner (Joint),2791
30,Best in Gloucestershire,Rob Castle,🏆 Winner (Joint),3562
31,Best in Gloucestershire,McCrindles Cider,🏆 Winner (Joint),2790
32,Best in Herefordshire,Henhope Cider,🏆 Winner,3205
33,Albert Rixen Newcomer,Henhope Cider,🏆 Winner,3205
34,Best in Show,Henhope Cider,🏆 Winner,3205
35,Best in Show,Rosie’s Triple D,🏆 Reserve,1282
