Producer,County,🥇 First,🥈 Second,🥉 Third,👍 Commended,Total,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
Sisson & Smith,Nottinghamshire,3,1,2,0,6,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
Rosie's Triple D Cider,Denbighshire,2,2,0,0,4,1282,Active,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489,53.0508675,-3.2120122,0
Henhope Cider,Herefordshire,1,1,1,0,3,3205,Active,,https://www.facebook.com/HenhopeCider/,,,,https://untappd.com/w/henhope/525004,52.0538908,-2.5987188,0
The Lingens Farm,Worcestershire,1,1,1,0,3,3477,Active,,https://www.facebook.com/lingensfarmciderandperry/,,https://maps.google.com/?cid=17405441244644367287,,https://untappd.com/w/the-lingens-farm/483736,52.2065732,-2.3140423,0
Palmers Upland Cyder,Newport,2,0,0,0,2,2520,Active,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443,0
Naked Orchards,Worcestershire,0,0,2,0,2,3561,Inactive,,,,,,https://untappd.com/w/naked-orchard-cidery/437439,52.033383,-2.29967,1
On Point Cider Company,Herefordshire,1,0,0,0,1,3098,Active,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553,52.0737778,-2.9451381,0
McCrindle's Cider,Gloucestershire,0,1,0,0,1,2790,Active,http://mccrindlescider.co.uk/,https://www.facebook.com/profile.php?id=100054383207510,,,,https://untappd.com/w/mccrindles/18884,51.7633659,-2.4850304,0
Ragged Stone Cider & Perry,Gloucestershire,0,1,0,0,1,2791,Active,,https://www.facebook.com/raggedstonecider/,,,,https://untappd.com/w/ragged-stone/201743,52.003267,-2.369026,0
Rob Castle,Gloucestershire,0,1,0,0,1,3562,Active,,,,,,,51.8642449,-2.238156,0
Cwm Maddoc Cider & Perry,Herefordshire,0,0,1,0,1,2390,Active,https://hollow-ash.co.uk/cwm-maddoc-cider-perry/,https://www.facebook.com/HollowAshOrchard,https://www.instagram.com/hollow_ash_orchard/,https://maps.google.com/?cid=14948326245436298276,,https://untappd.com/w/cwm-maddoc/343615,51.882529,-2.757279,0
Gwatkin Cider,Herefordshire,0,0,0,1,1,1215,Active,https://gwatkincider.co.uk/,https://www.facebook.com/pages/Gwatkin-Cider/138521139506859,,https://maps.google.com/?cid=17407558906326157260,https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876,https://untappd.com/brewery/12203,52.001609,-2.908359,0
Total,,10,8,7,1,26,,,,,,,,,,,
