Producer,County,🥇 First,🥈 Second,🥉 Third,👍 Commended,Total,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Palmers Upland Cyder,Newport,3,1,1,0,5,2520,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
Sisson & Smith,Nottinghamshire,1,2,0,2,5,3041,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
The Lingens Farm,Worcestershire,1,2,1,0,4,3477,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
Rob Castle,Gloucestershire,1,1,0,0,2,3562,Active,,,,,,
Ross on Wye Cider & Perry,Herefordshire,1,1,0,0,2,1134,Active,"<a href=""https://rosscider.com/"">Website</a>","<a href=""https://www.facebook.com/pages/Ross-On-Wye-Cider-Perry-Co/230745910360675"">Facebook</a>","<a href=""https://www.instagram.com/rosscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15438292382118860282"">Google</a>",,"<a href=""https://untappd.com/brewery/12570"">Untappd</a>"
Woodredding Farm Cider,Herefordshire,1,1,0,0,2,1572,Active,"<a href=""https://www.woodreddingcider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/woodreddingcider"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13540344738396319268"">Google</a>",,"<a href=""https://untappd.com/w/woodredding/156024"">Untappd</a>"
On Point Cider Company,Herefordshire,0,0,1,1,2,3098,Active,,"<a href=""https://www.facebook.com/OnPointCider/"">Facebook</a>","<a href=""https://www.instagram.com/onpointcider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/on-point-cider-company/548553"">Untappd</a>"
Cwm Maddoc Cider & Perry,Herefordshire,1,0,0,0,1,2390,Active,"<a href=""https://hollow-ash.co.uk/cwm-maddoc-cider-perry/"">Website</a>","<a href=""https://www.facebook.com/HollowAshOrchard"">Facebook</a>","<a href=""https://www.instagram.com/hollow_ash_orchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14948326245436298276"">Google</a>",,"<a href=""https://untappd.com/w/cwm-maddoc/343615"">Untappd</a>"
Gwatkin Cider,Herefordshire,0,1,0,0,1,1215,Active,"<a href=""https://gwatkincider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/pages/Gwatkin-Cider/138521139506859"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17407558906326157260"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/12203"">Untappd</a>"
Monkey Bridge Cider,Derbyshire,0,0,1,0,1,3560,Active,,,,,,"<a href=""https://untappd.com/w/monkey-bridge-cider/401432"">Untappd</a>"
Oldfields Cider,Worcestershire,0,0,1,0,1,3517,Active,"<a href=""https://www.oldfieldscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/oldfieldscidershop"">Facebook</a>","<a href=""https://www.instagram.com/oldfieldscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12366118442495260876"">Google</a>",,"<a href=""https://untappd.com/w/oldfields-cider/127631"">Untappd</a>"
Pershore Press,Worcestershire,0,0,1,0,1,3558,Active,"<a href=""https://pershorepress.com/"">Website</a>","<a href=""https://www.facebook.com/pershorepress/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=14971466837942167593"">Google</a>",,"<a href=""https://untappd.com/w/pershore-press/468164"">Untappd</a>"
Total,,9,9,6,3,27,,,,,,,,
