ID,Year,Class,Producer,Producer_Original,County,Place,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
2,2023,Dry Cider,Sisson & Smith,Alistair Smith,Nottinghamshire,🥇 First,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
3,2023,Dry Cider,Henhope Cider,Henhope Cider,Herefordshire,🥈 Second,3205,Active,,https://www.facebook.com/HenhopeCider/,,,,https://untappd.com/w/henhope/525004,52.0538908,-2.5987188,0
4,2023,Dry Cider,Naked Orchards,Naked Orchards,Worcestershire,🥉 Third,3561,Inactive,,,,,,https://untappd.com/w/naked-orchard-cidery/437439,52.033383,-2.29967,1
5,2023,Medium Cider,Palmers Upland Cyder,Palmers Upland Cider,Newport,🥇 First,2520,Active,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443,0
6,2023,Medium Cider,McCrindle's Cider,McCrindles Cider,Gloucestershire,🥈 Second,2790,Active,http://mccrindlescider.co.uk/,https://www.facebook.com/profile.php?id=100054383207510,,,,https://untappd.com/w/mccrindles/18884,51.7633659,-2.4850304,0
7,2023,Medium Cider,Henhope Cider,Henhope Cider,Herefordshire,🥉 Third,3205,Active,,https://www.facebook.com/HenhopeCider/,,,,https://untappd.com/w/henhope/525004,52.0538908,-2.5987188,0
8,2023,Sweet Cider,Henhope Cider,Henhope Cider,Herefordshire,🥇 First,3205,Active,,https://www.facebook.com/HenhopeCider/,,,,https://untappd.com/w/henhope/525004,52.0538908,-2.5987188,0
9,2023,Sweet Cider,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🥈 Second,1282,Active,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489,53.0508675,-3.2120122,0
10,2023,Sweet Cider,Sisson & Smith,Alistair Smith,Nottinghamshire,🥉 Third,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
11,2023,Dry Perry,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🥇 First,1282,Active,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489,53.0508675,-3.2120122,0
12,2023,Dry Perry,Sisson & Smith,Alistair Smith,Nottinghamshire,🥈 Second,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
13,2023,Dry Perry,Naked Orchards,Naked Orchards,Worcestershire,🥉 Third,3561,Inactive,,,,,,https://untappd.com/w/naked-orchard-cidery/437439,52.033383,-2.29967,1
14,2023,Dry Perry,Gwatkin Cider,Gwatkins,Herefordshire,👍 Highly Commended,1215,Active,https://gwatkincider.co.uk/,https://www.facebook.com/pages/Gwatkin-Cider/138521139506859,,https://maps.google.com/?cid=17407558906326157260,https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876,https://untappd.com/brewery/12203,52.001609,-2.908359,0
15,2023,Medium Perry,Palmers Upland Cyder,Palmers Upland Cider,Newport,🥇 First,2520,Active,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443,0
16,2023,Medium Perry,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🥈 Second,1282,Active,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489,53.0508675,-3.2120122,0
17,2023,Medium Perry,Sisson & Smith,Alistair Smith,Nottinghamshire,🥉 Third,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
18,2023,Sweet Perry,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🥇 First,1282,Active,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489,53.0508675,-3.2120122,0
19,2023,Sweet Perry,Ragged Stone Cider & Perry,Ragged Stone,Gloucestershire,🥈 Second,2791,Active,,https://www.facebook.com/raggedstonecider/,,,,https://untappd.com/w/ragged-stone/201743,52.003267,-2.369026,0
20,2023,Sweet Perry,The Lingens Farm,Lingens Farm,Worcestershire,🥉 Third,3477,Active,,https://www.facebook.com/lingensfarmciderandperry/,,https://maps.google.com/?cid=17405441244644367287,,https://untappd.com/w/the-lingens-farm/483736,52.2065732,-2.3140423,0
21,2023,Bottle Fermented Cider,On Point Cider Company,On Point Cider,Herefordshire,🥇 First,3098,Active,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553,52.0737778,-2.9451381,0
22,2023,Bottle Conditioned Cider,Sisson & Smith,Alistair Smith,Nottinghamshire,🥇 First,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
23,2023,Bottle Conditioned Cider,The Lingens Farm,Lingens Farm,Worcestershire,🥈 Second,3477,Active,,https://www.facebook.com/lingensfarmciderandperry/,,https://maps.google.com/?cid=17405441244644367287,,https://untappd.com/w/the-lingens-farm/483736,52.2065732,-2.3140423,0
24,2023,Bottle Conditioned Cider,Cwm Maddoc Cider & Perry,Hollow Ash (Jeremy Harris),Herefordshire,🥉 Third,2390,Active,https://hollow-ash.co.uk/cwm-maddoc-cider-perry/,https://www.facebook.com/HollowAshOrchard,https://www.instagram.com/hollow_ash_orchard/,https://maps.google.com/?cid=14948326245436298276,,https://untappd.com/w/cwm-maddoc/343615,51.882529,-2.757279,0
25,2023,Bottle Fermented Perry,Sisson & Smith,Alistair Smith,Nottinghamshire,🥇 First,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
26,2023,Bottle Conditioned Perry,The Lingens Farm,Lingens Farm,Worcestershire,🥇 First,3477,Active,,https://www.facebook.com/lingensfarmciderandperry/,,https://maps.google.com/?cid=17405441244644367287,,https://untappd.com/w/the-lingens-farm/483736,52.2065732,-2.3140423,0
27,2023,Bottle Conditioned Perry,Rob Castle,Rob Castle,Gloucestershire,🥈 Second,3562,Active,,,,,,,51.8642449,-2.238156,0
28,2023,Best in Worcestershire,The Lingens Farm,Lingens Farm,Worcestershire,🏆 Winner,3477,Active,,https://www.facebook.com/lingensfarmciderandperry/,,https://maps.google.com/?cid=17405441244644367287,,https://untappd.com/w/the-lingens-farm/483736,52.2065732,-2.3140423,0
29,2023,Best in Gloucestershire,Ragged Stone Cider & Perry,Ragged Stone,Gloucestershire,🏆 Winner (Joint),2791,Active,,https://www.facebook.com/raggedstonecider/,,,,https://untappd.com/w/ragged-stone/201743,52.003267,-2.369026,0
30,2023,Best in Gloucestershire,Rob Castle,Rob Castle,Gloucestershire,🏆 Winner (Joint),3562,Active,,,,,,,51.8642449,-2.238156,0
31,2023,Best in Gloucestershire,McCrindle's Cider,McCrindles Cider,Gloucestershire,🏆 Winner (Joint),2790,Active,http://mccrindlescider.co.uk/,https://www.facebook.com/profile.php?id=100054383207510,,,,https://untappd.com/w/mccrindles/18884,51.7633659,-2.4850304,0
32,2023,Best in Herefordshire,Henhope Cider,Henhope Cider,Herefordshire,🏆 Winner,3205,Active,,https://www.facebook.com/HenhopeCider/,,,,https://untappd.com/w/henhope/525004,52.0538908,-2.5987188,0
33,2023,Albert Rixen Newcomer,Henhope Cider,Henhope Cider,Herefordshire,🏆 Winner,3205,Active,,https://www.facebook.com/HenhopeCider/,,,,https://untappd.com/w/henhope/525004,52.0538908,-2.5987188,0
34,2023,Best in Show,Henhope Cider,Henhope Cider,Herefordshire,🏆 Winner,3205,Active,,https://www.facebook.com/HenhopeCider/,,,,https://untappd.com/w/henhope/525004,52.0538908,-2.5987188,0
35,2023,Best in Show,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🏆 Reserve,1282,Active,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489,53.0508675,-3.2120122,0
36,2024,Dry Cider,Woodredding Farm Cider,Woodredding Farm Cider,Herefordshire,🥇 First,1572,Active,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024,51.9658888,-2.5259432,0
37,2024,Dry Cider,The Lingens Farm,Lingens Farm,Worcestershire,🥈 Second,3477,Active,,https://www.facebook.com/lingensfarmciderandperry/,,https://maps.google.com/?cid=17405441244644367287,,https://untappd.com/w/the-lingens-farm/483736,52.2065732,-2.3140423,0
38,2024,Dry Cider,Monkey Bridge Cider,Monkey Bridge Cider,Derbyshire,🥉 Third,3560,Active,,,,,,https://untappd.com/w/monkey-bridge-cider/401432,53.069159,-1.3688229,0
39,2024,Medium Cider,Palmers Upland Cyder,Palmers Upland Cider,Newport,🥇 First,2520,Active,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443,0
40,2024,Medium Cider,Gwatkin Cider,Gwatkins Cider,Herefordshire,🥈 Second,1215,Active,https://gwatkincider.co.uk/,https://www.facebook.com/pages/Gwatkin-Cider/138521139506859,,https://maps.google.com/?cid=17407558906326157260,https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876,https://untappd.com/brewery/12203,52.001609,-2.908359,0
41,2024,Medium Cider,On Point Cider Company,On Point Cider,Herefordshire,🥉 Third,3098,Active,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553,52.0737778,-2.9451381,0
42,2024,Medium Cider,Sisson & Smith,Alistair Smith,Nottinghamshire,👍 Highly Commended,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
43,2024,Sweet Cider,Palmers Upland Cyder,Palmers Upland Cider,Newport,🥇 First,2520,Active,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443,0
44,2024,Sweet Cider,The Lingens Farm,Lingens Farm,Worcestershire,🥈 Second,3477,Active,,https://www.facebook.com/lingensfarmciderandperry/,,https://maps.google.com/?cid=17405441244644367287,,https://untappd.com/w/the-lingens-farm/483736,52.2065732,-2.3140423,0
45,2024,Sweet Cider,Oldfields Cider,Oldfields,Worcestershire,🥉 Third,3517,Active,https://www.oldfieldscider.co.uk/,https://www.facebook.com/oldfieldscidershop,https://www.instagram.com/oldfieldscider/,https://maps.google.com/?cid=12366118442495260876,,https://untappd.com/w/oldfields-cider/127631,52.3255948,-2.4610259,0
46,2024,Dry Perry,Rob Castle,Rob Castle,Gloucestershire,🥇 First,3562,Active,,,,,,,51.8642449,-2.238156,0
47,2024,Dry Perry,Woodredding Farm Cider,Woodredding Farm,Herefordshire,🥈 Second,1572,Active,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024,51.9658888,-2.5259432,0
48,2024,Dry Perry,The Lingens Farm,Lingens Farm,Worcestershire,🥉 Third,3477,Active,,https://www.facebook.com/lingensfarmciderandperry/,,https://maps.google.com/?cid=17405441244644367287,,https://untappd.com/w/the-lingens-farm/483736,52.2065732,-2.3140423,0
49,2024,Medium Perry,Ross on Wye Cider & Perry,"Broome Farm, Ross-on-Wye",Herefordshire,🥇 First,1134,Active,https://rosscider.com/,https://www.facebook.com/pages/Ross-On-Wye-Cider-Perry-Co/230745910360675,https://www.instagram.com/rosscider/,https://maps.google.com/?cid=15438292382118860282,,https://untappd.com/brewery/12570,51.9170868,-2.6320935,0
50,2024,Medium Perry,Palmers Upland Cyder,Palmers Upland Cider,Newport,🥈 Second,2520,Active,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443,0
51,2024,Medium Perry,Pershore Press,Pershore Press,Worcestershire,🥉 Third,3558,Active,https://pershorepress.com/,https://www.facebook.com/pershorepress/,,https://maps.google.com/?cid=14971466837942167593,,https://untappd.com/w/pershore-press/468164,52.1009831,-2.0627205,0
52,2024,Medium Perry,Sisson & Smith,Alistair Smith,Nottinghamshire,👍 Commended,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
53,2024,Sweet Perry,Sisson & Smith,Alistair Smith,Nottinghamshire,🥇 First,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
54,2024,Sweet Perry,Rob Castle,Rob Castle,Gloucestershire,🥈 Second,3562,Active,,,,,,,51.8642449,-2.238156,0
55,2024,Bottle Fermented Cider,Palmers Upland Cyder,Palmers Upland Cider,Newport,🥇 First,2520,Active,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443,0
56,2024,Bottle Fermented Cider,On Point Cider Company,On Point Cider,Herefordshire,👍 Commended,3098,Active,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553,52.0737778,-2.9451381,0
57,2024,Bottle Conditioned Cider,The Lingens Farm,Lingens Farm,Worcestershire,🥇 First,3477,Active,,https://www.facebook.com/lingensfarmciderandperry/,,https://maps.google.com/?cid=17405441244644367287,,https://untappd.com/w/the-lingens-farm/483736,52.2065732,-2.3140423,0
58,2024,Bottle Conditioned Cider,Sisson & Smith,Alistair Smith,Nottinghamshire,🥈 Second,3041,Active,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544,0
