ID,Year,Class,Producer,Producer_Original,County,Place,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2,2023,Dry Cider,Sisson & Smith,Alistair Smith,Nottinghamshire,🥇 First,3041,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
3,2023,Dry Cider,Henhope Cider,Henhope Cider,Herefordshire,🥈 Second,3205,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
4,2023,Dry Cider,Naked Orchards,Naked Orchards,Worcestershire,🥉 Third,3561,Inactive,,,,,,"<a href=""https://untappd.com/w/naked-orchard-cidery/437439"">Untappd</a>"
5,2023,Medium Cider,Palmers Upland Cyder,Palmers Upland Cider,Newport,🥇 First,2520,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
6,2023,Medium Cider,McCrindle's Cider,McCrindles Cider,Gloucestershire,🥈 Second,2790,Active,"<a href=""http://mccrindlescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054383207510"">Facebook</a>",,,,"<a href=""https://untappd.com/w/mccrindles/18884"">Untappd</a>"
7,2023,Medium Cider,Henhope Cider,Henhope Cider,Herefordshire,🥉 Third,3205,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
8,2023,Sweet Cider,Henhope Cider,Henhope Cider,Herefordshire,🥇 First,3205,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
9,2023,Sweet Cider,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🥈 Second,1282,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
10,2023,Sweet Cider,Sisson & Smith,Alistair Smith,Nottinghamshire,🥉 Third,3041,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
11,2023,Dry Perry,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🥇 First,1282,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
12,2023,Dry Perry,Sisson & Smith,Alistair Smith,Nottinghamshire,🥈 Second,3041,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
13,2023,Dry Perry,Naked Orchards,Naked Orchards,Worcestershire,🥉 Third,3561,Inactive,,,,,,"<a href=""https://untappd.com/w/naked-orchard-cidery/437439"">Untappd</a>"
14,2023,Dry Perry,Gwatkin Cider,Gwatkins,Herefordshire,👍 Highly Commended,1215,Active,"<a href=""https://gwatkincider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/pages/Gwatkin-Cider/138521139506859"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17407558906326157260"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/12203"">Untappd</a>"
15,2023,Medium Perry,Palmers Upland Cyder,Palmers Upland Cider,Newport,🥇 First,2520,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
16,2023,Medium Perry,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🥈 Second,1282,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
17,2023,Medium Perry,Sisson & Smith,Alistair Smith,Nottinghamshire,🥉 Third,3041,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
18,2023,Sweet Perry,Rosie's Triple D Cider,Rosie’s Triple D,Denbighshire,🥇 First,1282,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
19,2023,Sweet Perry,Ragged Stone Cider & Perry,Ragged Stone,Gloucestershire,🥈 Second,2791,Active,,"<a href=""https://www.facebook.com/raggedstonecider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/ragged-stone/201743"">Untappd</a>"
20,2023,Sweet Perry,The Lingens Farm,Lingens Farm,Worcestershire,🥉 Third,3477,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
