Style,Medal,Producer,Product,Points,Region/Country
Natural Basque Cider,🥇 Gold,Zapiain sagardotegia,Zapiain sagardoa (Lote 1),45,Astigarraga - Basque Country
Natural Basque Cider,🥇 Gold,Sarasola sagardotegia,Sarasola sagardoa,45,Asteasu - Basque Country
Natural Basque Cider,🥈 Silver,Begiristain sagardotegia,Begiristain sagardoa (Lote 1),44,Ikaztegieta - Basque Country
Natural Basque Cider,🥈 Silver,Aburuza sagardotegia,Aburuza sagardoa (Lote 1),43,Aduna - Basque Country
Natural Basque Cider,🥈 Silver,Izeta sagardotegia,Izeta sagardoa,40,Aia - Basque Country
Natural Basque Cider,🥈 Silver,Zelaia sagardotegia,Zelaia sagardoa (Lote 1),40,Hernani - Basque Country
Natural Basque Cider,🥈 Silver,Zapiain sagardotegia,Zapiain sagardoa (Lote 2),40,Astigarraga - Basque Country
Natural Basque Cider,🥈 Silver,Araeta sagardotegia,Sidra Manzana Araeta,39,Donostia - Basque Country
Natural Basque Cider,🥈 Silver,Zabala sagardotegia,Zabala R80,39,Aduna - Basque Country
Natural Basque Cider,🥈 Silver,Zelaia sagardotegia,Zelaia sagardoa (Lote 2),38,Hernani - Basque Country
Natural Basque Cider,🥈 Silver,Isastegi sagardotegia,Isastegi sagardoa (Lote 1),38,Tolosa - Basque Country
Natural Basque Cider,🥉 Bronze,Gurutzeta sagardotegia,Gurutzeta sagardoa,37,Astigarraga - Basque Country
Natural Basque Cider,🥉 Bronze,Gaztañaga sagardotegia,Gaztañaga sagardoa,36,Andoain - Basque Country
Natural Basque Cider,🥉 Bronze,Bereziartua sagardotegia,Bereziartua sagardoa,36,Astigarraga - Basque Country
Natural Basque Cider,🥉 Bronze,Gartziategi sagardotegia,Gartziategi sagardoa (Lote 1),36,Astigarraga - Basque Country
Natural Basque Cider,🥉 Bronze,Alorrenea sagardotegia,Alorrenea sagardoa,35,Astigarraga - Basque Country
Natural Basque Cider,🥉 Bronze,Irigoien Herrero sagardotegia,Irigoien Herrero sagardoa,35,Astigarraga - Basque Country
Natural Basque Cider,🥉 Bronze,Petritegi sagardotegia,Petritegi sagardoa,35,Astigarraga - Basque Country
Natural Basque Cider,🥉 Bronze,Gartziategi sagardotegia,Gartziategi sagardoa (Lote 2),35,Astigarraga - Basque Country
Natural Basque Cider,🥉 Bronze,Rufino sagardotegia,Rufino sagardoa,35,Hernani - Basque Country
Natural Basque Cider,🥉 Bronze,Isastegi sagardotegia,Isastegi sagardoa (Lote 2),34,Tolosa - Basque Country
Natural Basque Cider,🥉 Bronze,Altzueta sagardotegia,Altzueta sagardoa (Lote 1),32,Hernani - Basque Country
Natural Basque Cider,🥉 Bronze,Altzueta sagardotegia,Altzueta sagardoa (Lote 2),31,Hernani - Basque Country
Natural Basque Cider,🥉 Bronze,Begiristain sagardotegia,Begiristain sagardoa (Lote 2),30,Ikaztegieta - Basque Country
Natural Basque Cider,🥉 Bronze,Oiharte sagardotegia,Oiharte sagardoa,30,Zerain - Basque Country
Traditional French Cider,🥇 Gold,Angry Orchard,The Muse,46,AEB
Traditional French Cider,🥇 Gold,Domaine Lesuffleur,La Folletière 2014,45,Frantzia
Traditional French Cider,🥈 Silver,Cidrerie Nicol,Cidre demi-sec fruite,42,Frantzia
Traditional French Cider,🥈 Silver,Domaine Lesuffleur,Friardel,40,Frantzia
Traditional French Cider,🥈 Silver,Les Vergers de Kermao,Cidre AOP Cornouaille Vergers de Kermao,39,Frantzia
Traditional French Cider,🥉 Bronze,Menez Brug,Cidre AOP Cornouaille Menez Brug,37,Frantzia
Traditional French Cider,🥉 Bronze,Cidrerie Nicol,Cidre Doux,37,Frantzia
Traditional French Cider,🥉 Bronze,Distillerie du Gorvello,Cidre de Bretagne IGP Cuvée Tradition,35,Frantzia
Traditional French Cider,🥉 Bronze,Gaec du Manoir de Gramdouet,Cidre Pays D’Auge Cuvee reserve,31,Frantzia
Ice Cider,🥇 Gold,Brännland Cider AB,Brännland Iscider Barrique 2015,46,Suedia
Ice Cider,🥈 Silver,Sidra Cortina Coro,Cortina Sidra de Hielo,44,Espainia
Ice Cider,🥈 Silver,Valle Ballina y Fernandez,1898,42,Espainia
Ice Cider,🥈 Silver,WINI Krzysztof Winnicki,Cydr Jablkowy Lodowy Ice,41,Polonia
Ice Cider,🥈 Silver,Distillerie du Gorvello,Fleur de Cidre,38,Frantzia
Ice Cider,🥈 Silver,Sarl Bordatto,Mokofin 2016,38,Frantzia
Ice Cider,🥉 Bronze,Zapiain SAT,Bizi Gozo,36,Espainia
Ice Cider,🥉 Bronze,Brännland Cider AB,Brännland Iscider 2016 33 Brix,33,Suedia
Ice Cider,🥉 Bronze,Oiharte Sagardotegia,Oiharte izotzezko sagardoa,31,Espainia
Natural Asturian Cider,🥈 Silver,Sidra Riestra,Sidra natural Riestra,43,Espainia
Natural Asturian Cider,🥈 Silver,Sidra Piñera,Sidra Piñera,42,Espainia
Natural Asturian Cider,🥈 Silver,Sidra Menendez,Sidra natural Val d’Ornon,42,Espainia
Natural Asturian Cider,🥈 Silver,Sidra Cabueñes,Sidra natural asturiana Cabueñes,42,Espainia
Natural Asturian Cider,🥈 Silver,Sidra Menendez,Sidra natural Menendez,41,Espainia
Natural Asturian Cider,🥈 Silver,Sidra Piñera,Sidra Llosa Serantes,40,Espainia
Natural Asturian Cider,🥈 Silver,El Nocéu S. Coop.,Astur Sidra Natural Ecolóxico “El Nocéu”,40,Espainia
Natural Asturian Cider,🥈 Silver,Manuel Busto Amandi S.A.,Sidra Natural M. Busto,40,Espainia
Natural Asturian Cider,🥈 Silver,Sidra Fanjul,Sidra natural Fanjul ecológica,38,Espainia
Natural Asturian Cider,🥉 Bronze,Sidra Trabanco,Sidra Trabanco cosecha propia,37,Espainia
Natural Asturian Cider,🥉 Bronze,Llagar Castañon,Sidra Castañon,35,Espainia
Natural Asturian Cider,🥉 Bronze,Sidra Fanjul,Sidra natural Fanjul,32,Espainia
Natural Asturian Cider,🥉 Bronze,Sidra Angelon,Sidra Prau Monga,31,Espainia
Natural Asturian Cider,🥉 Bronze,Valle Ballina y Fernandez,Pomarina Natural,30,Espainia
Natural Asturian Cider,🥉 Bronze,Sidra Panizales,Sidra natural Panizales,30,Espainia
Traditional English Cider,🥈 Silver,Willie Smiths Organic Apple Cider,Somerset Redstreak,43,Australia
Traditional English Cider,🥈 Silver,Angry Orchard,Understood In Motion 02,43,AEB
Traditional English Cider,🥈 Silver,The Cotswold Cider Company Ltd,No Brainer,40,Erresuma Batua
Traditional English Cider,🥈 Silver,Thatchers,Vintage 2016,39,Erresuma Batua
Traditional English Cider,🥈 Silver,Distillerie du Gorvello,Cidre de Bretagne IGP Cuvée Héritage,38,Frantzia
Traditional English Cider,🥉 Bronze,Thatchers Cider Company Ltd.,Green Goblin,37,Erresuma Batua
Traditional English Cider,🥉 Bronze,Henry of Harcourt,Yarlington Mill,37,Australia
Traditional English Cider,🥉 Bronze,Henry of Harcourt,Duck and Bull,37,Australia
Traditional English Cider,🥉 Bronze,Pips Cider Limited,Pips Dry Cider,36,Erresuma Batua
Traditional English Cider,🥉 Bronze,Lagar de Ribela,Maceiras Vellas,36,Espainia
Traditional English Cider,🥉 Bronze,Angry Orchard,Oval Nouveau,36,AEB
Traditional English Cider,🥉 Bronze,Daylesford Cider Co,French Oak,35,Australia
Traditional English Cider,🥉 Bronze,Pips Cider Limited,Pips Medium Cider,34,Erresuma Batua
Traditional English Cider,🥉 Bronze,Daylesford Cider Co,Wild,33,Australia
Traditional English Cider,🥉 Bronze,Angry Orchard,Orchard Cuvee #2,33,AEB
Flavored Cider and Perry,🥇 Gold,Lagar de Ribela,Besta,47,Espainia
Flavored Cider and Perry,🥇 Gold,Floribunda,Ginger Cider,45,Italia
Flavored Cider and Perry,🥇 Gold,Floribunda,Quitten Cider alla Cotogna,45,Italia
Flavored Cider and Perry,🥇 Gold,Bembel-With-Care GmbH & Co. KG,Apfelwein-Cola,45,Alemania
Flavored Cider and Perry,🥇 Gold,Weidmann & Groh Gbr,Speierling,45,Alemania
Flavored Cider and Perry,🥈 Silver,Floribunda,Holunder Cider al Sambuco,43,Italia
Flavored Cider and Perry,🥈 Silver,Sidrería Araeta,Sidra de Pera Araeta,43,Espainia
Flavored Cider and Perry,🥈 Silver,Weidmann & Groh Gbr,Cydonia,42,Alemania
Flavored Cider and Perry,🥈 Silver,Harcourt Perry and Cider Makers,Pear Cider,42,Australia
Flavored Cider and Perry,🥈 Silver,Götti Bourbon Cider,Götti Cider,42,Suitza
Flavored Cider and Perry,🥈 Silver,The Cotswold Cider Company Ltd,BlowHorn,42,Erresuma Batua
Flavored Cider and Perry,🥈 Silver,Astur Natural Foods,Valduro Honey,41,Espainia
Flavored Cider and Perry,🥈 Silver,Red Brick Road Cider,Dry Hopped Cider,38,Australia
Flavored Cider and Perry,🥉 Bronze,Bear Cider,Bear Cider Dry Hopped,37,Herbehereak
Flavored Cider and Perry,🥉 Bronze,Sidra Panizales,Hera,37,Espainia
Flavored Cider and Perry,🥉 Bronze,Bembel-With-Care GmbH & Co. KG,Apfelwein-Kirsch,35,Alemania
Flavored Cider and Perry,🥉 Bronze,Franks Cider,Rasperry & Pear Cider,35,Australia
Flavored Cider and Perry,🥉 Bronze,Cidrerie Txopinondo,Kalipoko Citron,33,Frantzia
Flavored Cider and Perry,🥉 Bronze,Weidmann & Groh Gbr,Rosbacher Köppel,33,Alemania
