Style,Medal,Producer,Product,Points,Country
Natural Basque Cider,🥇 Gold,Zapiain cider house,Zapiain Sagardoa Lote I ,47,Basque Country
Natural Basque Cider,🥇 Gold,Zapiain cider house,Zapiain Sagardoa Lote II ,46,Basque Country
Natural Basque Cider,🥇 Gold,Petritegi cider house,Petritegi Sagardoa ,46,Basque Country
Natural Basque Cider,🥇 Gold,Zelaia cider house,Zelaia Lote I ,45,Basque Country
Natural Basque Cider,🥇 Gold,Isastegi cider house,Isastegi “Euskal Sagardoa” ,45,Basque Country
Natural Basque Cider,🥇 Gold,Zapiain cider house,Zapiain Sagardoa Lote III ,45,Basque Country
Natural Basque Cider,🥇 Gold,Alorrenea cider house,Alorrenea Euskal Sagardoa ,45,Basque Country
Natural Basque Cider,🥇 Gold,Alorrenea cider house,Alorrenea Gorenak Sagardoa ,45,Basque Country
Natural Basque Cider,🥈 Silver,Gurutzeta cider house,Gurutzeta Euskal Sagardoa ,44,Basque Country
Natural Basque Cider,🥈 Silver,Oiharte cider house,Euskal Sagardo Ekologikoa ,43,Basque Country
Natural Basque Cider,🥈 Silver,Isastegi cider house,Euskal Sagardo Premium ,43,Basque Country
Natural Basque Cider,🥈 Silver,Oiharte cider house,Gartziategi Jatorri Deitura ,42,Basque Country
Natural Basque Cider,🥈 Silver,Gartziategi cider house,Oiharte Euskal Sagardoa ,42,Basque Country
Natural Basque Cider,🥈 Silver,Zelaia cider house,Zelaia Sagardoa Lote II ,41,Basque Country
Natural Basque Cider,🥈 Silver,Gurutzeta cider house,Gurutzeta Gorenak ,40,Basque Country
Natural Basque Cider,🥈 Silver,Paul Vander - Egoitz Zapian,Deli madera ,40,United States
Natural Basque Cider,🥈 Silver,Izeta cider house,Izeta D.O. Euskal Sagardoa ,39,Basque Country
Natural Basque Cider,🥈 Silver,Araeta cider house,Sidra natural Araeta ,39,Basque Country
Natural Basque Cider,🥈 Silver,Begiristain cider house,Begiristain Euskal Sagardoa ,38,Basque Country
Natural Basque Cider,🥈 Silver,Zelaia cider house,Zelaia Gorenak ,38,Basque Country
Natural Basque Cider,🥈 Silver,Isastegi cider house,"Isastegi ""Gorenak"" ",38,Basque Country
Natural Basque Cider,🥉 Bronze,Aburuza cider house,Aburuza ,36,Basque Country
Natural Basque Cider,🥉 Bronze,Araeta cider house,Amalur ,35,Basque Country
Natural Basque Cider,🥉 Bronze,Gartziategi cider house,Gartziategi Gorenak sagardoa ,34,Basque Country
Natural Basque Cider,🥉 Bronze,Izeta cider house,Sidra Ecológica Izeta ,33,Basque Country
Natural Asturian Cider,🥇 Gold,Sidra Piñera,Sidra Piñera ,47,Spain
Natural Asturian Cider,🥇 Gold,Llagar Castañón SL,Sidra Val de Boides ,46,Spain
Natural Asturian Cider,🥇 Gold,Sidra Trabanco,Sidra Trabanco tradicional ,45,Spain
Natural Asturian Cider,🥈 Silver,Sidra Trabanco,Trabanco DOP seleccionada ,42,Spain
Natural Asturian Cider,🥈 Silver,Manuel Busto Amandi S.A.,Sidra Natural M. Busto ,41,Spain
Natural Asturian Cider,🥈 Silver,Sidra Riestra,Sidra natural Riestra ,39,Spain
Natural Asturian Cider,🥈 Silver,"Valle, Ballina y Fernandez S.A.",Pomarina natural tradicional ,39,Spain
Natural Asturian Cider,🥉 Bronze,Llagar Castañon SL,Sidra Castañon ,36,Spain
Natural Asturian Cider,🥉 Bronze,Angry Orchard,Edu ,36,United States
Natural Asturian Cider,🥉 Bronze,Sidra Riestra,Sidra natural Ribayu ,33,Spain
Natural Asturian Cider,🥉 Bronze,Sidra Piñera,Sidra Natural Piñera D.O.P. ,31,Spain
Traditional English Cider,🥇 Gold,Pilton Cider,Pilton Solstice ,45,United Kingdom
Traditional English Cider,🥈 Silver,Pilton Cider,Pilton Max Lux 2014 ,41,United Kingdom
Traditional English Cider,🥈 Silver,Pips Cider,Pips Medium Cider ,41,United Kingdom
Traditional English Cider,🥈 Silver,Martin's Cidery s.r.o.,Martin´s Farmhouse cider ,39,Slovakia
Traditional English Cider,🥉 Bronze,Thatchers Cider Company,Thatchers Vintage ,37,United Kingdom
Traditional English Cider,🥉 Bronze,Hawkes Cider Ltd,Big Wow! ,35,United Kingdom
Traditional English Cider,🥉 Bronze,Angry Orchard,Super Natural ,35,United States
Traditional English Cider,🥉 Bronze,Vander Mill Basque Colaboracion,Golden friendship ,34,United States
Traditional English Cider,🥉 Bronze,Lagar de Ribela SL,Maceiras vellas ,33,Spain
Traditional English Cider,🥉 Bronze,Angry Orchard,Bitter Steve ,31,United States
Traditional French Cider,🥇 Gold,Cidrerie Vergers de Kermau,AOP Cornouille ,46,France
Traditional French Cider,🥇 Gold,Cidrerie Menez Brug,AOP Cornouille ,45,France
Traditional French Cider,🥈 Silver,Cidrerie Melenig,AOP Cornouille ,40,France
Traditional French Cider,🥈 Silver,Angry Orchard,Extra Terriorestiral ,38,United States
Traditional French Cider,🥈 Silver,Pips Cider,Pips Sweet Cider ,38,United Kingdom
Traditional French Cider,🥉 Bronze,Pips Cider,Pips Dry Cider ,33,United Kingdom
Modern Cider,🥇 Gold,Ulvik Frukt & Cideri,Gravenstein ,47,Norway
Modern Cider,🥇 Gold,JB,B German Cider ,45,Germany
Modern Cider,🥇 Gold,Thatchers Cider Company,Thatches Katy ,45,United Kingdom
Modern Cider,🥈 Silver,Hawkes Cider Ltd,Soul Trader ,44,United Kingdom
Modern Cider,🥈 Silver,Llagar Castañon SL,Xiz Frizzante ,44,Spain
Modern Cider,🥈 Silver,"Manuel Busto Amandi, S.A.",Sidra Ecologica M. Busto ,43,Spain
Modern Cider,🥈 Silver,Aakre Gard,Edel ,43,Norway
