ID,Category,Medal,Entrant,Medalist,Entry,Entry,Points,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,Natural Cider,🥇 GOLD,ZAPIAIN SAT,Zapiain,Zapiain Euskal Sagardoa Premium 2022,Zapiain Euskal Sagardoa Premium 2022,91.6,Basque Country,1172,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa,43.2821854,-1.9422089
3,Natural Cider,🥇 GOLD,LLAGAR SIDRA CASTAÑON,Sidra Castañón,Val de Boides,Val de Boides,91.5,Spain,1473,https://sidracastanon.com/,https://www.facebook.com/sidracastanon/,https://www.instagram.com/sidracastanon/,https://maps.google.com/?cid=3082307260151948865,https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874,https://untappd.com/w/llagar-sidra-casta-n/81481,43.5144271,-5.5691788
4,Natural Cider,🥇 GOLD,SON OF MAN,Son of Man,Son of Man Beti,Son of Man Beti,91.1,United States,972,https://www.sonofman.co/,,https://www.instagram.com/sonofman.co/,,,https://untappd.com/w/son-of-man-sagardo/428029,45.68249,-121.8628333
5,Natural Cider,🥇 GOLD,OIHARTE SAGARDOTEGIA,Oiharte,Markesaren Lurra,Markesaren Lurra,90.5,Basque Country,1639,https://oiharte.com/,https://www.facebook.com/CasaRuralSidreriaOiharte,https://www.instagram.com/oiharte/,https://maps.google.com/?cid=7283611563965022999,https://www.tripadvisor.com/Restaurant_Review-g1235389-d2470675,https://untappd.com/w/oiharte-sagardotegia/351344,43.0180369,-2.2696672
6,Natural Cider,🥇 GOLD,LLAGAR SIDRA CASTAÑON,Sidra Castañón,Castañon,Castañon,90.2,Spain,1473,https://sidracastanon.com/,https://www.facebook.com/sidracastanon/,https://www.instagram.com/sidracastanon/,https://maps.google.com/?cid=3082307260151948865,https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874,https://untappd.com/w/llagar-sidra-casta-n/81481,43.5144271,-5.5691788
7,Natural Cider,🥇 GOLD,ABURUZA SAGARDOTEGIA,Aburuza,Aburuza Euskal Sagardoa,Aburuza Euskal Sagardoa,90,Basque Country,1614,https://www.sidrasaburuza.net/,https://www.facebook.com/sidrasaburuza/,https://www.instagram.com/aburuza_sagardotegia/,https://maps.google.com/?cid=11790998531102067428,https://www.tripadvisor.com/Restaurant_Review-g2578771-d7715076,https://untappd.com/w/sidreria-aburuza/194775,43.2049874,-2.053311
8,Natural Cider,🥇 GOLD,ZAPIAIN SAT,Zapiain,Joanes de Zapiain 2022,Joanes de Zapiain 2022,89.3,Basque Country,1172,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa,43.2821854,-1.9422089
9,Natural Cider,🥈 SILVER,SIDRA TRABANCO,Sidra Trabanco,Sidra Trabanco Selección,Sidra Trabanco Selección,86,Spain,1674,https://www.sidratrabanco.com/,https://www.facebook.com/sidratrabanco/,https://www.instagram.com/sidratrabanco/,https://maps.google.com/?cid=8706552013547802387,,https://untappd.com/brewery/6382,43.4704387,-5.6447197
10,Natural Cider,🥈 SILVER,LLAGAR SIDRA CABUEÑES,Sidra Cabueñes,Sidra Cabueñes DOP,Sidra Cabueñes DOP,86,Spain,1485,,https://www.facebook.com/sidracabuenies/,https://www.instagram.com/sidracabuenies/,https://maps.google.com/?cid=5234296910772767246,,https://untappd.com/w/sidra-cabuenes/78883,43.5148589,-5.61364
11,Natural Cider,🥈 SILVER,ALORRENEA SAGARDOTEGIA,Alorrenea,Alorrenea D.O.,Alorrenea D.O.,86,Basque Country,1167,https://alorrenea.com/,https://www.facebook.com/Alorrenea/,https://www.instagram.com/alorrenea/,https://maps.google.com/?cid=7369065934381285009,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3809108,https://untappd.com/w/sidreria-alorrena/64396,43.2873917,-1.9463625
