WID,Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
1314,Sidra El Gaitero,Asturias,4,12,17,33,2017,2023,4,Active,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532,0
87,Angry Orchard,United States,6,9,10,25,2017,2023,4,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,0
1674,Sidra Trabanco,Asturias,4,8,13,25,2017,2023,4,Active,https://www.sidratrabanco.com/,https://www.facebook.com/sidratrabanco/,https://www.instagram.com/sidratrabanco/,https://maps.google.com/?cid=8706552013547802387,,,https://untappd.com/brewery/6382,43.4704387,-5.6447197,0
1343,Weidmann & Groh,Germany,11,5,3,19,2017,2023,4,Active,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,,https://untappd.com/w/weidmann-groh/73065,50.3305754,8.7244989,0
1172,Zapiain,Basque Country,11,2,3,16,2017,2023,4,Active,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa,43.2821854,-1.9422089,0
2029,Floribunda,Italy,11,4,0,15,2017,2023,4,Active,https://www.floribunda.it/,,https://www.instagram.com/floribundacider/,https://maps.google.com/?cid=14548393953505771229,,,https://untappd.com/w/floribunda/333615,46.2431813,11.2153676,0
1473,Sidra Castañón,Asturias,7,5,2,14,2017,2023,4,Active,https://sidracastanon.com/,https://www.facebook.com/sidracastanon/,https://www.instagram.com/sidracastanon/,https://maps.google.com/?cid=3082307260151948865,,https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874,https://untappd.com/w/llagar-sidra-casta-n/81481,43.5144271,-5.5691788,0
1921,Sidra Somarroza,Cantabria,4,4,5,13,2019,2023,3,Active,https://sidrasomarroza.es/,https://www.facebook.com/sidrasomarroza,https://www.instagram.com/sidrasomarroza/,https://maps.google.com/?cid=7109045394192195825,,,https://untappd.com/w/somarroza/147830,43.3529633,-3.9604843,0
1519,Sidra Panizales,Asturias,7,1,4,12,2017,2021,3,Active,https://sidrapanizales.com/,https://www.facebook.com/panizales.sidra,https://www.instagram.com/sidrapanizales/,https://maps.google.com/?cid=16258480851124885832,,https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234,https://untappd.com/w/llagar-panizales/152401,43.2393192,-5.7888756,0
1610,Sidra Mayador,Asturias,2,6,4,12,2017,2023,3,Active,http://www.mayador.com/,https://www.facebook.com/sidramayadorcider,https://www.instagram.com/sidramayador/,https://maps.google.com/?cid=6886369759358960464,,,https://untappd.com/SidraMayador,43.514985,-5.330323,0
2544,Åkre Gård,Norway,6,3,1,10,2019,2021,2,Active,https://aakre-gard.no/,https://www.facebook.com/EdelSider/,https://www.instagram.com/edelsider,https://maps.google.com/?cid=10200668651455703399,,https://www.tripadvisor.com/Attraction_Review-g21171125-d21170815,https://untappd.com/Aakre_Gard,60.2613409,6.5735653,0
