COUNTA of Medal,col1,Medal,col3,col4,col5
Producer,Year,🥇 Gold,🥈 Silver,🥉 Bronze,Grand Total
---,2021,,1,,1
Aburuza,2017,,1,,1
,2019,,,1,1
,2023,1,,,1
Åkre Gård,2019,2,1,1,4
,2021,4,2,,6
Alai Cider,2023,,1,,1
Alde Sider,2021,1,,2,3
Alorrenea,2017,,,1,1
,2019,2,,,2
,2021,,,1,1
,2023,,3,,3
Altzueta,2017,,,2,2
Angry Orchard,2017,2,1,2,5
,2019,1,4,4,9
,2021,3,4,3,10
,2023,,,1,1
ANXO Cider,2023,1,1,2,4
Apfelweinhandlung JB,2019,1,2,,3
Apfelweinkontor,2023,3,1,1,5
Araeta,2017,,2,,2
,2019,,1,2,3
Araújo Monte,2017,1,,1,2
Astarbe,2017,,2,,2
,2019,,,1,1
,2021,,,2,2
Au Pressoir du Bélon,2021,,1,1,2
Baldorba Naturel & Sagarraleku,2021,,,1,1
,2023,1,,3,4
Bear Cider,2017,1,,1,2
Begiristain Sagardotegia,2017,,1,1,2
,2019,,1,,1
Bembel With Care,2017,1,2,2,5
Bereziartua,2017,,,1,1
Berryland,2021,,3,2,5
Bizio,2023,,2,,2
Boneca de Canudo,2023,,,1,1
Brännland Cider,2017,1,,1,2
Buschenschank Lippitz,2021,,,1,1
Calonge,2023,,,1,1
Campple Cider,2021,,1,,1
Castelo Branco Cider,2021,,1,,1
Cervezas Yria,2021,1,,,1
Cider Bohemia,2023,,,1,1
Cider Sekt,2021,,2,,2
,2023,,1,2,3
Cidérka,2021,2,,,2
,2023,,,1,1
Ciderzale,2021,,1,,1
Cidre Mauret,2019,,2,1,3
Cidre Sorre,2023,1,2,3,6
Cidrerie Berri,2017,,,2,2
,2019,,1,,1
,2021,1,2,,3
,2023,,1,,1
Cidrerie de la Vallée de la Seiche,2019,,1,2,3
Cidrerie de Menez-Brug,2017,,,1,1
,2019,1,,,1
Cidrerie de Rozavern,2021,,1,1,2
Cidrerie du Pays d'Auray,2023,,1,,1
Cidrerie Melenig,2019,,1,,1
Cidres Nicol,2017,,2,1,3
Cotswold Cider Company,2017,,3,,3
Cydr Jabłkowy,2017,,2,1,3
,2019,1,,,1
Cydr Tradycyjny z Trzebnicy,2023,1,,,1
Cydrownia Zywer,2023,,,3,3
Daylesford Cider Company,2017,,,2,2
Distillerie du Gorvello,2017,,4,1,5
Domaine Bordatto,2017,1,1,3,5
Domaine de la Mare,2021,2,1,,3
Domaine Lesuffleur,2017,1,1,,2
Eden Ciders,2021,3,1,2,6
El Nocéu,2017,,1,,1
Elegast Cidery,2021,,1,5,6
,2023,,1,2,3
ERIS Brewery & Cider House,2021,,2,1,3
Exner Cider,2019,,,1,1
,2021,,1,,1
,2023,,1,,1
Finca La Rionda,2017,1,,,1
Floribunda,2017,3,1,,4
,2019,2,,,2
,2021,3,1,,4
,2023,3,2,,5
Frank's Cider,2017,,,2,2
Gartziategi,2017,,,2,2
,2019,,1,1,2
Gaztañaga,2017,,,1,1
Götti Cider,2017,,1,,1
Gurutzeta,2017,,,1,1
,2019,,2,,2
,2021,,2,,2
Gutshof Kraatz,2021,1,1,1,3
Harcourt Perry & Cider Makers,2017,,1,1,2
Hardangergutane,2019,,1,1,2
,2023,1,,2,3
Haselberger,2023,,1,3,4
Hawkes,2019,,1,4,5
Hemly Cider,2021,1,1,1,3
Henry of Harcourt,2017,,,3,3
Hera Cider,2021,1,,2,3
Het Hamerstuk,2023,,4,,4
Iessel Cider,2019,,,1,1
Isastegi,2017,,1,1,2
,2019,1,2,,3
,2021,,2,,2
,2023,,,1,1
Izeta,2017,,1,,1
,2019,,1,1,2
,2021,,,1,1
Jaanihanso,2021,,2,3,5
Kastler Cider,2019,,1,,1
Kelterei Heil,2017,,1,1,2
,2019,,4,2,6
Killahora Orchards,2023,1,2,1,4
Kuartango,2019,,,1,1
,2021,,,1,1
,2023,1,1,1,3
Kühbrein Most,2023,,3,1,4
Kupela,2021,,,2,2
L'Aubinière,2023,3,2,2,7
Lepola Drinks,2023,1,2,,3
Les Vergers de Kermao,2017,,1,,1
,2019,1,,,1
,2021,,1,,1
Lieglhof Familie Zarl,2023,,1,1,2
Llagares Valverán,2019,,1,,1
,2023,1,,,1
Lofthus Ekspedisjon,2023,,,1,1
Manoir de Grandouet,2017,,,2,2
Manufaktura Cydru,2017,,,1,1
Martin's Cidery,2019,,3,,3
Matriarca,2023,,,1,1
Mizpiradi,2023,,,1,1
Mooma,2017,,1,2,3
,2023,1,2,1,4
Mostbauernhof Distelberger,2023,1,3,2,6
Mostheuriger Hansbauer,2023,,1,2,3
Mostheuriger Reikersdorfer,2023,,,1,1
Mount Diablo Cider Company,2021,1,,,1
Mr. Plūme,2023,,1,,1
Nailsea Cider,2023,,,1,1
Nua Cider,2023,1,,1,2
Oiharte,2017,,,2,2
,2019,,2,1,3
,2021,2,1,1,4
,2023,1,,,1
Oliver's Cider and Perry,2021,2,1,,3
OmCider,2023,,1,,1
Ottercider,2023,,1,,1
Paladeus,2019,,1,,1
,2021,,,1,1
Petritegi,2017,,,1,1
,2019,1,,,1
,2023,,1,1,2
Pilton Cider,2019,1,2,,3
Pips Cider,2017,,,2,2
,2019,,2,1,3
Pom Sidro Creativo,2021,,1,,1
Pomologik,2023,4,2,3,9
R. Zabala,2017,,1,,1
Ramborn Cider Co.,2019,,4,,4
Red Brick Road Cider,2017,,1,,1
Restauracja Tabun,2023,2,,1,3
Ross on Wye Cider & Perry,2021,,2,1,3
Rufino,2017,,,1,1
Sabiles Sidrs,2021,1,1,1,3
Sagar Iraultza,2021,1,,,1
Sarasola Sagardotegia,2017,1,,,1
Seppelbauer,2023,6,2,2,10
Sidra Alfa,2021,,1,,1
,2023,,1,1,2
Sidra Cabueñes,2017,,1,,1
,2023,,1,,1
Sidra Castañón,2017,,1,1,2
,2019,1,1,1,3
,2021,2,2,,4
,2023,4,1,,5
Sidra Cortina,2017,,1,,1
Sidra El Gaitero,2017,1,3,3,7
,2019,,4,5,9
,2021,,3,7,10
,2023,3,2,2,7
Sidra Fanjul,2017,,1,1,2
Sidra Fran,2021,1,1,,2
,2023,1,1,,2
Sidra La Borda de Basajaun,2019,,1,,1
,2021,,2,1,3
,2023,,1,1,2
Sidra La Naveta,2017,,,1,1
,2019,,,1,1
,2023,,,2,2
Sidra M. Norniella,2017,,1,,1
Sidra Mayador,2017,,1,,1
,2019,,3,1,4
,2023,2,2,3,7
Sidra Menéndez,2017,,2,,2
,2021,1,1,,2
Sidra Niebla,2023,1,1,1,3
Sidra Panizales,2017,2,,3,5
,2019,1,1,1,3
,2021,4,,,4
Sidra Piñera,2017,,2,,2
,2019,1,,1,2
,2021,,,2,2
Sidra Posma,2021,,1,1,2
Sidra Ribela,2017,1,,1,2
,2019,,,2,2
Sidra Riestra,2017,,1,1,2
,2019,,1,3,4
,2021,,1,,1
,2023,1,1,1,3
Sidra Somarroza,2019,,1,2,3
,2021,2,3,,5
,2023,2,,3,5
Sidra Trabanco,2017,,1,3,4
,2019,1,1,2,4
,2021,2,3,4,9
,2023,1,3,4,8
Sidra Viuda de Angelón,2017,,2,2,4
,2023,2,1,,3
Sidrería Irigoien Herrero,2017,,,1,1
Sidrería TenCai,2023,1,1,,2
Son of Man,2021,,1,,1
,2023,1,1,1,3
St. Anton,2017,,,1,1
Steve'z,2019,1,,,1
Thatchers Cider,2017,1,3,1,5
,2019,1,,1,2
The Drunken Pharmacist,2023,,,1,1
Trois-Lacs Ciders,2021,,,1,1
Ulvik Frukt & Cideri,2019,2,1,,3
,2021,3,,1,4
,2023,,2,1,3
Urban Farm Fermentory,2021,1,1,,2
Valduro,2017,1,1,,2
Vander Mill,2019,2,3,1,6
,2023,1,,2,3
Wata Lebanese Cider,2021,1,1,1,3
Weidmann & Groh,2017,4,1,1,6
,2019,2,1,,3
,2021,4,1,1,6
,2023,1,2,1,4
Willie Smith's,2017,,1,,1
Zapiain,2017,1,1,2,4
,2019,4,,,4
,2021,3,1,,4
,2023,3,,1,4
Zelaia,2017,,2,,2
,2019,1,2,,3
