Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Asturias,34,57,56,147
Basque Country,26,47,50,123
United States,17,20,20,57
France,9,21,15,45
Germany,17,16,10,43
Austria,7,11,13,31
Norway,13,8,9,30
England,5,14,11,30
Italy,11,6,1,18
Netherlands,2,6,9,17
Cantabria,4,4,5,13
Poland,4,2,6,12
Sweden,5,2,4,11
Australia,0,3,8,11
Portugal,2,3,5,10
Czechia,2,3,4,9
Galicia,2,0,5,7
Catalonia,1,3,3,7
Canary Islands,1,2,2,5
Ukraine,0,3,2,5
Estonia,0,2,3,5
Ireland,1,2,1,4
Latvia,1,2,1,4
Luxembourg,0,4,0,4
Slovakia,0,4,0,4
Chile,1,2,0,3
Finland,1,2,0,3
Lebanon,1,1,1,3
Switzerland,0,2,1,3
Madrid,1,0,0,1
Belgium,0,1,0,1
Russia,0,0,1,1
Uruguay,0,0,1,1
Total,168,253,247,668
