ID,Style,Award,Producer,Entry,Region
2,Dry Still Cider,🏆 Premium,Mr. Plūme,Sausais,Latvia
3,Dry Still Cider,🥇 Gold,Viuda de Angelón,1947,Asturias
4,Dry Still Cider,🥈 Silver,Szczepanówka,Cydr Szczepanówka 2018,Poland
5,Dry Still Cider,🥉 Bronze,Carral,Carral,Leon
6,Dry Still Cider,🥉 Bronze,Txopinondo,Sagardoa,Basque Country
7,Dry Still Cider,🥉 Bronze,Sadownika,Cydr Sadownika,Poland
8,Semi-Dry Still Cider,🏆 Premium,Llagar la Rionda,Valnera,Asturias
9,Semi-Dry Still Cider,🥇 Gold,Mr. Plūme,Pussausais 2018,Latvia
10,Sweet Still Cider,🏆 Premium,Mr. Plūme,Saudais,Latvia
11,Sweet Still Cider,🥈 Silver,Cider Bohemia,Honey Cyser,Czechia
12,Dry Sparkling Cider,🏆 Premium,Llagar Riestra,Guzmán Riestra Brut,Asturias
13,Dry Sparkling Cider,🥇 Gold,Posma,Posma,Canary Islands
14,Dry Sparkling Cider,🥇 Gold,Viuda de Angelón,Prau Monga,Asturias
15,Dry Sparkling Cider,🥈 Silver,Maley,Matterhorn,Italy
16,Dry Sparkling Cider,🥈 Silver,Cydr Chyliczki,Kronselka,Poland
17,Dry Sparkling Cider,🥉 Bronze,Paca y Tola,La Naveta Brut,Asturias
18,Dry Sparkling Cider,🥉 Bronze,Domaine de la Mare,Rendez Vous,France
19,Dry Sparkling Cider,🥉 Bronze,Maley,Jorasses Classicum,Italy
20,Semi-Dry Sparkling Cider,🏆 Premium,Tori Siidritalu,Demi Sec,Estonia
21,Semi-Dry Sparkling Cider,🥇 Gold,Cider Sekt,Cider Talk,Czechia
22,Semi-Dry Sparkling Cider,🥈 Silver,Llagar Riestra,Guzmán Riestra Semiseco,Asturias
23,Semi-Dry Sparkling Cider,🥉 Bronze,Domaine de la Mare,Le Généroux,France
24,Sweet Sparkling Cider,🏆 Premium,Maley,Saint Bernard,Italy
25,Sweet Sparkling Cider,🥇 Gold,Viuda de Angelón,Pomar,Asturias
26,Sweet Sparkling Cider,🥈 Silver,Podlaski,Cydr Podlaski,Poland
27,Dry Carbonated Cider,🏆 Premium,Txopinondo,Cidre Pétillant,Basque Country
28,Dry Carbonated Cider,🥇 Gold,Urban Farm Fermentory,Super Dry,United States
29,Dry Carbonated Cider,🥈 Silver,Rossbach Cider,Jablecny,Czechia
30,Semi-Dry Carbonated Cider,🏆 Premium,Cidre Mauret,Demi Sec Sparkling Cider,France
31,Semi-Dry Carbonated Cider,🥉 Bronze,Kolowratovi Sady,Sascha Kolowrat,Czechia
32,Ice Cider,🏆 Premium,Llagar Cortina,Sidra de Hielo Cortina,Asturias
33,Ice Cider,🥇 Gold,Llagar Panizales,Sidra de Hielo Panizales,Asturias
34,Ice Cider,🥇 Gold,Pumaradas de Sariego,Valverán 20 Manzanas,Asturias
35,Ice Cider,🥇 Gold,Tori Siidritalu,Ice Cider Cuvée,Estonia
36,Ice Cider,🥇 Gold,Cydr Tradycyjny z Trzebnicy,Cydr Lodowy,Poland
37,Ice Cider,🥈 Silver,Rossbach Cider,Ice Cider,Czechia
38,Ice Cider,🥈 Silver,Cydr Chyliczki,Lodowy Bedka,Poland
39,Fire Cider,🏆 Premium,Llagar Panizales,Caldea,Asturias
40,Fire Cider,🥇 Gold,Kuartango Sagardotegi,Susagardoa,Basque Country
41,Cider Liqueur,🏆 Premium,Maley,Lecristallier,Italy
42,Fruit Cider,🏆 Premium,Viuda de Angelón,Angelón Llimón,Asturias
43,Fruit Cider,🥈 Silver,Txopinondo,Kalipoko Pêche,Basque Country
44,Fruit Cider,🥉 Bronze,Txopinondo,Kalipoko Citron,Basque Country
45,Fruit Cider,🥉 Bronze,Urban Farm Fermentory,Blueberry Cidah,United States
46,Flavored Cider,🏆 Premium,Cidre Mauret,Elderflower,France
47,Flavored Cider,🥇 Gold,Cydr Chyliczki,Chmielony Sad,Poland
48,Flavored Cider,🥇 Gold,Cydr Tradycyjny z Trzebnicy,Trzebnic,Poland
49,Aperitif Cider,🏆 Premium,Llagar de Panizale,Viesk,Asturias
50,Aperitif Cider,🥇 Gold,Cidre Mauret,Mauret'o,France
51,Rosé Cider,🏆 Premium,Viuda de Angelón,Pomar Rosée,Asturias
52,Rosé Cider,🥇 Gold,Paca y Tola,La Naveta Roxa,Asturias
53,Most Original Cider,🏆 Premium,Urban Farm Fermentory,Seaweed Cidah,United States
54,Perry,🏆 Premium,Cydr Chyliczki,Perry 2018,Poland
55,Cider Spirits,🏆 Premium,Maley,Whymper 1865,Italy
56,Cider Spirits,🥇 Gold,Txopinondo,Berrogei,Basque Country
