ID,Style,Award,Entry,Producer,Region
2,Dry Still Cider,🏆 Premium,Mr. Plūme,Sausais,Letonia
3,Dry Still Cider,🥇 Gold,Cydr Podlaski,Honey Podlaski Jabłkowy,Polonia
4,Dry Still Cider,🥈 Silver,Alecsandra Buca,Alecsandra Buca,Polonia
5,Dry Still Cider,🥈 Silver,Ciderka,Spacek natural,Chequia
6,Dry Still Cider,🥈 Silver,Colemans,Dry Cider Reserve,Inglaterra
7,Dry Still Cider,🥈 Silver,Cydr Jablkowy,Jablkowy,Polonia
8,Dry Still Cider,🥈 Silver,Cydr Podlaski,Clasica,Polonia
9,Dry Still Cider,🥈 Silver,Cydr Sadownika,Cydr Sadownika,Polonia
10,Dry Still Cider,🥈 Silver,Cydr Smykan,Jasköl,Polonia
11,Dry Still Cider,🥈 Silver,El llagar de Valleseco,Sidra natural,Canaries
12,Dry Still Cider,🥈 Silver,Finnbarra,Dry,Irlanda
13,Dry Still Cider,🥈 Silver,Good Cider,Dry Apple,País Vascu
14,Dry Still Cider,🥈 Silver,Panizales,Ati – sidra de mesa,Asturies
15,Dry Still Cider,🥈 Silver,Ramborn,Erbachoffer,Luxemburgo
16,Dry Still Cider,🥈 Silver,Ramborn,Farmhouse,Luxemburgo
17,Dry Still Cider,🥈 Silver,Rossbach Cider,Rossbach,Chequia
18,Dry Still Cider,🥉 Bronze,Carral,Sidra natural artesana,León
19,Dry Still Cider,🥉 Bronze,Castelo Branco Cider,Uki h CA,Portugal
20,Dry Still Cider,🥉 Bronze,Colemans,Dry Cider,Inglaterra
21,Dry Still Cider,🥉 Bronze,Cydr Opoczka,Przetom,Polonia
22,Dry Still Cider,🥉 Bronze,Cydr Smykan,Stary sad,Polonia
23,Dry Still Cider,🥉 Bronze,Cydr Smykan,Grochowka,Polonia
24,Dry Still Cider,🥉 Bronze,Cydr Tradycyjny z Trzebnicy,Cydr tradycjny,Polonia
25,Dry Still Cider,🥉 Bronze,San Juan del Obispo,Tareco '20,Asturies
26,Dry Still Cider,🥉 Bronze,Tree rii,Secco,Italia
27,Dry Still Cider,🥉 Bronze,Txopinondo,Sagarnoa,País Vascu
28,Dry Still Cider,🥉 Bronze,Viuda de Angelón,1947,Asturies
29,Semi-Dry Still Cider,🏆 Premium,Gallinal Drinks,Exner,Asturies
30,Semi-Dry Still Cider,🥇 Gold,Mr.Plūme,Pussausais,Letonia
31,Semi-Dry Still Cider,🥈 Silver,Cider Bohemia,Old Cider,Chequia
32,Semi-Dry Still Cider,🥈 Silver,Colemans,Medium cider,Inglaterra
33,Semi-Dry Still Cider,🥈 Silver,Finnbarra,Medium dry,Irlanda
34,Sweet Still Cider,🏆 Premium,Panizales,Sía – sidra de postre,Asturies
35,Sweet Still Cider,🥉 Bronze,Mr.Plūme,Saldais,Letonia
36,Dry Sparkling Cider,🏆 Premium,Melagodo,Extra Dry,Italia
37,Dry Sparkling Cider,🥇 Gold,Oiharte,Ama – Sagarto nat esp,País Vascu
38,Dry Sparkling Cider,🥇 Gold,Riestra,Guzmán Riestra Brut,Asturies
39,Dry Sparkling Cider,🥇 Gold,Kuura,Cuuvee 2016 brut,Finlancia
40,Dry Sparkling Cider,🥈 Silver,Mr.Plūme,Drirkstosais,Letonia
41,Dry Sparkling Cider,🥈 Silver,Bland's Cider,Blands Templars Choice  dry,Francia
42,Dry Sparkling Cider,🥈 Silver,Castelo Branco Cider,,Portugal
43,Dry Sparkling Cider,🥈 Silver,Provoco,Cidertalk by Provoco seca,Chequia
44,Dry Sparkling Cider,🥈 Silver,Cidre99,República Checa,Chequia
45,Dry Sparkling Cider,🥈 Silver,Cydr Chyliczki,Premium 2018,Polonia
46,Dry Sparkling Cider,🥈 Silver,Cydr Chyliczki,Kronselka,Polonia
