ID,Category,Award,Medalist,Entry,Region,WID,Region/Country,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,Dry Cider,🏆 PREMIUM,Cydr Dwaj Bracia,Antonowka,Poland,3006,Poland,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234,52.2296756,21.0122287
3,Dry Cider,🥇 GOLD,Viuda de Angelón,1947 Rosée,Asturies,1675,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823,43.367684,-5.523426
4,Dry Cider,🥇 GOLD,Pfeiffer's,Pfeiffer's Cider Estil,Poland,2719,Poland,https://pfeiffers.pl/,https://www.facebook.com/pfeifferscider,https://www.instagram.com/pfeiffers_cider,https://maps.google.com/?cid=1938111950265948010,,https://untappd.com/w/pfeiffer-s-cider/541464,52.2971318,17.1339709
5,Dry Cider,🥈 SILVER,Mistérios da Quinta Unipessoal,Arrebita CM,Portugal,2603,Madeira,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615,32.75286,-17.2045712
6,Dry Cider,🥈 SILVER,Olletako Sagardoak,Sabaiza Premium,Navarra,2742,Navarre,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919,42.5849196,-1.5400788
7,Dry Cider,🥈 SILVER,Carral,Sidra Natural,León,3085,León,https://www.sidracarral.com/,https://www.facebook.com/sidranaturalcarral/,https://www.instagram.com/sidracarral/,https://maps.google.com/?cid=2695880588601500201,,https://untappd.com/w/sidra-natural-carral/296674,42.691712,-5.4254985
8,Dry Cider,🥈 SILVER,Mr. Plume,Dry Plume,Latvia,2073,Latvia,https://www.mrplume.lv/,https://www.facebook.com/mrplumesidrs,https://www.instagram.com/mrplume_sidrs/,https://maps.google.com/?cid=9319841841199759114,,https://untappd.com/w/mr-plume/332485,56.69531,24.9870439
9,Dry Cider,🥈 SILVER,Romano Pereira,Romaria 21,Madeira,3174,Madeira,,,,,,https://untappd.com/w/herdade-do-pereira/538761,32.6704947,-16.9150042
10,Dry Cider,🥈 SILVER,Posma,Posma ecológica,Canary Island,3081,Canary Islands,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334,28.4740184,-16.4337954
11,Dry Cider,🥈 SILVER,Olletako Sagardoak,Naizhaga Premium,Navarra,2742,Navarre,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919,42.5849196,-1.5400788
