ID,Category,Medalist,Product,Award,WID,Region/Country,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,Dry Cider,Fukiware Cidrerie,Numata Apples Dry Ex-Brut,🏆 Premium,2468,,Japan,,,,,,,,
3,Dry Cider,Castro & Magan SL,La Mirla Sidrera,🥇 Gold,3712,,Canary Islands,,,,,,,,
4,Dry Cider,Abuls,Sidra Natural,🥈 Silver,2361,,Latvia,,,,,,,,
5,Dry Cider,Baldorba Naturel,Nahizhaga,🥈 Silver,2742,,Basque Country,,,,,,,,
6,Dry Cider,Baldorba Naturel,Orbaibar,🥈 Silver,2742,,Basque Country,,,,,,,,
7,Dry Cider,Básico e Coisas,Sidra do Massa,🥈 Silver,3084,,Madeira,,,,,,,,
8,Dry Cider,Borys Bednarek,Cydr Starków,🥈 Silver,3710,,Poland,,,,,,,,
9,Dry Cider,Cydrownia Zywer,Reinette 2022,🥈 Silver,2484,,Poland,,,,,,,,
10,Dry Cider,Cydrownia Zywer,Panskie 2023,🥈 Silver,2484,,Poland,,,,,,,,
11,Dry Cider,Egiazki,Sagarnoa,🥈 Silver,3708,,Basque Country,,,,,,,,
12,Dry Cider,Guzmán Riestra,Guzmán cider,🥈 Silver,1673,,Asturias,,,,,,,,
13,Dry Cider,Misterios da Quinta,aRRebITa C4/2021/1,🥈 Silver,2603,,Madeira,,,,,,,,
14,Dry Cider,Misterios da Quinta,aRRebITa C3/2021,🥈 Silver,2603,,Madeira,,,,,,,,
15,Dry Cider,Tuscany,Sidra extra,🥈 Silver,3106,,Canary Islands,,,,,,,,
16,Dry Cider,Baldorba Naturel,Sabaiza,🥉 Bronze,2742,,Basque Country,,,,,,,,
17,Dry Cider,Carral,Sidra Natural Artesana,🥉 Bronze,3085,,León,,,,,,,,
18,Dry Cider,Casa do Caramanchao,Boneca de Canudo 2022,🥉 Bronze,2757,,Madeira,,,,,,,,
19,Dry Cider,Casa do Caramanchao,Boneca de Canudo 2023,🥉 Bronze,2757,,Madeira,,,,,,,,
20,Dry Cider,El Lagar de Valleseco,Sidra Natural,🥉 Bronze,3083,,Canary Islands,,,,,,,,
21,Dry Cider,Misterios da Quinta,aRRebITa C5/2021,🥉 Bronze,2603,,Madeira,,,,,,,,
22,Dry Cider,Mooma,Sidra envellida,🥉 Bronze,2752,,Catalonia,,,,,,,,
23,Dry Cider,Pfeiffer’s,"Etiqueta blanca, spokojny",🥉 Bronze,2719,,Poland,,,,,,,,
24,Dry Cider,Talava,Apple Cider Dry,🥉 Bronze,2142,,Latvia,,,,,,,,
25,Dry Cider,The Drunken Pharmacist,Sidra Natural Bourbon Barrel Aged,🥉 Bronze,2492,,Madeira,,,,,,,,
26,Nonalcoholic Cider,Stonewell,Stonewell Non-Alcoholic 0%,🏆 Premium,1265,,Ireland,,,,,,,,
27,Semi Dry Cider,Mooma,Sidra de Poma,🏆 Premium,2752,,Catalonia,,,,,,,,
28,Semi Dry Cider,Petritegui,1526 Aparduna,🥇 Gold,1171,,Basque Country,,,,,,,,
29,Semi Dry Cider,El Lagar de Valleseco,Método tradicional Semiseco,🥈 Silver,3083,,Canary Islands,,,,,,,,
30,Semi Dry Cider,Gallinal Drinks,Exner,🥈 Silver,2755,,Asturias,,,,,,,,
31,Semi Dry Cider,Mr. Plume,Semi dry,🥈 Silver,2073,,Latvia,,,,,,,,
32,Semi Dry Cider,Stonewell,Nohoval Apple Oak Wine,🥈 Silver,1265,,Ireland,,,,,,,,
33,Semi Dry Cider,Sociedade Agricola Alfa,Sidra maça,🥉 Bronze,2756,,Portugal,,,,,,,,
34,Sweet Cider,Fukiware Cidrerie,Numata Apples Sweet,🏆 Premium,2468,,Japan,,,,,,,,
35,Sweet Cider,Mr. Plume,Sweet,🥉 Bronze,2073,,Latvia,,,,,,,,
36,Brut Sparkling Cider,Sidra Fran,Ramos del Valle Brut,🏆 Premium,1479,,Asturias,,,,,,,,
37,Brut Sparkling Cider,Bodegas FRP,Niebla brut roja,🥇 Gold,2748,,Canary Islands,,,,,,,,
38,Brut Sparkling Cider,Cydrownia Zywer,Brus 2023,🥇 Gold,2484,,Poland,,,,,,,,
39,Brut Sparkling Cider,Abuls,Kerr,🥇 Gold,2361,,Latvia,,,,,,,,
