ID,Year,Category,Medalist,Product,Award,WID,Status,Region,Country,Region/Country,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2,2013,New Expression Cider,Sidra El Gobernador,Españar,🥇 Gold,1476,Active,Asturias,Spain,Asturias,"<a href=""https://martinezsopenahermanos.com/"">Website</a>",,"<a href=""https://www.instagram.com/sidraelgobernador/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16311632506815681967"">Google</a>",,"<a href=""https://untappd.com/w/sidra-el-gobernador/55772"">Untappd</a>"
3,2013,Semi-Sweet Sparkling Cider,Sidra El Gaitero,El Gaitero Extra,🥇 Gold,1314,Active,Asturias,Spain,Asturias,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
4,2013,Brut Cider,Sidra Viuda de Angelón,Brut,🥇 Gold,1675,Active,Asturias,Spain,Asturias,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
5,2013,International Cider,Landsteiner Mühle,2012 Roter Trieter mit Boskoop,🥇 Gold,1340,Inactive,Hesse,Germany,Germany,"<a href=""http://www.landsteiner-muehle.de/"">Website</a>",,,,,
6,2013,Most Original Cider,Kystin,Cidre Cuvée Chataigne,🥇 Gold,1618,Active,Brittany,France,France,"<a href=""https://www.kystin.net/"">Website</a>","<a href=""https://www.facebook.com/kystincider"">Facebook</a>",,,,"<a href=""https://untappd.com/brewery/90870"">Untappd</a>"
7,2013,Perry,Sidra Viuda de Angelón,Sidra de Pera,🥇 Gold,1675,Active,Asturias,Spain,Asturias,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
8,2013,Ice Cider,Sidra Panizales,Sidra de Hielo Panizales,🥇 Gold,1519,Active,Asturias,Spain,Asturias,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
9,2013,Cider Spirits,Casería San Juan del Obispo,Salvador del Obispo Aguardiente Envejecido en Roble,🥇 Gold,1608,Active,Asturias,Spain,Asturias,"<a href=""https://www.caseriasanjuandelobispo.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=13956526212503892929"">Google</a>",,"<a href=""https://untappd.com/w/caseria-san-juan-del-obispo/285141"">Untappd</a>"
10,2014,International Cider,Kystin,Kalysïe,🥇 Gold,1618,Active,Brittany,France,France,"<a href=""https://www.kystin.net/"">Website</a>","<a href=""https://www.facebook.com/kystincider"">Facebook</a>",,,,"<a href=""https://untappd.com/brewery/90870"">Untappd</a>"
11,2014,New Expression Cider,Sidra El Gaitero,Pomarina,🥇 Gold,1314,Active,Asturias,Spain,Asturias,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
