Medalist,Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Jörg Geiger,Germany,4,3,3,---,10,"<a href=""https://www.manufaktur-joerg-geiger.de/"">Website</a>","<a href=""https://www.facebook.com/manufakturjoerggeiger/"">Facebook</a>","<a href=""https://www.instagram.com/manufakturjoerggeiger/"">Instagram</a>","<a href=""https://maps.google.com/?cid=908271853334307402"">Google</a>",,"<a href=""https://untappd.com/w/manufaktur-jorg-geiger/270857"">Untappd</a>"
Stonewell Cider,Ireland,1,2,3,---,6,"<a href=""https://www.stonewellcider.com/"">Website</a>","<a href=""https://www.facebook.com/stonewellcider"">Facebook</a>","<a href=""https://www.instagram.com/stonewellcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6638378960827420170"">Google</a>",,"<a href=""https://untappd.com/Nohoval_Drinks_Company_Ltd"">Untappd</a>"
Mooma,Catalonia,1,1,---,3,5,"<a href=""https://mooma.cat/"">Website</a>","<a href=""https://www.facebook.com/sidreriamooma/"">Facebook</a>","<a href=""https://www.instagram.com/mooma/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11350926811080988766"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642"">TripAdvisor</a>","<a href=""https://untappd.com/w/mooma/254950"">Untappd</a>"
Cydrownia Zywer,Poland,---,1,4,---,5,"<a href=""https://zywer.pl/"">Website</a>","<a href=""https://www.facebook.com/CydrowniaZywer"">Facebook</a>","<a href=""https://www.instagram.com/cydrowniazywer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10041242298570436703"">Google</a>",,"<a href=""https://untappd.com/cydrowniazywer"">Untappd</a>"
Carlow Brewing Company,Ireland,---,---,5,---,5,"<a href=""https://www.carlowbrewing.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=15929028342107779755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g551478-d4227166"">TripAdvisor</a>","<a href=""https://untappd.com/CarlowBrewingCompany"">Untappd</a>"
Mistérios da Quinta,Portugal,---,---,2,3,5,,,"<a href=""https://www.instagram.com/sidrariaprazeres/"">Instagram</a>",,,"<a href=""https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615"">Untappd</a>"
Petritegi,Basque Country,1,2,1,---,4,"<a href=""https://www.petritegi.com/"">Website</a>","<a href=""https://www.facebook.com/Petritegi/"">Facebook</a>","<a href=""https://www.instagram.com/petritegi"">Instagram</a>","<a href=""https://maps.google.com/?cid=16425101977693923721"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/51639"">Untappd</a>"
Kuartango,Basque Country,1,1,2,---,4,"<a href=""https://kuartangosagardotegia.com/"">Website</a>","<a href=""https://www.facebook.com/SidreKuartango/"">Facebook</a>","<a href=""https://www.instagram.com/sidrekuartango/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6181081338579081204"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g25546823-d25546810"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-kuartango/438568"">Untappd</a>"
Sidra Riestra,Asturias,1,---,3,---,4,"<a href=""http://www.sidrariestra.com/"">Website</a>","<a href=""https://www.facebook.com/SidraRiestra"">Facebook</a>","<a href=""https://www.instagram.com/sidrariestra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2253085342105400787"">Google</a>",,"<a href=""https://untappd.com/w/riestra/70601"">Untappd</a>"
Abuls,Latvia,---,1,3,---,4,"<a href=""https://www.abuls.lv/"">Website</a>","<a href=""https://www.facebook.com/sidrsAbuls/"">Facebook</a>","<a href=""https://www.instagram.com/abuls_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12371654123090416644"">Google</a>",,"<a href=""https://untappd.com/Abuls"">Untappd</a>"
Jaanihanso,Estonia,---,1,3,---,4,"<a href=""http://www.jaanihanso.ee/"">Website</a>","<a href=""https://www.facebook.com/Jaanihanso"">Facebook</a>","<a href=""https://www.instagram.com/jaanihanso/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7606641832512391290"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g274956-d12851482"">TripAdvisor</a>","<a href=""https://untappd.com/Jaanihanso"">Untappd</a>"
Baldorba Naturel & Sagarraleku,Basque Country,---,---,3,1,4,"<a href=""https://www.sidrasbaldorbanaturel.com/"">Website</a>","<a href=""https://www.facebook.com/sagarraleku/"">Facebook</a>","<a href=""https://www.instagram.com/sidrasbaldorbanaturel/"">Instagram</a>",,,"<a href=""https://untappd.com/w/baldorba-sagardotegia/336919"">Untappd</a>"
Markenhof,Germany,---,---,3,1,4,"<a href=""https://markenhof.info/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100079413759867"">Facebook</a>","<a href=""https://www.instagram.com/markenhof_cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2506504366996630424"">Google</a>",,
Mr. Plūme,Latvia,---,---,3,1,4,"<a href=""https://www.mrplume.lv/"">Website</a>","<a href=""https://www.facebook.com/mrplumesidrs"">Facebook</a>","<a href=""https://www.instagram.com/mrplume_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9319841841199759114"">Google</a>",,"<a href=""https://untappd.com/w/mr-plume/332485"">Untappd</a>"
Lagar de Valleseco,Canary Islands,---,---,2,2,4,,"<a href=""https://www.facebook.com/sidralagardevalleseco/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6485664555068943913"">Google</a>",,"<a href=""https://untappd.com/w/angel-dominguez-ponce/511926"">Untappd</a>"
Maley,Italy,---,3,---,---,3,"<a href=""https://www.maleymontblanc.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=94166741695887894"">Google</a>",,"<a href=""https://untappd.com/brewery/29291"">Untappd</a>"
Cider Sekt,Czechia,---,1,2,---,3,"<a href=""https://www.cidersekt.cz/"">Website</a>","<a href=""https://www.facebook.com/cidertalk/"">Facebook</a>","<a href=""https://www.instagram.com/cidertalk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1744130511388226457"">Google</a>",,"<a href=""https://untappd.com/w/provoco/396367"">Untappd</a>"
Egiazki,Basque Country,---,1,2,---,3,"<a href=""https://www.egiazki.com/"">Website</a>","<a href=""https://www.facebook.com/egiazki/"">Facebook</a>","<a href=""https://www.instagram.com/egiazki/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9254797308516948164"">Google</a>",,
Fukiware Cidrerie,Japan,2,---,---,---,2,,"<a href=""https://www.facebook.com/profile.php?id=100063847492626"">Facebook</a>","<a href=""https://www.instagram.com/fukiwarecidrerie/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10680734196000736911"">Google</a>",,"<a href=""https://untappd.com/w/fukiware-cidrerie/505991"">Untappd</a>"
La Maison Ferré,France,1,1,---,---,2,"<a href=""https://www.lamaisonferre.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreduperche"">Facebook</a>","<a href=""https://www.instagram.com/la_maison_ferre"">Instagram</a>","<a href=""https://maps.google.com/?cid=13764361049917258070"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g4926524-d23694021"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-maison-ferrac/161574"">Untappd</a>"
Sidra Castañón,Asturias,1,---,1,---,2,"<a href=""https://sidracastanon.com/"">Website</a>","<a href=""https://www.facebook.com/sidracastanon/"">Facebook</a>","<a href=""https://www.instagram.com/sidracastanon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3082307260151948865"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-sidra-casta-n/81481"">Untappd</a>"
Sidra Fran,Asturias,1,---,1,---,2,"<a href=""https://sidrafran.es/"">Website</a>",,"<a href=""https://www.instagram.com/sidrafran1918/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15672106953833908893"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidra-fran/85954"">Untappd</a>"
Lauskis,Latvia,1,---,---,1,2,"<a href=""http://www.lauskissidrs.lv/"">Website</a>","<a href=""https://www.facebook.com/vinadaritavalauskis"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=12945376031877773481"">Google</a>",,"<a href=""https://untappd.com/w/vina-daritava-lauskis/463428"">Untappd</a>"
